target_class,vina_gene,mammalian_homolog,anesthetic,value_uM,value_type,experimental_method,conditions,directness_tier,tier_rationale,predicted_Kd_uM,log_error,anchor_PMID
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,halothane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,2711.3814706583335,1.03525061512279,9311785
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,isoflurane,260,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,593.1355124352399,0.35818057908553635,9311785
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,sevoflurane,210,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,423.13515167489896,0.3042598108249974,10454514
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,propofol,1.5,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,66.03399725213406,1.6436763282673237,10454514
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,etomidate,2.0,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2,T1,recombinant electrophys; cleanest functional EC50,47.107793846743014,1.3720627701615853,9298537
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,ketamine,1000,EC50_potentiation,patch-clamp_dose-response,native_neuronal_GABA-A,T2,native-tissue electrophys; endogenous modulation noise,47.107793846743014,-1.3269072341744335,12435831
glucl_potentiation,GLRA1,GlyR_α1,halothane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1_in_oocytes,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,1934.2642377373834,0.8885757936253516,8794881
glucl_potentiation,GLRA1,GlyR_α1,isoflurane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1_in_oocytes,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,831.4358538146606,0.5218887398817555,8794881
glucl_potentiation,GLRA1,GlyR_α1,sevoflurane,200,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR,T1,recombinant electrophys; cleanest functional EC50,500.9755333527319,0.3987865206436543,10049144
glucl_potentiation,GLRA1,GlyR_α1,propofol,30,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1,T1,recombinant electrophys; cleanest functional EC50,55.77379249638607,0.26930892185462385,9422816
glucl_potentiation,GLRA1,GlyR_α1,etomidate,5,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1,T1,recombinant electrophys; cleanest functional EC50,66.03399725213406,1.1207975829869863,9422816
glucl_potentiation,GLRA1,GlyR_α1,ketamine,1500,EC50_potentiation,patch-clamp_dose-response,native_GlyR,T2,native-tissue electrophys; endogenous modulation noise,92.56406290816626,-1.2096488502352378,9788775
nachr_antagonism,CHRNA4,nAChR_α4β2,halothane,130,IC50_block,patch-clamp_block,Torpedo_nAChR_recombinant,T1,recombinant electrophys; cleanest functional EC50,500.9755333527319,0.5858731640007986,8633440
nachr_antagonism,CHRNA4,nAChR_α4β2,isoflurane,170,IC50_block,patch-clamp_block,native_nAChR,T2,native-tissue electrophys; endogenous modulation noise,215.34235715417063,0.10268054118576497,8531442
nachr_antagonism,CHRNA4,nAChR_α4β2,sevoflurane,80,IC50_block,patch-clamp_block,recombinant_nAChR,T1,recombinant electrophys; cleanest functional EC50,181.8829760939729,0.35670206482337696,10195537
nachr_antagonism,CHRNA4,nAChR_α4β2,propofol,90,IC50_block,patch-clamp_block,recombinant_α4β2,T1,recombinant electrophys; cleanest functional EC50,55.77379249638607,-0.20781233286503853,9105234
nachr_antagonism,CHRNA4,nAChR_α4β2,etomidate,300,IC50_block,patch-clamp_block,recombinant_nAChR,T1,recombinant electrophys; cleanest functional EC50,109.59224399381259,-0.43734143515050006,12068116
nachr_antagonism,CHRNA4,nAChR_α4β2,ketamine,5,IC50_block,patch-clamp_block,recombinant_α4β2,T1,recombinant electrophys; cleanest functional EC50,47.107793846743014,0.9741227614895477,10773888
k2p_potentiation,KCNK2,TREK-1_KCNK2,halothane,700,EC50_activation,patch-clamp_activation,recombinant_TREK-1_oocyte,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,702.2493369234252,0.001393297790817094,10321245
k2p_potentiation,KCNK2,TREK-1_KCNK2,isoflurane,500,EC50_activation,patch-clamp_activation,recombinant_TREK-1_oocyte,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,301.8591077911352,-0.21916572027454073,10321245
k2p_potentiation,KCNK2,TREK-1_KCNK2,sevoflurane,400,EC50_activation,patch-clamp_activation,review_consensus,T2,unclassified method='patch-clamp_activation' conditions='review_consensus',129.75294694567444,-0.4889427610100805,17375043
k2p_potentiation,,TREK-1_KCNK2,propofol,,no_significant_effect,patch-clamp,recombinant_TREK-1,T1,recombinant electrophys; cleanest functional EC50,,,10321245
k2p_potentiation,,TREK-1_KCNK2,etomidate,,no_significant_effect,patch-clamp,review_consensus,T2,unclassified method='patch-clamp' conditions='review_consensus',,,17375043
k2p_potentiation,,TREK-1_KCNK2,ketamine,,weak_or_inactive,patch-clamp,review_consensus,T2,unclassified method='patch-clamp' conditions='review_consensus',,,
complex_i_block,NDUFS2,NDUFS2_ComplexI,halothane,500,IC50_inhibition,O2_consumption_assay,isolated_mitochondria,T3,isolated mitochondrial O2 assay; multiple steps between binding and readout,831.4358538146606,0.2208587442177743,12411414
complex_i_block,NDUFS2,NDUFS2_ComplexI,isoflurane,400,IC50_inhibition,O2_consumption_assay,isolated_mitochondria,T3,isolated mitochondrial O2 assay; multiple steps between binding and readout,357.38942256263203,-0.04891829651776547,12411414
complex_i_block,NDUFS2,NDUFS2_ComplexI,sevoflurane,500,IC50_inhibition,O2_consumption_assay,isolated_mitochondria,T3,isolated mitochondrial O2 assay; multiple steps between binding and readout,423.13515167489896,-0.07249089877710224,12411414
complex_i_block,,NDUFS2_ComplexI,propofol,,minimal_effect,O2_consumption,isolated_mitochondria,T3,isolated mitochondrial O2 assay; multiple steps between binding and readout,,,1859446
complex_i_block,,NDUFS2_ComplexI,etomidate,,minimal_effect,assay,clinical_consensus,T2,unclassified method='assay' conditions='clinical_consensus',,,
complex_i_block,,NDUFS2_ComplexI,ketamine,,minimal_effect,assay,clinical_consensus,T2,unclassified method='assay' conditions='clinical_consensus',,,
