target_class,vina_gene,mammalian_homolog,anesthetic,value_uM,value_type,experimental_method,conditions,directness_tier,tier_rationale,predicted_Kd_uM,log_error,anchor_PMID
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,halothane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,2711.3814706583335,1.03525061512279,9311785
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,isoflurane,260,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,593.1355124352399,0.35818057908553635,9311785
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,sevoflurane,210,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,423.13515167489896,0.3042598108249974,10454514
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,propofol,1.5,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2_in_HEK,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,66.03399725213406,1.6436763282673237,10454514
gaba_potentiation,GABRA1,GABA-A_α1β2γ2,etomidate,2.0,EC50_potentiation,patch-clamp_dose-response,recombinant_α1β2γ2,T1,recombinant electrophys; cleanest functional EC50,47.107793846743014,1.3720627701615853,9298537
glucl_potentiation,GLRA1,GlyR_α1,halothane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1_in_oocytes,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,1934.2642377373834,0.8885757936253516,8794881
glucl_potentiation,GLRA1,GlyR_α1,isoflurane,250,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1_in_oocytes,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,831.4358538146606,0.5218887398817555,8794881
glucl_potentiation,GLRA1,GlyR_α1,sevoflurane,200,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR,T1,recombinant electrophys; cleanest functional EC50,500.9755333527319,0.3987865206436543,10049144
glucl_potentiation,GLRA1,GlyR_α1,propofol,30,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1,T1,recombinant electrophys; cleanest functional EC50,55.77379249638607,0.26930892185462385,9422816
glucl_potentiation,GLRA1,GlyR_α1,etomidate,5,EC50_potentiation,patch-clamp_dose-response,recombinant_GlyR_α1,T1,recombinant electrophys; cleanest functional EC50,66.03399725213406,1.1207975829869863,9422816
nachr_antagonism,CHRNA4,nAChR_α4β2,halothane,130,IC50_block,patch-clamp_block,Torpedo_nAChR_recombinant,T1,recombinant electrophys; cleanest functional EC50,500.9755333527319,0.5858731640007986,8633440
nachr_antagonism,CHRNA4,nAChR_α4β2,sevoflurane,80,IC50_block,patch-clamp_block,recombinant_nAChR,T1,recombinant electrophys; cleanest functional EC50,181.8829760939729,0.35670206482337696,10195537
nachr_antagonism,CHRNA4,nAChR_α4β2,propofol,90,IC50_block,patch-clamp_block,recombinant_α4β2,T1,recombinant electrophys; cleanest functional EC50,55.77379249638607,-0.20781233286503853,9105234
nachr_antagonism,CHRNA4,nAChR_α4β2,etomidate,300,IC50_block,patch-clamp_block,recombinant_nAChR,T1,recombinant electrophys; cleanest functional EC50,109.59224399381259,-0.43734143515050006,12068116
nachr_antagonism,CHRNA4,nAChR_α4β2,ketamine,5,IC50_block,patch-clamp_block,recombinant_α4β2,T1,recombinant electrophys; cleanest functional EC50,47.107793846743014,0.9741227614895477,10773888
k2p_potentiation,KCNK2,TREK-1_KCNK2,halothane,700,EC50_activation,patch-clamp_activation,recombinant_TREK-1_oocyte,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,702.2493369234252,0.001393297790817094,10321245
k2p_potentiation,KCNK2,TREK-1_KCNK2,isoflurane,500,EC50_activation,patch-clamp_activation,recombinant_TREK-1_oocyte,T1,recombinant single-target electrophys (oocyte/HEK); cleanest functional EC50,301.8591077911352,-0.21916572027454073,10321245
