target_class,vina_gene,anesthetic,value_uM,predicted_Kd_uM,log_err_pre,predicted_Kd_uM_corrected,log_err_post,within_10x_post,within_3x_post
gaba_potentiation,GABRA1,halothane,250,2711.38,+1.035,1082.44,+0.636,1,0
gaba_potentiation,GABRA1,isoflurane,260,593.14,+0.358,236.79,-0.041,1,1
gaba_potentiation,GABRA1,sevoflurane,210,423.14,+0.304,168.92,-0.095,1,1
gaba_potentiation,GABRA1,propofol,1.5,66.03,+1.644,26.36,+1.245,0,0
gaba_potentiation,GABRA1,etomidate,2.0,47.11,+1.372,18.81,+0.973,1,0
glucl_potentiation,GLRA1,halothane,250,1934.26,+0.889,772.20,+0.490,1,0
glucl_potentiation,GLRA1,isoflurane,250,831.44,+0.522,331.93,+0.123,1,1
glucl_potentiation,GLRA1,sevoflurane,200,500.98,+0.399,200.00,+0.000,1,1
glucl_potentiation,GLRA1,propofol,30,55.77,+0.269,22.27,-0.129,1,1
glucl_potentiation,GLRA1,etomidate,5,66.03,+1.121,26.36,+0.722,1,0
nachr_antagonism,CHRNA4,halothane,130,500.98,+0.586,200.00,+0.187,1,1
nachr_antagonism,CHRNA4,sevoflurane,80,181.88,+0.357,72.61,-0.042,1,1
nachr_antagonism,CHRNA4,propofol,90,55.77,-0.208,22.27,-0.607,1,0
nachr_antagonism,CHRNA4,etomidate,300,109.59,-0.437,43.75,-0.836,1,0
nachr_antagonism,CHRNA4,ketamine,5,47.11,+0.974,18.81,+0.575,1,0
k2p_potentiation,KCNK2,halothane,700,702.25,+0.001,280.35,-0.397,1,1
k2p_potentiation,KCNK2,isoflurane,500,301.86,-0.219,120.51,-0.618,1,0
