target_class,vina_gene,anesthetic,chem_class,directness_tier,experimental_value_uM,value_type,predicted_Kd_uM_pre,predicted_Kd_uM_post,log_err_pre,log_err_post,within_10x_post,within_3x_post
gaba_potentiation,GABRA1,halothane,ALKANE_HALOGENATED,T1,250.0,EC50_potentiation,2711.38,1081.91,+1.035,+0.636,1,0
gaba_potentiation,GABRA1,isoflurane,ETHER_HALOGENATED,T1,260.0,EC50_potentiation,593.14,236.68,+0.358,-0.041,1,1
gaba_potentiation,GABRA1,sevoflurane,ETHER_HALOGENATED,T1,210.0,EC50_potentiation,423.14,168.84,+0.304,-0.095,1,1
gaba_potentiation,GABRA1,propofol,IV_PHENOL,T1,1.5,EC50_potentiation,66.03,26.35,+1.644,+1.245,0,0
gaba_potentiation,GABRA1,etomidate,IV_IMIDAZOLE,T1,2.0,EC50_potentiation,47.11,18.80,+1.372,+0.973,1,0
gaba_potentiation,GABRA1,ketamine,IV_ARYLCYCLOHEXYLAMINE,T2,1000.0,EC50_potentiation,47.11,18.80,-1.327,-1.726,0,0
glucl_potentiation,GLRA1,halothane,ALKANE_HALOGENATED,T1,250.0,EC50_potentiation,1934.26,771.82,+0.889,+0.490,1,0
glucl_potentiation,GLRA1,isoflurane,ETHER_HALOGENATED,T1,250.0,EC50_potentiation,831.44,331.76,+0.522,+0.123,1,1
glucl_potentiation,GLRA1,sevoflurane,ETHER_HALOGENATED,T1,200.0,EC50_potentiation,500.98,199.90,+0.399,-0.000,1,1
glucl_potentiation,GLRA1,propofol,IV_PHENOL,T1,30.0,EC50_potentiation,55.77,22.26,+0.269,-0.130,1,1
glucl_potentiation,GLRA1,etomidate,IV_IMIDAZOLE,T1,5.0,EC50_potentiation,66.03,26.35,+1.121,+0.722,1,0
glucl_potentiation,GLRA1,ketamine,IV_ARYLCYCLOHEXYLAMINE,T2,1500.0,EC50_potentiation,92.56,36.94,-1.210,-1.609,0,0
nachr_antagonism,CHRNA4,halothane,ALKANE_HALOGENATED,T1,130.0,IC50_block,500.98,199.90,+0.586,+0.187,1,1
nachr_antagonism,CHRNA4,isoflurane,ETHER_HALOGENATED,T2,170.0,IC50_block,215.34,85.93,+0.103,-0.296,1,1
nachr_antagonism,CHRNA4,sevoflurane,ETHER_HALOGENATED,T1,80.0,IC50_block,181.88,72.58,+0.357,-0.042,1,1
nachr_antagonism,CHRNA4,propofol,IV_PHENOL,T1,90.0,IC50_block,55.77,22.26,-0.208,-0.607,1,0
nachr_antagonism,CHRNA4,etomidate,IV_IMIDAZOLE,T1,300.0,IC50_block,109.59,43.73,-0.437,-0.836,1,0
nachr_antagonism,CHRNA4,ketamine,IV_ARYLCYCLOHEXYLAMINE,T1,5.0,IC50_block,47.11,18.80,+0.974,+0.575,1,0
k2p_potentiation,KCNK2,halothane,ALKANE_HALOGENATED,T1,700.0,EC50_activation,702.25,280.21,+0.001,-0.398,1,1
k2p_potentiation,KCNK2,isoflurane,ETHER_HALOGENATED,T1,500.0,EC50_activation,301.86,120.45,-0.219,-0.618,1,0
k2p_potentiation,KCNK2,sevoflurane,ETHER_HALOGENATED,T2,400.0,EC50_activation,129.75,51.77,-0.489,-0.888,1,0
complex_i_block,NDUFS2,halothane,ALKANE_HALOGENATED,T3,500.0,IC50_inhibition,831.44,331.76,+0.221,-0.178,1,1
complex_i_block,NDUFS2,isoflurane,ETHER_HALOGENATED,T3,400.0,IC50_inhibition,357.39,142.61,-0.049,-0.448,1,1
complex_i_block,NDUFS2,sevoflurane,ETHER_HALOGENATED,T3,500.0,IC50_inhibition,423.14,168.84,-0.072,-0.471,1,1
