anesthetic,phase,occ_v1,occ_v2,n_Ca_delta,fold_change_v1,fold_change_v2,delta,stewart_band_v2,block_factor,ratio_v1,ratio_v2,morgan_band_v2
etomidate,E,0.1390,0.2880,-0.2085,1.0000,1.0000,0.0000,no,,,,
halothane,E,0.9690,0.9874,-1.4535,0.3333,0.3333,0.0000,YES,,,,
isoflurane,E,0.9780,0.9911,-1.4670,0.2222,0.2222,0.0000,no,,,,
ketamine,E,0.9990,0.9996,-1.4985,0.2222,0.2222,0.0000,no,,,,
propofol,E,0.8770,0.9470,-1.3155,0.4444,0.4444,0.0000,YES,,,,
sevoflurane,E,0.9650,0.9857,-1.4475,0.3333,0.3333,0.0000,YES,,,,
etomidate,F,0.0760,0.1709,,,,nan,,0.9772,nan,nan,no
halothane,F,0.9810,0.9923,,,,0.0000,,0.7057,2.4796,2.4796,YES
isoflurane,F,0.9780,0.9911,,,,0.0000,,0.7066,2.4898,2.4898,YES
ketamine,F,0.9990,0.9996,,,,0.0000,,0.7003,2.4896,2.4896,YES
propofol,F,0.9220,0.9673,,,,0.0000,,0.7234,2.4904,2.4904,YES
sevoflurane,F,0.9650,0.9857,,,,0.0000,,0.7105,2.4700,2.4700,YES
