compound,category,n_engaged_at_ref_conc,ref_concentration_uM,Kp_amplification
benzene,negative_control,16,100.0,no (raw aqueous)
cis_12_dichloroethylene,negative_control,0,100.0,no (raw aqueous)
cyclohexane,negative_control,10,100.0,no (raw aqueous)
dimethyl_ether,negative_control,0,100.0,no (raw aqueous)
etomidate,anesthetic,30,100.0,no (raw aqueous)
halothane,anesthetic,10,100.0,no (raw aqueous)
hexafluoroethane,negative_control,24,100.0,no (raw aqueous)
isoflurane,anesthetic,29,100.0,no (raw aqueous)
ketamine,anesthetic,30,100.0,no (raw aqueous)
methanol,negative_control,0,100.0,no (raw aqueous)
npentane,negative_control,2,100.0,no (raw aqueous)
propofol,anesthetic,30,100.0,no (raw aqueous)
sevoflurane,anesthetic,29,100.0,no (raw aqueous)
trans_12_dichloroethylene,negative_control,0,100.0,no (raw aqueous)
