gene,mechanism_class,n_anesthetics,spearman_rho,predicted_order,clinical_potency_order
ACR-16,nachr_antagonism,6,+0.174,"propofol,sevoflurane,ketamine,isoflurane,etomidate,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
ACR-2,nachr_antagonism,6,+0.265,"etomidate,ketamine,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
AVR-14,glucl_potentiation,6,+0.314,"propofol,ketamine,etomidate,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
AVR-15,glucl_potentiation,6,+0.314,"propofol,ketamine,etomidate,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
EXP-1,gaba_potentiation,6,+0.086,"ketamine,etomidate,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
GAS-1,complex_i_block,6,+0.086,"ketamine,propofol,etomidate,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
GLC-1,glucl_potentiation,6,+0.116,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
GLC-2,glucl_potentiation,6,+0.116,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
LEV-1,nachr_antagonism,6,-0.147,"ketamine,propofol,sevoflurane,etomidate,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
MEV-1,complex_ii_block,6,+0.116,"ketamine,etomidate,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NCA-2,nca_block,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NLF-1,nca_block,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NUO-1,complex_i_block,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NUO-2,complex_i_block,6,+0.086,"ketamine,etomidate,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NUO-3,complex_i_block,6,+0.600,"propofol,etomidate,ketamine,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
NUO-4,complex_i_block,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
RIC-4,snare_cooperativity,6,+0.657,"etomidate,propofol,ketamine,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
SNB-1,snare_cooperativity,6,+0.116,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
SNT-1,snare_cooperativity,6,+0.290,"etomidate,ketamine,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
TWK-18,k2p_potentiation,6,+0.116,"ketamine,etomidate,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
TWK-29,k2p_potentiation,6,+0.116,"ketamine,etomidate,propofol,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
TWK-7,k2p_potentiation,6,+0.029,"propofol,ketamine,sevoflurane,isoflurane,etomidate,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-13,snare_cooperativity,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-18,snare_cooperativity,6,+0.086,"ketamine,etomidate,sevoflurane,propofol,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-29,nachr_antagonism,6,+0.029,"ketamine,propofol,etomidate,isoflurane,sevoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-38,nachr_antagonism,6,+0.429,"etomidate,ketamine,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-49,gaba_potentiation,6,+0.429,"etomidate,ketamine,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-63,nachr_antagonism,6,-0.029,"ketamine,etomidate,sevoflurane,isoflurane,propofol,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-64,snare_cooperativity,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
UNC-79,nca_block,6,+0.143,"ketamine,etomidate,propofol,sevoflurane,isoflurane,halothane","etomidate,propofol,sevoflurane,isoflurane,halothane,ketamine"
