anesthetic,gene,mechanism_class,occupancy_1xEC50,parameter,shift_value,evidence_grade,source
etomidate,ACR-16,nachr_antagonism,0.104,g_max_factor,0.9272,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,ACR-2,nachr_antagonism,0.509,g_max_factor,0.6437,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,AVR-14,glucl_potentiation,0.274,tau_decay_factor,1.4110,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
etomidate,AVR-15,glucl_potentiation,0.509,tau_decay_factor,1.7635,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
etomidate,EXP-1,gaba_potentiation,0.212,tau_decay_factor,1.6360,LITERATURE,Hales & Lambert 1991 — halothane potentiates GABA-A τ_decay 2-4× at clinical doses
etomidate,GAS-1,complex_i_block,0.076,rate_factor,0.9772,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
etomidate,GLC-1,glucl_potentiation,0.120,tau_decay_factor,1.1800,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
etomidate,GLC-2,glucl_potentiation,0.185,tau_decay_factor,1.2775,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
etomidate,LEV-1,nachr_antagonism,0.139,g_max_factor,0.9027,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,MEV-1,complex_ii_block,0.346,rate_factor,0.9654,CONSERVATIVE,Senoo-Matsuda 2001 / Kayser 2003 PMID 12878724 — mev-1 hypersensitivity is small → Complex II is a weak target; small rate decrement
etomidate,NCA-2,nca_block,0.212,g_max_factor,0.7880,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
etomidate,NLF-1,nca_block,0.139,g_max_factor,0.8610,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
etomidate,NUO-1,complex_i_block,0.593,rate_factor,0.8221,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
etomidate,NUO-2,complex_i_block,0.551,rate_factor,0.8347,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
etomidate,NUO-3,complex_i_block,0.826,rate_factor,0.7522,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
etomidate,NUO-4,complex_i_block,0.346,rate_factor,0.8962,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
etomidate,RIC-4,snare_cooperativity,0.003,n_Ca_delta,-0.0045,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,SNB-1,snare_cooperativity,0.040,n_Ca_delta,-0.0600,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,SNT-1,snare_cooperativity,0.003,n_Ca_delta,-0.0045,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,TWK-18,k2p_potentiation,0.593,g_max_factor,2.1860,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
etomidate,TWK-29,k2p_potentiation,0.309,g_max_factor,1.6180,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
etomidate,TWK-7,k2p_potentiation,0.065,g_max_factor,1.1300,LITERATURE,Patel & Honoré 1999 — TASK / TREK-1 activated by volatile anesthetics
etomidate,UNC-13,snare_cooperativity,0.009,n_Ca_delta,-0.0135,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,UNC-18,snare_cooperativity,0.033,n_Ca_delta,-0.0495,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,UNC-29,nachr_antagonism,0.089,g_max_factor,0.9377,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,UNC-38,nachr_antagonism,0.309,g_max_factor,0.7837,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,UNC-49,gaba_potentiation,0.467,tau_decay_factor,2.4010,LITERATURE,Hales & Lambert 1991 — halothane potentiates GABA-A τ_decay 2-4× at clinical doses
etomidate,UNC-63,nachr_antagonism,0.242,g_max_factor,0.8306,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
etomidate,UNC-64,snare_cooperativity,0.139,n_Ca_delta,-0.2085,LITERATURE,Stewart 2000 PMID 11095753 + van Swinderen 1999 PMID 10051668 — SNARE Ca-cooperativity reduction
etomidate,UNC-79,nca_block,0.185,g_max_factor,0.8150,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
halothane,ACR-16,nachr_antagonism,0.996,g_max_factor,0.3028,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
halothane,ACR-2,nachr_antagonism,0.989,g_max_factor,0.3077,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
halothane,AVR-14,glucl_potentiation,0.989,tau_decay_factor,2.4835,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
halothane,AVR-15,glucl_potentiation,0.995,tau_decay_factor,2.4925,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
halothane,EXP-1,gaba_potentiation,0.989,tau_decay_factor,3.9670,LITERATURE,Hales & Lambert 1991 — halothane potentiates GABA-A τ_decay 2-4× at clinical doses
halothane,GAS-1,complex_i_block,0.981,rate_factor,0.7057,LITERATURE,Hanley 2002 / Kayser 2001 PMID 11278828 — Complex I sensitive to halogenated anesthetics
halothane,GLC-1,glucl_potentiation,0.978,tau_decay_factor,2.4670,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
halothane,GLC-2,glucl_potentiation,0.978,tau_decay_factor,2.4670,ANALOGY,Transfer from GABA-A; Hibbs 2011 PMID 21572436 confirms GluCl pocket conserved
halothane,LEV-1,nachr_antagonism,0.996,g_max_factor,0.3028,LITERATURE,Forman 1996 / Wachtel 1995 — halothane open-channel block at high occupancy
halothane,MEV-1,complex_ii_block,0.986,rate_factor,0.9014,CONSERVATIVE,Senoo-Matsuda 2001 / Kayser 2003 PMID 12878724 — mev-1 hypersensitivity is small → Complex II is a weak target; small rate decrement
halothane,NCA-2,nca_block,0.986,g_max_factor,0.0140,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
halothane,NLF-1,nca_block,0.978,g_max_factor,0.0220,LITERATURE,"Lu 2007 / Sedensky & Meneely 1987 PMID 3576211 — unc-79/80 resistance, NCA block"
