anesthetic,genotype,dose_label,dose_multiplier,complex_i_relative_rate,ATP_steady_state,K_ATP_open_fraction,V_shift_mV
etomidate,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
etomidate,WT,0.5×,0.5,0.9885999999999999,0.9912307692307691,0.04802009456264776,-2.6287409005122675
etomidate,WT,1×,1.0,0.9772,0.9824615384615384,0.04842795410520043,-2.6490965901372103
etomidate,WT,2×,2.0,0.9543999999999999,0.9649230769230769,0.049264817341215704,-2.6907685939009247
etomidate,WT,5×,5.0,0.8859999999999998,0.912307692307692,0.0519584332533973,-2.8240405503258517
etomidate,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
etomidate,gas-1,0.5×,0.5,0.39544,0.5349538461538462,0.08547682920414497,-4.379857149274516
etomidate,gas-1,1×,1.0,0.39088,0.5314461538461538,0.08599248557972167,-4.402402131214162
etomidate,gas-1,2×,2.0,0.38176,0.5244307692307691,0.08704269109218492,-4.448195629362655
etomidate,gas-1,5×,5.0,0.35439999999999994,0.5033846153846153,0.09035307200444816,-4.591476336237344
halothane,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
halothane,WT,0.5×,0.5,0.85285,0.8868076923076922,0.05337274705423493,-2.893497050858776
halothane,WT,1×,1.0,0.7057,0.7736153846153846,0.06070794807135519,-3.248105271924711
halothane,WT,2×,2.0,0.4114,0.5472307692307692,0.08371973209685729,-4.302736098852605
halothane,WT,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
halothane,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
halothane,gas-1,0.5×,0.5,0.34114,0.4931846153846154,0.09204973517999264,-4.664290669026718
halothane,gas-1,1×,1.0,0.28228000000000003,0.4479076923076923,0.10042021999752813,-5.017496912309593
halothane,gas-1,2×,2.0,0.16456,0.35735384615384613,0.1227434096230833,-5.913032931044939
halothane,gas-1,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
isoflurane,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
isoflurane,WT,0.5×,0.5,0.8533,0.8871538461538461,0.053353032914717234,-2.8925313357561375
isoflurane,WT,1×,1.0,0.7066,0.7743076923076923,0.060656961552818224,-3.2456724367509993
isoflurane,WT,2×,2.0,0.4132,0.5486153846153846,0.08352608583911592,-4.294208324157675
isoflurane,WT,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
isoflurane,gas-1,0×,0.0,0.4,0.5384615384615384,0.08496732026143791,-4.357541899441341
isoflurane,gas-1,0.5×,0.5,0.34132,0.4933230769230769,0.09202627704156757,-4.663286780179836
isoflurane,gas-1,1×,1.0,0.28264,0.4481846153846154,0.10036439997529492,-5.01517411655779
isoflurane,gas-1,2×,2.0,0.16528,0.3579076923076923,0.12257675190465414,-5.906585085115406
isoflurane,gas-1,5×,5.0,0.0,0.23076923076923075,0.17808219178082194,-7.87878787878788
ketamine,WT,0×,0.0,1.0,1.0,0.047619047619047616,-2.6086956521739126
