gene,etomidate,halothane,isoflurane,ketamine,propofol,sevoflurane
ACR-16,0.104,0.996,0.996,0.999,0.970,0.997
ACR-2,0.509,0.989,0.994,1.000,0.979,0.987
AVR-14,0.274,0.989,0.994,1.000,0.989,0.992
AVR-15,0.509,0.995,0.996,1.000,0.993,0.996
EXP-1,0.212,0.989,0.990,0.999,0.894,0.970
GAS-1,0.076,0.981,0.978,0.999,0.922,0.965
GLC-1,0.120,0.978,0.974,0.999,0.922,0.965
GLC-2,0.185,0.978,0.974,0.999,0.858,0.982
LEV-1,0.139,0.996,0.996,0.999,0.943,0.993
MEV-1,0.346,0.986,0.986,1.000,0.965,0.970
NCA-2,0.212,0.986,0.984,0.999,0.952,0.978
NLF-1,0.139,0.978,0.969,0.999,0.909,0.942
NUO-1,0.593,0.986,0.990,1.000,0.987,0.987
NUO-2,0.551,0.995,0.995,1.000,0.979,0.987
NUO-3,0.826,0.994,0.996,1.000,0.998,0.995
NUO-4,0.346,0.989,0.990,1.000,0.959,0.987
RIC-4,0.003,0.129,0.407,0.965,0.009,0.432
SNB-1,0.040,0.941,0.941,0.995,0.784,0.893
SNT-1,0.003,0.149,0.259,0.982,0.009,0.279
TWK-18,0.593,0.990,0.990,1.000,0.970,0.978
TWK-29,0.309,0.993,0.995,0.999,0.970,0.989
TWK-7,0.065,0.986,0.993,0.998,0.989,0.989
UNC-13,0.009,0.129,0.367,0.997,0.011,0.432
UNC-18,0.033,0.488,0.726,0.999,0.025,0.873
UNC-29,0.089,0.989,0.989,0.998,0.934,0.970
UNC-38,0.309,0.990,0.992,0.999,0.943,0.987
UNC-49,0.467,0.981,0.969,0.999,0.952,0.965
UNC-63,0.242,0.996,0.996,0.999,0.909,0.994
UNC-64,0.139,0.969,0.978,0.999,0.877,0.965
UNC-79,0.185,0.989,0.984,1.000,0.943,0.970
