subset,n_classes,predicted_EC50_uM,fold_error,passes,has_snare,has_complex_i
nca_block,1,,,False,False,False
complex_i_block|nca_block,2,,,False,False,True
gaba_potentiation|nca_block,2,,,False,False,False
k2p_potentiation|nca_block,2,,,False,False,False
nca_block|glucl_potentiation,2,,,False,False,False
nca_block|nachr_antagonism,2,,,False,False,False
snare_cooperativity|nca_block,2,1692.034100241409,4.976570883062968,False,True,False
complex_i_block|nca_block|glucl_potentiation,3,,,False,False,True
complex_i_block|nca_block|nachr_antagonism,3,,,False,False,True
complex_i_block|snare_cooperativity|nca_block,3,631.3616171380949,1.8569459327591025,True,True,True
gaba_potentiation|complex_i_block|nca_block,3,,,False,False,True
gaba_potentiation|k2p_potentiation|nca_block,3,,,False,False,False
gaba_potentiation|nca_block|glucl_potentiation,3,,,False,False,False
gaba_potentiation|nca_block|nachr_antagonism,3,,,False,False,False
gaba_potentiation|snare_cooperativity|nca_block,3,880.458268455328,2.5895831425156706,False,True,False
k2p_potentiation|complex_i_block|nca_block,3,,,False,False,True
k2p_potentiation|nca_block|glucl_potentiation,3,,,False,False,False
k2p_potentiation|nca_block|nachr_antagonism,3,,,False,False,False
k2p_potentiation|snare_cooperativity|nca_block,3,866.8260606250418,2.549488413603064,False,True,False
nca_block|nachr_antagonism|glucl_potentiation,3,,,False,False,False
snare_cooperativity|nca_block|glucl_potentiation,3,1024.995186620436,3.0146917253542234,False,True,False
snare_cooperativity|nca_block|nachr_antagonism,3,885.6092942517649,2.604733218387544,False,True,False
complex_i_block|nca_block|nachr_antagonism|glucl_potentiation,4,,,False,False,True
complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,4,525.6465501473601,1.5460192651392946,True,True,True
complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,4,484.28184357366183,1.4243583634519466,True,True,True
gaba_potentiation|complex_i_block|nca_block|glucl_potentiation,4,,,False,False,True
gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,4,2946.4535218428246,8.666039770125954,False,False,True
gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,4,492.4150849473836,1.4482796616099518,True,True,True
gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,4,2945.569225593256,8.663438898803694,False,False,True
gaba_potentiation|k2p_potentiation|nca_block|glucl_potentiation,4,,,False,False,False
gaba_potentiation|k2p_potentiation|nca_block|nachr_antagonism,4,,,False,False,False
gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block,4,658.108060133322,1.9356119415685942,True,True,False
gaba_potentiation|nca_block|nachr_antagonism|glucl_potentiation,4,,,False,False,False
gaba_potentiation|snare_cooperativity|nca_block|glucl_potentiation,4,730.6081798912511,2.1488475879154443,False,True,False
gaba_potentiation|snare_cooperativity|nca_block|nachr_antagonism,4,660.5710799032253,1.9428561173624272,True,True,False
k2p_potentiation|complex_i_block|nca_block|glucl_potentiation,4,,,False,False,True
k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,4,2944.6552322429084,8.660750683067377,False,False,True
