gene,volatile,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
WT,isoflurane,10.0,42,0.0,21.3125,6.605833333333333
WT,isoflurane,10.0,137,0.0,20.447916666666668,6.439444444444445
WT,isoflurane,10.0,219,0.0,21.9765625,6.8438888888888885
WT,isoflurane,10.0,7,0.0,20.575520833333332,6.378888888888889
WT,halothane,1000.0,219,1.0,0.8020833333333334,0.2709722222222222
WT,halothane,1000.0,7,1.0,0.6145833333333334,0.2338888888888889
WT,halothane,1000.0,91,0.9791666666666666,0.890625,0.28597222222222224
WT,halothane,3000.0,42,1.0,0.3046875,0.15
WT,halothane,100.0,219,0.0,10.239583333333334,3.0166666666666666
WT,halothane,100.0,7,0.0,9.6328125,2.8469444444444445
WT,halothane,100.0,91,0.0,10.270833333333334,3.026111111111111
WT,halothane,200.0,42,0.125,5.346354166666667,1.5002777777777778
WT,halothane,10.0,91,0.0,21.450520833333332,6.727222222222222
WT,halothane,30.0,42,0.0,17.856770833333332,5.477361111111111
WT,halothane,30.0,137,0.0,17.1015625,5.284861111111111
WT,halothane,30.0,219,0.0,18.5,5.702916666666667
WT,halothane,500.0,7,0.875,1.6041666666666667,0.46875
WT,halothane,500.0,91,0.875,1.7395833333333333,0.5118055555555555
WT,halothane,1000.0,42,0.9791666666666666,0.6770833333333334,0.25027777777777777
WT,halothane,1000.0,137,1.0,0.6927083333333334,0.24694444444444444
WT,halothane,3000.0,137,1.0,0.3098958333333333,0.1473611111111111
WT,halothane,3000.0,219,1.0,0.3125,0.15013888888888888
WT,halothane,3000.0,7,1.0,0.3072916666666667,0.14597222222222223
WT,halothane,3000.0,91,1.0,0.3854166666666667,0.16486111111111112
WT,halothane,350.0,91,0.6666666666666666,2.6848958333333335,0.7669444444444444
WT,halothane,500.0,42,0.8541666666666666,1.625,0.4738888888888889
WT,halothane,500.0,137,0.9166666666666666,1.5078125,0.4584722222222222
WT,halothane,500.0,219,0.7708333333333334,1.6901041666666667,0.5022222222222222
WT,halothane,200.0,137,0.125,5.192708333333333,1.4584722222222222
WT,halothane,200.0,219,0.10416666666666667,5.622395833333333,1.5834722222222222
WT,halothane,200.0,7,0.14583333333333334,5.041666666666667,1.4129166666666666
WT,halothane,200.0,91,0.20833333333333334,5.052083333333333,1.46375
WT,halothane,30.0,7,0.0,17.127604166666668,5.290416666666666
WT,halothane,30.0,91,0.0,18.135416666666668,5.575138888888889
WT,halothane,100.0,42,0.0,10.145833333333334,2.9672222222222224
WT,halothane,100.0,137,0.0,9.395833333333334,2.7840277777777778
WT,halothane,350.0,42,0.5,2.7994791666666665,0.7661111111111111
WT,halothane,350.0,137,0.6458333333333334,2.421875,0.7051388888888889
WT,halothane,350.0,219,0.5416666666666666,2.953125,0.8140277777777778
WT,halothane,350.0,7,0.6041666666666666,2.4479166666666665,0.6968055555555556
WT,isoflurane,10.0,91,0.0,21.049479166666668,6.5905555555555555
WT,isoflurane,30.0,42,0.0,17.5234375,5.355138888888889
WT,isoflurane,30.0,137,0.0,16.372395833333332,5.064722222222223
WT,isoflurane,30.0,219,0.0,18.130208333333332,5.5784722222222225
WT,halothane,10.0,42,0.0,21.598958333333332,6.694583333333333
WT,halothane,10.0,137,0.0,20.614583333333332,6.506388888888889
WT,halothane,10.0,219,0.0,21.950520833333332,6.849722222222222
WT,halothane,10.0,7,0.0,20.875,6.483055555555556
WT,isoflurane,350.0,42,0.5833333333333334,2.7005208333333335,0.73625
WT,isoflurane,350.0,137,0.75,2.2838541666666665,0.66375
WT,isoflurane,350.0,219,0.5625,2.71875,0.7591666666666667
WT,isoflurane,350.0,7,0.625,2.3411458333333335,0.6668055555555555
WT,isoflurane,30.0,7,0.0,16.153645833333332,4.994583333333333
WT,isoflurane,30.0,91,0.0,17.643229166666668,5.408888888888889
WT,isoflurane,100.0,42,0.0,9.888020833333334,2.8641666666666667
WT,isoflurane,100.0,137,0.0,8.791666666666666,2.5965277777777778
WT,isoflurane,350.0,91,0.7083333333333334,2.453125,0.7075
WT,isoflurane,500.0,42,0.8958333333333334,1.5338541666666667,0.4559722222222222
WT,isoflurane,500.0,137,0.9375,1.4505208333333333,0.4373611111111111
WT,isoflurane,500.0,219,0.7916666666666666,1.640625,0.48
WT,isoflurane,500.0,7,0.8958333333333334,1.5,0.44458333333333333
WT,isoflurane,500.0,91,0.8958333333333334,1.6979166666666667,0.4965277777777778
WT,isoflurane,1000.0,42,0.9791666666666666,0.7135416666666666,0.24791666666666667
WT,isoflurane,1000.0,137,1.0,0.7005208333333334,0.24597222222222223
WT,isoflurane,1000.0,219,1.0,0.7890625,0.2648611111111111
WT,isoflurane,1000.0,7,0.9791666666666666,0.703125,0.24083333333333334
WT,isoflurane,1000.0,91,0.9791666666666666,0.8307291666666666,0.27930555555555553
WT,isoflurane,3000.0,42,1.0,0.2942708333333333,0.14763888888888888
WT,isoflurane,200.0,137,0.1875,4.794270833333333,1.3465277777777778
WT,isoflurane,200.0,219,0.1875,5.2578125,1.4744444444444444
WT,isoflurane,200.0,7,0.22916666666666666,4.692708333333333,1.3095833333333333
WT,isoflurane,200.0,91,0.22916666666666666,4.7734375,1.3684722222222223
WT,isoflurane,100.0,219,0.0,9.6953125,2.845833333333333
WT,isoflurane,100.0,7,0.0,8.911458333333334,2.6180555555555554
WT,isoflurane,100.0,91,0.0,9.645833333333334,2.8345833333333332
WT,isoflurane,200.0,42,0.14583333333333334,4.971354166666667,1.388611111111111
WT,sevoflurane,10.0,42,0.0,21.2265625,6.568194444444444
WT,sevoflurane,10.0,137,0.0,20.346354166666668,6.395555555555555
WT,sevoflurane,10.0,219,0.0,21.744791666666668,6.779722222222222
WT,sevoflurane,10.0,7,0.0,20.2421875,6.2780555555555555
WT,isoflurane,3000.0,137,1.0,0.3489583333333333,0.15166666666666667
WT,isoflurane,3000.0,219,1.0,0.4088541666666667,0.15625
WT,isoflurane,3000.0,7,1.0,0.3541666666666667,0.15097222222222223
WT,isoflurane,3000.0,91,1.0,0.4348958333333333,0.16902777777777778
WT,sevoflurane,30.0,7,0.0,15.817708333333334,4.8879166666666665
WT,sevoflurane,30.0,91,0.0,17.401041666666668,5.325833333333334
WT,sevoflurane,100.0,42,0.0,9.294270833333334,2.707638888888889
WT,sevoflurane,100.0,137,0.0,8.505208333333334,2.51125
WT,sevoflurane,10.0,91,0.0,21.0390625,6.576666666666667
WT,sevoflurane,30.0,42,0.0,17.388020833333332,5.30625
WT,sevoflurane,30.0,137,0.0,16.263020833333332,5.005277777777778
WT,sevoflurane,30.0,219,0.0,18.114583333333332,5.551527777777777
WT,sevoflurane,100.0,219,0.0,9.276041666666666,2.7206944444444443
WT,sevoflurane,100.0,7,0.0,8.505208333333334,2.4970833333333333
WT,sevoflurane,100.0,91,0.0,9.270833333333334,2.7143055555555557
WT,sevoflurane,200.0,42,0.125,4.864583333333333,1.3570833333333334
WT,sevoflurane,1000.0,219,1.0,0.8411458333333334,0.2722222222222222
WT,sevoflurane,1000.0,7,0.9583333333333334,0.8723958333333334,0.2733333333333333
WT,sevoflurane,1000.0,91,0.9791666666666666,0.90625,0.2922222222222222
WT,sevoflurane,3000.0,42,1.0,0.375,0.15861111111111112
WT,sevoflurane,3000.0,137,1.0,0.3932291666666667,0.16069444444444445
WT,sevoflurane,3000.0,219,1.0,0.4895833333333333,0.17166666666666666
WT,sevoflurane,3000.0,7,1.0,0.4010416666666667,0.15875
WT,sevoflurane,3000.0,91,1.0,0.5442708333333334,0.18541666666666667
gas-1,halothane,10.0,91,0.0,16.841145833333332,5.185416666666667
gas-1,halothane,30.0,42,0.0,13.4296875,4.077638888888889
gas-1,halothane,30.0,137,0.0,12.416666666666666,3.799027777777778
gas-1,halothane,30.0,219,0.0,13.901041666666666,4.198888888888889
gas-1,halothane,30.0,7,0.0,12.143229166666666,3.703888888888889
gas-1,halothane,30.0,91,0.0,13.645833333333334,4.137777777777778
gas-1,halothane,100.0,42,0.020833333333333332,7.432291666666667,2.132361111111111
gas-1,halothane,100.0,137,0.041666666666666664,6.950520833333333,2.0211111111111113
WT,sevoflurane,200.0,137,0.20833333333333334,4.6796875,1.3152777777777778
WT,sevoflurane,200.0,219,0.1875,5.140625,1.4384722222222222
WT,sevoflurane,200.0,7,0.25,4.552083333333333,1.2680555555555555
WT,sevoflurane,200.0,91,0.22916666666666666,4.7265625,1.3493055555555555
WT,sevoflurane,350.0,42,0.625,2.6015625,0.715
WT,sevoflurane,350.0,137,0.7083333333333334,2.3229166666666665,0.6706944444444445
WT,sevoflurane,350.0,219,0.5416666666666666,2.8411458333333335,0.7833333333333333
