volatile,gene,dose,block,geno_pa,total_pa,realized_dI_pA,predicted_dI_pA,err_blockI_pA,nonuniform_I_pA,wsyn,snare_factor,R_mult,R_add,realized_synaptic_ratio,err_blockS,nonuniform_S
halothane,gas-1,100.0,I,-3.9000000000000004,-7.766347057794967,-11.666347057794965,-11.666347057794967,1.7763568394002505e-15,0.0,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,gas-1,340.0,I,-3.9000000000000004,-16.21418315492261,-20.11418315492261,-20.114183154922607,3.552713678800501e-15,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,gas-1,1000.0,I,-3.9000000000000004,-23.2015584829008,-27.1015584829008,-27.1015584829008,0.0,3.552713678800501e-15,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,gas-2,100.0,I,-2.6,-7.766347057794967,-10.366347057794968,-10.366347057794966,1.7763568394002505e-15,0.0,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,gas-2,340.0,I,-2.6,-16.21418315492261,-18.814183154922606,-18.81418315492261,3.552713678800501e-15,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,gas-2,1000.0,I,-2.6,-23.2015584829008,-25.801558482900795,-25.801558482900802,7.105427357601002e-15,3.552713678800501e-15,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,nduf-6,100.0,I,-3.25,-7.766347057794967,-11.016347057794968,-11.016347057794967,1.7763568394002505e-15,1.7763568394002505e-15,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,nduf-6,340.0,I,-3.25,-16.21418315492261,-19.464183154922605,-19.46418315492261,3.552713678800501e-15,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0
halothane,nduf-6,1000.0,I,-3.25,-23.2015584829008,-26.4515584829008,-26.4515584829008,0.0,0.0,1.0,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.0,1.1102230246251565e-16
halothane,ndus-8,100.0,I,-3.25,-7.766347057794967,-11.016347057794968,-11.016347057794967,1.7763568394002505e-15,1.7763568394002505e-15,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,1.1102230246251565e-16,2.220446049250313e-16
halothane,ndus-8,340.0,I,-3.25,-16.21418315492261,-19.464183154922605,-19.46418315492261,3.552713678800501e-15,0.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0
