organism,subset,compound,max_qf,max_qf_dose_uM,total_pa,snare_gain,is_non_immobilizer
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,0.8833333333333332,30000.0,-20.297104534809453,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,0.0,30.0,-0.03861386138613861,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,0.0,10000.0,-2.6,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,0.8416666666666666,30000.0,-19.03087076857569,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,0.0,3000.0,-1.9500000000000002,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.02326043737574553,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,0.8833333333333332,30000.0,-20.25974025974026,0.7077922077922078,False
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30000.0,0.0,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,0.0,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,cis_12_dichloroethylene,0.8416666666666666,30000.0,-18.993506493506498,0.7077922077922078,False
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,0.0,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,hexafluoroethane,0.0,30.0,0.0,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,0.8833333333333332,30000.0,-20.297104534809453,0.7077922077922078,False
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.03861386138613861,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,300.0,-0.22075471698113208,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,cis_12_dichloroethylene,0.8416666666666666,30000.0,-19.03087076857569,0.7077922077922078,False
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,-0.03861386138613861,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,hexafluoroethane,0.0,30.0,-0.02326043737574553,1.0,True
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.8416666666666666,30000.0,-18.993506493506498,0.7077922077922078,False
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,0.0,1.0,True
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,30.0,0.0,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,cis_12_dichloroethylene,0.9708333333333334,30000.0,-24.095805833510752,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,trans_12_dichloroethylene,0.0,30.0,-0.03861386138613861,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,hexafluoroethane,0.0,30.0,-0.02326043737574553,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,cis_12_dichloroethylene,0.9625,30000.0,-22.829572067276988,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,trans_12_dichloroethylene,0.0,100.0,-0.12580645161290324,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,hexafluoroethane,0.0,300.0,-0.22075471698113208,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.9333333333333333,30000.0,-21.563338301043224,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,-0.03861386138613861,1.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,100.0,-0.07647058823529412,1.0,True
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.8416666666666666,30000.0,-19.03087076857569,0.7077922077922078,False
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,100.0,-0.12580645161290324,1.0,True
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,100.0,-0.07647058823529412,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.9625,30000.0,-22.792207792207794,0.7077922077922078,False
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,trans_12_dichloroethylene,0.0,30.0,0.0,1.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,hexafluoroethane,0.0,100.0,0.0,1.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,cis_12_dichloroethylene,0.9625,30000.0,-22.829572067276988,0.7077922077922078,False
