gene_acc,pocket_id,rank,score,druggability_score,n_alpha_spheres,volume,hydrophobicity_score,polarity_score,mean_local_hydrophobic_density,status
ACR-16_P48180,11,1,0.106,0.7,72.0,,44.636,5.0,42.76,OK
ACR-16_P48180,1,2,0.283,0.518,43.0,,74.643,1.0,39.756,OK
ACR-16_P48180,23,3,0.012,0.033,28.0,,64.0,4.0,21.913,OK
ACR-16_P48180,4,4,0.159,0.031,24.0,,76.833,2.0,20.0,OK
ACR-16_P48180,26,5,-0.007,0.027,20.0,,72.667,1.0,13.529,OK
ACR-2_P48182,25,1,0.005,0.879,80.0,,89.462,1.0,63.387,OK
ACR-2_P48182,2,2,0.158,0.125,48.0,,65.067,4.0,35.395,OK
ACR-2_P48182,30,3,-0.013,0.025,52.0,,47.714,2.0,42.182,OK
ACR-2_P48182,21,4,0.027,0.024,34.0,,67.333,2.0,26.467,OK
ACR-2_P48182,13,5,0.041,0.017,33.0,,77.455,1.0,26.929,OK
AVR-14_Q8IFY7,1,1,0.044,0.507,279.0,,40.38,26.0,31.593,OK
AVR-14_Q8IFY7,9,2,-0.031,0.056,30.0,,70.6,2.0,20.0,OK
AVR-14_Q8IFY7,21,3,-0.194,0.028,58.0,,45.125,6.0,20.5,OK
AVR-14_Q8IFY7,23,4,-0.405,0.006,35.0,,27.077,7.0,21.217,OK
AVR-14_Q8IFY7,17,5,-0.107,0.005,27.0,,31.0,3.0,15.0,OK
AVR-15_G5ECH3,13,1,0.002,0.917,76.0,,74.267,3.0,54.344,OK
AVR-15_G5ECH3,25,2,-0.035,0.728,76.0,,65.929,4.0,49.273,OK
AVR-15_G5ECH3,27,3,-0.041,0.226,66.0,,22.077,10.0,30.057,OK
AVR-15_G5ECH3,59,4,-0.248,0.22,111.0,,30.0,9.0,57.221,OK
AVR-15_G5ECH3,2,5,0.113,0.028,20.0,,31.0,3.0,14.588,OK
EXP-1_G5ECJ0,2,1,0.225,0.984,63.0,,74.167,4.0,36.902,OK
EXP-1_G5ECJ0,6,2,0.114,0.823,49.0,,58.923,2.0,29.111,OK
EXP-1_G5ECJ0,57,3,-0.098,0.697,39.0,,71.071,3.0,29.0,OK
EXP-1_G5ECJ0,1,4,0.264,0.687,94.0,,37.333,8.0,25.333,OK
EXP-1_G5ECJ0,21,5,0.029,0.355,41.0,,29.182,6.0,31.212,OK
GAS-1_Q93873,11,1,0.055,0.885,88.0,,23.5,9.0,43.016,OK
GAS-1_Q93873,5,2,0.091,0.358,54.0,,22.4,5.0,30.364,OK
GAS-1_Q93873,14,3,0.033,0.007,17.0,,69.4,1.0,15.0,OK
GAS-1_Q93873,6,4,0.083,0.005,30.0,,6.667,5.0,12.667,OK
GAS-1_Q93873,4,5,0.091,0.004,31.0,,22.455,6.0,11.0,OK
GLC-1_G5EBR3,8,1,0.157,0.306,44.0,,24.286,5.0,22.667,OK
