gene_name,csv_uniprot_id,csv_wormbase_id,verified_uniprot_id,verified_wormbase_id,verified_reviewed,verified_protein_name,verified_length,uniprot_match,wormbase_match,alphafold_db_status,alphafold_pdb_path,alphafold_global_plddt,alphafold_version,alphafold_frac_high_confidence
UNC-49,Q17791,WBGene00006765,G5EBQ0,T21C12.1b,False,Gamma-aminobutyric acid receptor subunit beta,487,MISMATCH,MISMATCH,OK v6 320.1 KB pLDDT=77.31,artifacts/structures/UNC-49_G5EBQ0.pdb,77.31,6,0.464
EXP-1,O44185,WBGene00001388,G5ECJ0,H35N03.1,True,Gamma-aminobutyric acid receptor exp-1,539,MISMATCH,MISMATCH,OK v6 355.2 KB pLDDT=72.56,artifacts/structures/EXP-1_G5ECJ0.pdb,72.56,6,0.288
AVR-14,O17127,WBGene00000242,Q8IFY7,B0207.12c,False,Neurotransmitter-gated ion-channel ligand-binding domain-containing protein,239,MISMATCH,MISMATCH,OK v6 162.7 KB pLDDT=85.44,artifacts/structures/AVR-14_Q8IFY7.pdb,85.44,6,0.603
AVR-15,P34367,WBGene00000243,G5ECH3,R11G10.1a,False,Ig-like domain-containing protein,657,MISMATCH,MISMATCH,OK v6 424.0 KB pLDDT=67.88,artifacts/structures/AVR-15_G5ECH3.pdb,67.88,6,0.371
GLC-1,O18219,WBGene00001623,G5EBR3,F11A5.10,True,Glutamate-gated chloride channel alpha,461,MISMATCH,MISMATCH,OK v6 299.7 KB pLDDT=82.06,artifacts/structures/GLC-1_G5EBR3.pdb,82.06,6,0.549
GLC-2,Q17738,WBGene00001624,Q17328,F25F8.2,True,Glutamate-gated chloride channel subunit beta,434,MISMATCH,MISMATCH,OK v6 284.1 KB pLDDT=86.38,artifacts/structures/GLC-2_Q17328.pdb,86.38,6,0.673
ACR-16,Q21306,WBGene00000043,P48180,F25G6.3,True,Acetylcholine receptor subunit alpha-type acr-16,498,MISMATCH,MISMATCH,OK v6 325.5 KB pLDDT=82.19,artifacts/structures/ACR-16_P48180.pdb,82.19,6,0.482
ACR-2,Q9XW79,WBGene00000038,P48182,K11G12.2,True,Acetylcholine receptor subunit beta-type acr-2,575,MISMATCH,MISMATCH,OK v6 372.7 KB pLDDT=75.62,artifacts/structures/ACR-2_P48182.pdb,75.62,6,0.350
UNC-29,P34418,WBGene00006754,P48181,T08G11.5,True,Acetylcholine receptor subunit beta-type unc-29,493,MISMATCH,MISMATCH,OK v6 321.8 KB pLDDT=83.44,artifacts/structures/UNC-29_P48181.pdb,83.44,6,0.448
UNC-38,P34903,WBGene00006759,Q23022,F21F3.5,True,Acetylcholine receptor subunit alpha-type unc-38,511,MISMATCH,MISMATCH,OK v6 338.8 KB pLDDT=82.88,artifacts/structures/UNC-38_Q23022.pdb,82.88,6,0.474
