anesthetic,cmd_rate,dose_uM,organism,perm,qf,seed
halothane,6.51125,10.0,worm,P1_ER,0.0,331
halothane,6.67,10.0,worm,P1_ER,0.0,219
halothane,4.6775,30.0,worm,P1_ER,0.04,219
halothane,6.4525,10.0,worm,P1_ER,0.0,137
halothane,6.545,10.0,worm,P1_ER,0.0,443
halothane,4.7725,30.0,worm,P1_ER,0.05,42
halothane,4.36625,30.0,worm,P1_ER,0.07,137
halothane,6.625,10.0,worm,P1_ER,0.0,42
halothane,1.73875,100.0,worm,P1_ER,0.96,42
halothane,4.62,30.0,worm,P1_ER,0.12,443
halothane,1.63875,100.0,worm,P1_ER,0.99,137
halothane,1.85625,100.0,worm,P1_ER,0.97,219
halothane,4.595,30.0,worm,P1_ER,0.05,331
halothane,1.7275,100.0,worm,P1_ER,0.93,331
halothane,1.7575,100.0,worm,P1_ER,0.99,443
halothane,0.8475,200.0,worm,P1_ER,1.0,42
halothane,0.8525,200.0,worm,P1_ER,1.0,219
halothane,0.77125,200.0,worm,P1_ER,1.0,137
halothane,0.77375,200.0,worm,P1_ER,1.0,331
halothane,0.765,200.0,worm,P1_ER,1.0,443
halothane,0.5075,300.0,worm,P1_ER,1.0,219
halothane,0.4475,300.0,worm,P1_ER,1.0,137
halothane,0.48625,300.0,worm,P1_ER,1.0,42
halothane,0.445,300.0,worm,P1_ER,1.0,331
halothane,0.4275,300.0,worm,P1_ER,1.0,443
halothane,0.26375,500.0,worm,P1_ER,1.0,42
halothane,0.25875,500.0,worm,P1_ER,1.0,219
halothane,0.2475,500.0,worm,P1_ER,1.0,331
halothane,0.2225,500.0,worm,P1_ER,1.0,443
halothane,0.255,500.0,worm,P1_ER,1.0,137
halothane,0.11,1000.0,worm,P1_ER,1.0,42
halothane,0.11625,1000.0,worm,P1_ER,1.0,137
halothane,0.1225,1000.0,worm,P1_ER,1.0,331
halothane,0.11625,1000.0,worm,P1_ER,1.0,219
halothane,0.05375,3000.0,worm,P1_ER,1.0,42
halothane,0.0925,1000.0,worm,P1_ER,1.0,443
halothane,0.04375,3000.0,worm,P1_ER,1.0,137
halothane,0.04875,3000.0,worm,P1_ER,1.0,219
halothane,0.04,3000.0,worm,P1_ER,1.0,331
halothane,0.0425,3000.0,worm,P1_ER,1.0,443
cis_12_dichloroethylene,6.715,30.0,worm,P1_ER,0.0,42
cis_12_dichloroethylene,6.65875,30.0,worm,P1_ER,0.0,137
cis_12_dichloroethylene,6.72875,30.0,worm,P1_ER,0.0,219
cis_12_dichloroethylene,4.865,100.0,worm,P1_ER,0.05,42
cis_12_dichloroethylene,6.61,30.0,worm,P1_ER,0.0,331
cis_12_dichloroethylene,6.69,30.0,worm,P1_ER,0.0,443
cis_12_dichloroethylene,4.29125,100.0,worm,P1_ER,0.09,137
cis_12_dichloroethylene,4.68,100.0,worm,P1_ER,0.06,219
cis_12_dichloroethylene,4.695,100.0,worm,P1_ER,0.05,331
cis_12_dichloroethylene,2.0875,300.0,worm,P1_ER,0.88,42
cis_12_dichloroethylene,4.59875,100.0,worm,P1_ER,0.12,443
cis_12_dichloroethylene,1.91,300.0,worm,P1_ER,0.94,137
cis_12_dichloroethylene,1.99375,300.0,worm,P1_ER,0.87,331
cis_12_dichloroethylene,2.0325,300.0,worm,P1_ER,0.89,443
cis_12_dichloroethylene,2.12375,300.0,worm,P1_ER,0.85,219
cis_12_dichloroethylene,0.61625,1000.0,worm,P1_ER,1.0,42
cis_12_dichloroethylene,0.56625,1000.0,worm,P1_ER,1.0,137
cis_12_dichloroethylene,0.57,1000.0,worm,P1_ER,1.0,443
cis_12_dichloroethylene,0.6475,1000.0,worm,P1_ER,1.0,219
cis_12_dichloroethylene,0.5625,1000.0,worm,P1_ER,1.0,331
cis_12_dichloroethylene,0.23625,3000.0,worm,P1_ER,1.0,42
cis_12_dichloroethylene,0.25375,3000.0,worm,P1_ER,1.0,219
cis_12_dichloroethylene,0.22625,3000.0,worm,P1_ER,1.0,137
cis_12_dichloroethylene,0.23,3000.0,worm,P1_ER,1.0,331
cis_12_dichloroethylene,0.20625,3000.0,worm,P1_ER,1.0,443
cis_12_dichloroethylene,0.13875,10000.0,worm,P1_ER,1.0,42
cis_12_dichloroethylene,0.1325,10000.0,worm,P1_ER,1.0,137
cis_12_dichloroethylene,0.1375,10000.0,worm,P1_ER,1.0,331
cis_12_dichloroethylene,0.105,10000.0,worm,P1_ER,1.0,443
cis_12_dichloroethylene,0.115,30000.0,worm,P1_ER,1.0,42
cis_12_dichloroethylene,0.135,10000.0,worm,P1_ER,1.0,219
cis_12_dichloroethylene,0.10375,30000.0,worm,P1_ER,1.0,137
cis_12_dichloroethylene,0.1125,30000.0,worm,P1_ER,1.0,219
cis_12_dichloroethylene,0.1125,30000.0,worm,P1_ER,1.0,331
cis_12_dichloroethylene,0.0875,30000.0,worm,P1_ER,1.0,443
trans_12_dichloroethylene,7.7975,30.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.795,30.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,7.93,30.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,8.06,30.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.805,30.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,7.83125,100.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.7225,100.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.90375,100.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,7.78125,100.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,7.84875,100.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,7.65625,300.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.66125,300.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,7.52375,300.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.6875,300.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,7.75375,300.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,7.3725,1000.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.05375,1000.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.2375,1000.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,7.28625,1000.0,worm,P1_ER,0.0,331
