organism,perm,anesthetic,dose_uM,qf_mean,qf_sd
fly,P1_ER,cis_12_dichloroethylene,30.0,0.0,0.0
fly,P1_ER,cis_12_dichloroethylene,100.0,0.0,0.0
fly,P1_ER,cis_12_dichloroethylene,300.0,0.0,0.0
fly,P1_ER,cis_12_dichloroethylene,1000.0,0.202,0.06418722614352484
fly,P1_ER,cis_12_dichloroethylene,3000.0,1.0,0.0
fly,P1_ER,cis_12_dichloroethylene,10000.0,1.0,0.0
fly,P1_ER,cis_12_dichloroethylene,30000.0,1.0,0.0
fly,P1_ER,halothane,10.0,0.0,0.0
fly,P1_ER,halothane,30.0,0.0,0.0
fly,P1_ER,halothane,100.0,0.0,0.0
fly,P1_ER,halothane,200.0,0.0,0.0
fly,P1_ER,halothane,300.0,0.2,0.06204836822995427
fly,P1_ER,halothane,500.0,0.9339999999999999,0.024083189157584558
fly,P1_ER,halothane,1000.0,1.0,0.0
fly,P1_ER,halothane,3000.0,1.0,0.0
fly,P1_ER,hexafluoroethane,30.0,0.0,0.0
fly,P1_ER,hexafluoroethane,100.0,0.0,0.0
fly,P1_ER,hexafluoroethane,300.0,0.0,0.0
fly,P1_ER,hexafluoroethane,1000.0,0.0,0.0
fly,P1_ER,hexafluoroethane,3000.0,0.0,0.0
fly,P1_ER,hexafluoroethane,10000.0,0.0,0.0
fly,P1_ER,hexafluoroethane,30000.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,30.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,100.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,300.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,1000.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,3000.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,10000.0,0.0,0.0
fly,P1_ER,trans_12_dichloroethylene,30000.0,0.0,0.0
fly,P2_config,cis_12_dichloroethylene,30.0,0.0,0.0
fly,P2_config,cis_12_dichloroethylene,100.0,0.0,0.0
fly,P2_config,cis_12_dichloroethylene,300.0,0.0,0.0
fly,P2_config,cis_12_dichloroethylene,1000.0,0.126,0.015165750888103098
fly,P2_config,cis_12_dichloroethylene,3000.0,0.9960000000000001,0.005477225575051666
fly,P2_config,cis_12_dichloroethylene,10000.0,1.0,0.0
fly,P2_config,cis_12_dichloroethylene,30000.0,1.0,0.0
fly,P2_config,halothane,10.0,0.0,0.0
fly,P2_config,halothane,30.0,0.0,0.0
fly,P2_config,halothane,100.0,0.0,0.0
fly,P2_config,halothane,200.0,0.002,0.00447213595499958
fly,P2_config,halothane,300.0,0.14800000000000002,0.025884358211089576
fly,P2_config,halothane,500.0,0.908,0.02387467277262663
fly,P2_config,halothane,1000.0,1.0,0.0
fly,P2_config,halothane,3000.0,1.0,0.0
fly,P2_config,hexafluoroethane,30.0,0.0,0.0
fly,P2_config,hexafluoroethane,100.0,0.0,0.0
fly,P2_config,hexafluoroethane,300.0,0.0,0.0
fly,P2_config,hexafluoroethane,1000.0,0.0,0.0
fly,P2_config,hexafluoroethane,3000.0,0.0,0.0
fly,P2_config,hexafluoroethane,10000.0,0.0,0.0
fly,P2_config,hexafluoroethane,30000.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,30.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,100.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,300.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,1000.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,3000.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,10000.0,0.0,0.0
fly,P2_config,trans_12_dichloroethylene,30000.0,0.0,0.0
fly,P3_block,cis_12_dichloroethylene,30.0,0.0,0.0
fly,P3_block,cis_12_dichloroethylene,100.0,0.0,0.0
fly,P3_block,cis_12_dichloroethylene,300.0,0.0,0.0
fly,P3_block,cis_12_dichloroethylene,1000.0,0.272,0.06572670690061994
fly,P3_block,cis_12_dichloroethylene,3000.0,1.0,0.0
fly,P3_block,cis_12_dichloroethylene,10000.0,1.0,0.0
fly,P3_block,cis_12_dichloroethylene,30000.0,1.0,0.0
fly,P3_block,halothane,10.0,0.0,0.0
fly,P3_block,halothane,30.0,0.0,0.0
fly,P3_block,halothane,100.0,0.0,0.0
fly,P3_block,halothane,200.0,0.01,0.007071067811865475
fly,P3_block,halothane,300.0,0.28200000000000003,0.0496990945591567
fly,P3_block,halothane,500.0,0.932,0.022803508501982733
fly,P3_block,halothane,1000.0,1.0,0.0
fly,P3_block,halothane,3000.0,1.0,0.0
fly,P3_block,hexafluoroethane,30.0,0.0,0.0
fly,P3_block,hexafluoroethane,100.0,0.0,0.0
fly,P3_block,hexafluoroethane,300.0,0.0,0.0
fly,P3_block,hexafluoroethane,1000.0,0.0,0.0
fly,P3_block,hexafluoroethane,3000.0,0.0,0.0
fly,P3_block,hexafluoroethane,10000.0,0.0,0.0
fly,P3_block,hexafluoroethane,30000.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,30.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,100.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,300.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,1000.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,3000.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,10000.0,0.0,0.0
fly,P3_block,trans_12_dichloroethylene,30000.0,0.0,0.0
worm,P1_ER,cis_12_dichloroethylene,30.0,0.0,0.0
worm,P1_ER,cis_12_dichloroethylene,100.0,0.074,0.03049590136395381
worm,P1_ER,cis_12_dichloroethylene,300.0,0.8859999999999999,0.033615472627943205
worm,P1_ER,cis_12_dichloroethylene,1000.0,1.0,0.0
worm,P1_ER,cis_12_dichloroethylene,3000.0,1.0,0.0
worm,P1_ER,cis_12_dichloroethylene,10000.0,1.0,0.0
worm,P1_ER,cis_12_dichloroethylene,30000.0,1.0,0.0
worm,P1_ER,halothane,10.0,0.0,0.0
worm,P1_ER,halothane,30.0,0.066,0.03209361307176242
worm,P1_ER,halothane,100.0,0.968,0.024899799195977446
worm,P1_ER,halothane,200.0,1.0,0.0
worm,P1_ER,halothane,300.0,1.0,0.0
worm,P1_ER,halothane,500.0,1.0,0.0
worm,P1_ER,halothane,1000.0,1.0,0.0
worm,P1_ER,halothane,3000.0,1.0,0.0
worm,P1_ER,hexafluoroethane,30.0,0.0,0.0
worm,P1_ER,hexafluoroethane,100.0,0.0,0.0
worm,P1_ER,hexafluoroethane,300.0,0.0,0.0
worm,P1_ER,hexafluoroethane,1000.0,0.0,0.0
worm,P1_ER,hexafluoroethane,3000.0,0.002,0.00447213595499958
worm,P1_ER,hexafluoroethane,10000.0,0.002,0.00447213595499958
worm,P1_ER,hexafluoroethane,30000.0,0.016,0.008944271909999158
worm,P1_ER,trans_12_dichloroethylene,30.0,0.0,0.0
worm,P1_ER,trans_12_dichloroethylene,100.0,0.0,0.0
worm,P1_ER,trans_12_dichloroethylene,300.0,0.0,0.0
worm,P1_ER,trans_12_dichloroethylene,1000.0,0.0,0.0
worm,P1_ER,trans_12_dichloroethylene,3000.0,0.0,0.0
worm,P1_ER,trans_12_dichloroethylene,10000.0,0.008,0.008366600265340755
worm,P1_ER,trans_12_dichloroethylene,30000.0,0.024,0.01341640786499874
worm,P2_config,cis_12_dichloroethylene,30.0,0.0,0.0
worm,P2_config,cis_12_dichloroethylene,100.0,0.0,0.0
worm,P2_config,cis_12_dichloroethylene,300.0,0.008,0.008366600265340755
worm,P2_config,cis_12_dichloroethylene,1000.0,0.844,0.03209361307176243
worm,P2_config,cis_12_dichloroethylene,3000.0,0.998,0.004472135954999583
worm,P2_config,cis_12_dichloroethylene,10000.0,1.0,0.0
worm,P2_config,cis_12_dichloroethylene,30000.0,1.0,0.0
worm,P2_config,halothane,10.0,0.0,0.0
worm,P2_config,halothane,30.0,0.0,0.0
worm,P2_config,halothane,100.0,0.032,0.014832396974191326
worm,P2_config,halothane,200.0,0.656,0.026076809620810572
worm,P2_config,halothane,300.0,0.9799999999999999,0.01581138830084191
worm,P2_config,halothane,500.0,1.0,0.0
worm,P2_config,halothane,1000.0,1.0,0.0
worm,P2_config,halothane,3000.0,1.0,0.0
worm,P2_config,hexafluoroethane,30.0,0.0,0.0
worm,P2_config,hexafluoroethane,100.0,0.0,0.0
worm,P2_config,hexafluoroethane,300.0,0.0,0.0
worm,P2_config,hexafluoroethane,1000.0,0.0,0.0
worm,P2_config,hexafluoroethane,3000.0,0.0,0.0
worm,P2_config,hexafluoroethane,10000.0,0.0,0.0
worm,P2_config,hexafluoroethane,30000.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,30.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,100.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,300.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,1000.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,3000.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,10000.0,0.0,0.0
worm,P2_config,trans_12_dichloroethylene,30000.0,0.0,0.0
worm,P3_block,cis_12_dichloroethylene,30.0,0.0,0.0
worm,P3_block,cis_12_dichloroethylene,100.0,0.0,0.0
worm,P3_block,cis_12_dichloroethylene,300.0,0.002,0.004472135954999579
worm,P3_block,cis_12_dichloroethylene,1000.0,0.27,0.01870828693386971
worm,P3_block,cis_12_dichloroethylene,3000.0,0.868,0.021679483388678818
worm,P3_block,cis_12_dichloroethylene,10000.0,0.97,0.01581138830084191
worm,P3_block,cis_12_dichloroethylene,30000.0,0.986,0.01140175425099139
worm,P3_block,halothane,10.0,0.0,0.0
worm,P3_block,halothane,30.0,0.0,0.0
worm,P3_block,halothane,100.0,0.004,0.005477225575051661
worm,P3_block,halothane,200.0,0.134,0.025099800796022267
worm,P3_block,halothane,300.0,0.454,0.029664793948382655
worm,P3_block,halothane,500.0,0.842,0.031144823004794854
worm,P3_block,halothane,1000.0,0.992,0.004472135954999583
worm,P3_block,halothane,3000.0,1.0,0.0
worm,P3_block,hexafluoroethane,30.0,0.0,0.0
worm,P3_block,hexafluoroethane,100.0,0.0,0.0
worm,P3_block,hexafluoroethane,300.0,0.0,0.0
worm,P3_block,hexafluoroethane,1000.0,0.0,0.0
