ensemble_id,organism,predicted_EC50_uM,fold_error
0,worm,268.6071790895172,1.265788953044662
1,worm,317.4189345093343,1.071139629794207
2,worm,314.43352434081675,1.0813096367913733
3,worm,358.14733112224644,1.053374503300725
4,worm,283.2094245741942,1.2005250196429391
5,worm,275.36508989314717,1.2347244167077744
6,worm,294.0137684149634,1.1564084288737553
7,worm,337.3891585438211,1.0077383679648966
8,worm,354.9299362024946,1.0439115770661607
9,worm,357.27670125022564,1.050813827206546
10,worm,333.78867652160403,1.0186085506049034
11,worm,373.13927231088684,1.0974684479731966
12,worm,274.9857980248939,1.2364274898633876
13,worm,296.1552071992655,1.1480466719304852
14,worm,287.60175776397574,1.1821902711701282
15,worm,281.07576648724404,1.209638256080074
16,worm,296.1552071992655,1.1480466719304852
17,worm,359.7357336286087,1.058046275378261
18,worm,282.00959522563323,1.2056327364605066
19,worm,374.7400598321409,1.1021766465651204
20,worm,279.80329524580316,1.2151393703255529
21,worm,300.94445704860243,1.129776581813202
22,worm,318.3746851011244,1.0679241029857849
23,worm,364.9991090402511,1.073526791294856
24,worm,323.9042318981613,1.0496929848909766
25,worm,325.99134508848226,1.0429724749524114
26,worm,306.8192621059065,1.108144246441217
27,worm,287.2697586506073,1.1835565344472128
28,worm,355.13262649290147,1.044507724979122
29,worm,357.0045151386009,1.0500132798194144
30,worm,362.2116908168574,1.0653285024025219
31,worm,327.0460340053863,1.039608998879957
32,worm,307.59717376689554,1.1053417553753602
33,worm,360.55916642084316,1.0604681365318915
34,worm,286.30149553013155,1.187559287353485
35,worm,365.3055576999913,1.0744281108823275
36,worm,306.33868395905296,1.1098826815011271
37,worm,378.8704223684224,1.1143247716718305
38,worm,329.2196567485208,1.0327451384827666
39,worm,310.8239812371207,1.093866691517028
40,worm,343.3107653304026,1.0097375450894195
41,worm,327.5163773496835,1.03811602568194
42,worm,268.7200532629741,1.2652572663316277
43,worm,288.9587406605088,1.1766385720771757
44,worm,333.5158578979805,1.019441780498494
45,worm,355.2403527856812,1.0448245670167093
46,worm,367.04696638778165,1.0795499011405343
47,worm,311.24935025385884,1.092371758278987
48,worm,296.6084716549233,1.1462922758172558
49,worm,308.6799934768933,1.1014643228747225
0,fly,403.30317762988494,1.186185816558485
1,fly,313.7457495326087,1.083680019590712
2,fly,306.70579934755585,1.1085541933777245
3,fly,362.0934025951128,1.0649805958679788
4,fly,391.51780526745966,1.151522956668999
5,fly,393.57058874683446,1.1575605551377484
7,fly,397.4098301704501,1.1688524416777943
6,fly,407.00850918141657,1.1970838505335781
8,fly,398.4703669949389,1.1719716676321732
9,fly,399.1509686124404,1.173973437095413
10,fly,304.304610361494,1.117301507841443
11,fly,347.3271686175128,1.0215504959338613
12,fly,405.7342904781517,1.1933361484651521
13,fly,299.3104798633263,1.1359441879724816
14,fly,413.6347941110452,1.2165729238560152
15,fly,390.4552908348135,1.1483979142200398
16,fly,407.806927195359,1.1994321388098794
17,fly,382.6427898751827,1.1254199702211256
18,fly,328.8999570113333,1.0337489949513257
19,fly,391.72785345897796,1.1521407454675823
20,fly,386.452718394273,1.136625642336097
21,fly,330.9514128699299,1.0273411346143015
22,fly,365.7066865077636,1.0756079014934223
23,fly,415.4334418009107,1.2218630641203256
24,fly,333.06809062384593,1.0208122890522788
25,fly,350.0,1.0294117647058822
26,fly,335.0657326522796,1.0147262667198529
27,fly,380.17831317646574,1.1181715093425464
28,fly,396.7281867383352,1.166847608053927
29,fly,401.31232211478596,1.1803303591611352
30,fly,369.4350004207112,1.0865735306491506
31,fly,350.0,1.0294117647058822
32,fly,398.64500524810757,1.1724853095532575
33,fly,409.47265717422084,1.2043313446300612
34,fly,375.07977647841756,1.1031758131718163
35,fly,306.6021335269583,1.108929008708627
36,fly,329.7190089704341,1.0311810685761456
37,fly,396.8359310990136,1.167164503232393
38,fly,306.70579934755585,1.1085541933777245
39,fly,386.452718394273,1.136625642336097
40,fly,370.05943004154534,1.0884100883574863
41,fly,413.5135451033986,1.216216309127643
42,fly,403.67218772364845,1.187271140363672
43,fly,344.7461687403372,1.0139593198245211
44,fly,312.14452096080794,1.0892390452776506
45,fly,335.25310577673787,1.0141591357140873
46,fly,334.8735375485833,1.0153086520032149
47,fly,414.3167438667336,1.2185786584315694
48,fly,360.21362666832596,1.0594518431421351
49,fly,358.56663218870807,1.0546077417314943
0,mouse,271.720409495042,1.2880887403726158
1,mouse,292.9123992353026,1.194896497771123
2,mouse,299.9321808893625,1.1669304672882244
