match_level,ensemble_id,organism,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
1,0,worm,100.0,219,0.0,21.494791666666668,6.9198611111111115
1,0,worm,200.0,42,0.0,18.0546875,5.896805555555556
1,0,worm,200.0,137,0.0,17.481770833333332,5.752083333333333
1,0,worm,200.0,219,0.0,18.856770833333332,6.164027777777778
1,1,worm,500.0,137,0.5416666666666666,2.9036458333333335,0.8456944444444444
1,1,worm,500.0,219,0.4375,3.6171875,1.0055555555555555
1,1,worm,1000.0,42,0.875,1.5989583333333333,0.46152777777777776
1,1,worm,1000.0,137,0.8958333333333334,1.7239583333333333,0.48277777777777775
1,0,worm,10.0,42,0.0,23.4296875,7.358194444444444
1,0,worm,10.0,137,0.0,22.739583333333332,7.2058333333333335
1,0,worm,10.0,219,0.0,23.158854166666668,7.319444444444445
1,0,worm,30.0,42,0.0,22.6640625,7.173472222222222
1,1,worm,1000.0,219,0.7916666666666666,1.859375,0.5256944444444445
1,1,worm,3000.0,42,0.9791666666666666,0.8307291666666666,0.2452777777777778
1,1,worm,3000.0,137,0.9583333333333334,0.8151041666666666,0.24680555555555556
1,1,worm,3000.0,219,1.0,0.84375,0.2538888888888889
1,0,worm,30.0,137,0.0,21.184895833333332,6.793888888888889
1,0,worm,30.0,219,0.0,23.145833333333332,7.33625
1,0,worm,100.0,42,0.0,20.122395833333332,6.464722222222222
1,0,worm,100.0,137,0.0,19.6171875,6.352083333333334
1,1,worm,30.0,137,0.0,18.067708333333332,5.627916666666667
1,1,worm,30.0,219,0.0,19.5234375,6.0472222222222225
1,1,worm,100.0,42,0.0,12.3671875,3.68875
1,1,worm,100.0,137,0.0,11.544270833333334,3.482638888888889
1,0,worm,500.0,137,0.0,13.408854166666666,4.504444444444444
1,0,worm,500.0,219,0.0,14.2734375,4.8372222222222225
1,0,worm,1000.0,42,0.0,10.559895833333334,3.595833333333333
1,0,worm,1000.0,137,0.0,9.6015625,3.3181944444444444
1,1,worm,350.0,42,0.1875,4.7890625,1.3505555555555555
1,1,worm,350.0,137,0.2708333333333333,4.481770833333333,1.2726388888888889
1,1,worm,350.0,219,0.14583333333333334,5.0703125,1.4236111111111112
1,1,worm,500.0,42,0.4791666666666667,3.2890625,0.9063888888888889
1,1,worm,100.0,219,0.0,12.638020833333334,3.765972222222222
1,1,worm,200.0,42,0.020833333333333332,7.875,2.267638888888889
1,1,worm,200.0,137,0.0,7.408854166666667,2.158888888888889
1,1,worm,200.0,219,0.0,8.005208333333334,2.3156944444444445
1,0,worm,1000.0,219,0.0,10.846354166666666,3.72125
1,0,worm,3000.0,42,0.10416666666666667,6.880208333333333,2.3956944444444446
1,0,worm,3000.0,137,0.0625,6.828125,2.3966666666666665
1,0,worm,3000.0,219,0.125,6.677083333333333,2.3645833333333335
1,1,worm,10.0,42,0.0,22.205729166666668,6.893194444444444
1,1,worm,10.0,137,0.0,21.130208333333332,6.660972222222222
1,1,worm,10.0,219,0.0,22.1328125,6.9302777777777775
1,1,worm,30.0,42,0.0,18.895833333333332,5.831388888888889
1,0,worm,350.0,42,0.0,15.557291666666666,5.141805555555556
1,0,worm,350.0,137,0.0,15.151041666666666,5.062777777777778
1,0,worm,350.0,219,0.0,15.536458333333334,5.2
1,0,worm,500.0,42,0.0,13.838541666666666,4.65125
1,2,worm,30.0,137,0.0,21.653645833333332,7.013194444444444
1,2,worm,30.0,219,0.0,23.2265625,7.450555555555556
1,2,worm,100.0,42,0.0,21.401041666666668,7.026388888888889
1,2,worm,100.0,137,0.0,20.395833333333332,6.801527777777777
1,2,worm,100.0,219,0.0,22.333333333333332,7.361666666666666
1,2,worm,200.0,42,0.0,19.221354166666668,6.491666666666666
1,2,worm,200.0,137,0.0,18.2421875,6.215694444444445
1,2,worm,200.0,219,0.0,19.721354166666668,6.719305555555556
