match_level,ensemble_id,organism,n_active,active_classes,predicted_EC50_uM,published_EC50_uM,fold_error
2,0,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,373.76842966515267,340.0,1.0993189107798609
2,1,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1285.4532504843553,340.0,3.780744854365751
2,2,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,3,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,4,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,128.5774249222809,340.0,2.644321117844087
2,5,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,6,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,291.9694480540805,340.0,1.1645054037880804
2,7,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,8,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,9,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,10,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,617.4301446215323,340.0,1.8159710135927423
2,11,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,438.8322691662569,340.0,1.2906831446066378
2,13,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1780.2814175429157,340.0,5.236121816302694
2,12,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,14,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,837.5144844151931,340.0,2.4632778953388033
2,15,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,16,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,17,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,18,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,19,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,20,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,21,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1513.7207229714268,340.0,4.452119773445373
2,22,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,782.3213992038867,340.0,2.3009452917761375
2,23,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,24,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,25,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,26,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,27,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,141.4213562373095,340.0,2.4041630560342613
2,28,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,29,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,584.1819938161389,340.0,1.7181823347533496
2,30,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,31,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,32,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,33,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,34,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,280.34375565265617,340.0,1.2127967652015672
2,35,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,36,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,37,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,38,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,443.95200087130047,340.0,1.3057411790332367
2,39,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,233.3860934576449,340.0,1.4568134500340462
2,40,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,41,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,42,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,367.7750011052895,340.0,1.0816911797214397
2,43,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,412.630433978953,340.0,1.213618923467509
2,44,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,45,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,46,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,279.2986465543056,340.0,1.2173349358994903
