sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
0,worm,415.09890756812666,1.2208791399062549,0.974|1.493|0.569|1.146|1.197|1.244|0.969|1.480,0.702|1.396|1.043|0.768|1.195|0.803|1.464|0.743
1,worm,269.3023216657469,1.262521607303489,1.007|0.656|1.261|0.551|1.229|0.794|1.214|1.040,0.964|1.077|1.290|0.546|0.832|1.221|0.770|1.162
2,worm,281.07576648724404,1.209638256080074,1.429|0.573|0.628|0.766|0.922|1.363|0.516|0.733,1.322|0.832|0.806|1.137|1.040|1.261|1.046|0.933
3,worm,301.65537120550067,1.1271140263183888,1.315|1.037|0.942|1.090|1.031|0.582|0.525|1.137,0.785|0.728|0.822|1.303|0.991|1.215|1.222|0.548
4,worm,386.630844706708,1.1371495432550236,1.056|1.287|0.878|1.399|1.341|0.949|1.006|0.518,1.307|1.099|0.971|1.123|1.091|1.200|1.264|0.868
5,worm,343.8369539417682,1.0112851586522593,1.444|1.141|1.160|0.915|1.340|0.749|0.991|0.548,1.290|1.366|0.664|0.978|1.050|1.046|0.792|1.353
6,worm,256.6917011741114,1.3245461323635912,0.957|1.224|1.495|0.720|1.062|0.647|0.558|0.929,1.200|1.006|0.700|1.274|0.777|0.762|0.690|1.042
7,worm,155.97386896195215,2.1798523192557253,0.732|0.504|0.631|0.520|0.555|1.460|0.879|1.203,0.751|0.532|0.638|1.486|0.642|0.607|0.893|0.507
8,worm,374.0132720644902,1.1000390354837948,1.061|0.771|1.048|1.115|0.862|1.271|1.145|0.885,0.716|1.284|1.051|0.905|1.229|0.732|1.362|0.879
9,worm,297.18449907325123,1.1440704379275024,0.559|0.695|1.090|1.190|0.584|0.659|1.261|0.573,1.364|0.843|1.176|0.824|1.261|0.830|1.257|1.246
10,worm,291.1824019806283,1.167652982073482,0.772|0.912|0.749|0.575|1.412|1.161|0.743|0.580,1.101|0.565|0.781|0.611|0.960|0.942|1.027|0.573
11,worm,394.186758155262,1.1593728181037117,0.905|1.174|1.349|1.204|1.302|1.230|1.167|0.533,1.041|0.515|0.682|1.019|1.074|1.342|0.989|0.886
12,worm,265.51388386492164,1.2805356731287645,0.871|0.925|1.483|0.736|0.902|1.195|1.337|1.175,0.871|1.208|0.990|1.058|0.801|1.013|1.144|1.195
13,worm,190.47180622947815,1.7850410868177102,1.245|1.180|0.617|0.600|0.627|0.899|1.415|1.498,0.602|0.630|0.930|0.622|0.655|0.954|0.819|0.891
14,worm,442.6664952582691,1.3019602801713797,1.376|0.938|0.675|1.228|1.234|0.885|0.893|0.752,1.199|1.199|1.405|1.393|1.436|0.821|1.347|1.001
15,worm,265.68237005435094,1.2797236035287016,1.117|1.000|1.224|0.934|0.602|0.785|0.541|0.550,1.432|0.530|0.625|1.467|1.121|0.659|0.716|1.201
16,worm,435.51985136782525,1.280940739317133,0.561|0.887|0.828|0.799|1.260|1.336|0.826|0.507,1.375|0.981|0.505|0.831|1.487|1.282|0.937|1.228
17,worm,244.49750033748225,1.3906072640034959,0.834|1.117|0.707|0.613|1.476|0.547|0.800|1.160,1.131|1.088|0.799|0.843|0.547|1.308|0.863|0.511
18,worm,352.55697308735154,1.036932273786328,1.438|0.662|1.385|1.055|1.098|1.137|1.476|0.685,1.146|1.329|1.427|1.401|1.022|0.519|1.100|0.797
19,worm,260.80581791192407,1.3036518998008717,1.022|0.738|0.694|0.987|1.322|0.661|1.453|1.027,1.088|1.347|0.576|0.778|0.634|1.471|0.789|1.409
20,worm,346.75075088432993,1.0198551496597938,1.046|0.622|1.414|1.365|0.530|0.928|1.230|0.633,1.396|0.630|1.288|0.704|1.305|1.050|0.634|1.429
21,worm,456.39819855398866,1.342347642805849,1.294|1.159|0.881|1.297|1.161|0.619|1.113|1.307,0.554|0.938|1.168|1.207|1.395|0.935|0.569|0.704
22,worm,451.9910413309799,1.3293854156793525,1.466|0.897|0.862|1.359|1.359|1.395|0.945|1.292,1.030|0.618|1.110|0.591|1.242|1.134|0.586|1.239
23,worm,329.2196567485208,1.0327451384827666,1.457|0.565|0.783|1.495|0.948|1.003|1.131|1.032,0.672|1.305|0.547|1.027|1.014|0.870|0.664|0.859
24,worm,312.93953623029336,1.086471860013855,1.353|0.724|1.187|0.671|1.385|0.609|1.292|0.808,1.411|0.990|1.367|1.420|1.003|1.400|1.386|1.218
25,worm,263.72557604422605,1.2892189111873735,1.123|1.420|0.797|1.431|0.992|1.324|0.700|1.220,0.976|1.244|0.845|1.477|0.584|1.496|1.195|0.605
26,worm,243.45670646989498,1.3965522040036438,0.759|0.559|0.722|0.756|1.000|1.312|1.352|0.838,1.310|0.642|0.855|1.363|0.738|1.366|0.764|1.085
27,worm,350.0,1.0294117647058822,0.604|0.850|1.326|0.846|0.525|1.043|0.631|1.099,1.381|1.414|1.228|0.884|1.463|1.400|1.179|1.158
28,worm,397.3235405268199,1.1685986486082938,0.818|1.463|1.405|1.418|0.508|0.597|1.123|1.057,1.428|1.146|1.256|1.078|1.372|1.430|0.726|0.710
