sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
0,fly,411.4473618424412,1.2101392995365916,0.974|1.493|0.569|1.146|1.197|1.244|0.969|1.480,0.702|1.396|1.043|0.768|1.195|0.803|1.464|0.743
1,fly,283.9309261420523,1.1974743456790475,1.007|0.656|1.261|0.551|1.229|0.794|1.214|1.040,0.964|1.077|1.290|0.546|0.832|1.221|0.770|1.162
2,fly,288.85017532744683,1.1770808157362849,1.429|0.573|0.628|0.766|0.922|1.363|0.516|0.733,1.322|0.832|0.806|1.137|1.040|1.261|1.046|0.933
3,fly,309.90864125333246,1.09709751436737,1.315|1.037|0.942|1.090|1.031|0.582|0.525|1.137,0.785|0.728|0.822|1.303|0.991|1.215|1.222|0.548
4,fly,397.6736091014471,1.1696282620630796,1.056|1.287|0.878|1.399|1.341|0.949|1.006|0.518,1.307|1.099|0.971|1.123|1.091|1.200|1.264|0.868
5,fly,356.09288847946596,1.0473320249396056,1.444|1.141|1.160|0.915|1.340|0.749|0.991|0.548,1.290|1.366|0.664|0.978|1.050|1.046|0.792|1.353
6,fly,284.8710949919378,1.193522284209363,0.957|1.224|1.495|0.720|1.062|0.647|0.558|0.929,1.200|1.006|0.700|1.274|0.777|0.762|0.690|1.042
7,fly,255.73197130405947,1.3295169871261336,0.732|0.504|0.631|0.520|0.555|1.460|0.879|1.203,0.751|0.532|0.638|1.486|0.642|0.607|0.893|0.507
8,fly,399.4285839200975,1.1747899527061691,1.061|0.771|1.048|1.115|0.862|1.271|1.145|0.885,0.716|1.284|1.051|0.905|1.229|0.732|1.362|0.879
9,fly,293.13379483862934,1.1598799114485268,0.559|0.695|1.090|1.190|0.584|0.659|1.261|0.573,1.364|0.843|1.176|0.824|1.261|0.830|1.257|1.246
10,fly,276.1595343556894,1.2311724119656322,0.772|0.912|0.749|0.575|1.412|1.161|0.743|0.580,1.101|0.565|0.781|0.611|0.960|0.942|1.027|0.573
11,fly,409.54221005068536,1.2045359119137804,0.905|1.174|1.349|1.204|1.302|1.230|1.167|0.533,1.041|0.515|0.682|1.019|1.074|1.342|0.989|0.886
12,fly,337.5097730083737,1.0073782366935031,0.871|0.925|1.483|0.736|0.902|1.195|1.337|1.175,0.871|1.208|0.990|1.058|0.801|1.013|1.144|1.195
13,fly,281.879025476733,1.2061912000191177,1.245|1.180|0.617|0.600|0.627|0.899|1.415|1.498,0.602|0.630|0.930|0.622|0.655|0.954|0.819|0.891
14,fly,393.593969982242,1.1576293234771824,1.376|0.938|0.675|1.228|1.234|0.885|0.893|0.752,1.199|1.199|1.405|1.393|1.436|0.821|1.347|1.001
15,fly,295.5631595407324,1.1503463440041608,1.117|1.000|1.224|0.934|0.602|0.785|0.541|0.550,1.432|0.530|0.625|1.467|1.121|0.659|0.716|1.201
16,fly,307.03423212643764,1.1073683792365763,0.561|0.887|0.828|0.799|1.260|1.336|0.826|0.507,1.375|0.981|0.505|0.831|1.487|1.282|0.937|1.228
17,fly,267.9309290059038,1.2689837685462142,0.834|1.117|0.707|0.613|1.476|0.547|0.800|1.160,1.131|1.088|0.799|0.843|0.547|1.308|0.863|0.511
18,fly,397.6736091014471,1.1696282620630796,1.438|0.662|1.385|1.055|1.098|1.137|1.476|0.685,1.146|1.329|1.427|1.401|1.022|0.519|1.100|0.797
19,fly,288.85017532744683,1.1770808157362849,1.022|0.738|0.694|0.987|1.322|0.661|1.453|1.027,1.088|1.347|0.576|0.778|0.634|1.471|0.789|1.409
20,fly,388.0682260774602,1.1413771355219418,1.046|0.622|1.414|1.365|0.530|0.928|1.230|0.633,1.396|0.630|1.288|0.704|1.305|1.050|0.634|1.429
21,fly,413.2741827184707,1.215512302113149,1.294|1.159|0.881|1.297|1.161|0.619|1.113|1.307,0.554|0.938|1.168|1.207|1.395|0.935|0.569|0.704
22,fly,439.6764973856963,1.2931661687814597,1.466|0.897|0.862|1.359|1.359|1.395|0.945|1.292,1.030|0.618|1.110|0.591|1.242|1.134|0.586|1.239
23,fly,391.1552600054957,1.1504566470749873,1.457|0.565|0.783|1.495|0.948|1.003|1.131|1.032,0.672|1.305|0.547|1.027|1.014|0.870|0.664|0.859
24,fly,295.90794759507486,1.1490059755517665,1.353|0.724|1.187|0.671|1.385|0.609|1.292|0.808,1.411|0.990|1.367|1.420|1.003|1.400|1.386|1.218
25,fly,395.9263451396008,1.1644892504105906,1.123|1.420|0.797|1.431|0.992|1.324|0.700|1.220,0.976|1.244|0.845|1.477|0.584|1.496|1.195|0.605
26,fly,282.4498285261138,1.203753607407715,0.759|0.559|0.722|0.756|1.000|1.312|1.352|0.838,1.310|0.642|0.855|1.363|0.738|1.366|0.764|1.085
27,fly,323.1084553438724,1.0522782501564392,0.604|0.850|1.326|0.846|0.525|1.043|0.631|1.099,1.381|1.414|1.228|0.884|1.463|1.400|1.179|1.158
28,fly,407.5536008353699,1.1986870612804996,0.818|1.463|1.405|1.418|0.508|0.597|1.123|1.057,1.428|1.146|1.256|1.078|1.372|1.430|0.726|0.710
29,fly,275.56529075385663,1.2338273774243158,0.621|0.716|1.362|0.627|1.111|0.716|1.053|1.378,1.238|0.806|0.728|1.261|0.615|0.788|1.313|0.697
30,fly,342.2524158819656,1.0066247525940164,1.287|1.456|1.022|0.956|0.610|1.023|0.970|1.103,0.534|1.159|0.642|1.251|0.681|0.968|0.599|1.062
31,fly,416.557495362715,1.2251691040079853,1.271|0.857|1.039|1.386|0.516|1.147|0.766|1.238,0.818|1.063|0.741|0.880|1.364|1.293|0.979|1.273
32,fly,275.773060202398,1.2328978028182445,1.014|0.756|1.465|0.585|0.871|0.678|0.685|1.411,1.246|0.914|0.565|0.997|0.674|1.073|1.001|1.013
33,fly,289.91880996910106,1.1727421205827815,1.407|0.790|0.837|0.730|1.500|0.580|0.536|0.906,0.886|1.012|1.085|1.327|1.357|0.554|1.285|0.911
34,fly,417.4532402207752,1.2278036477081624,1.361|1.356|0.996|1.242|0.973|1.176|0.836|1.355,1.471|1.500|0.811|0.801|0.880|0.746|0.906|0.785
35,fly,412.3702597380814,1.212853705112004,0.716|1.371|1.123|1.236|1.468|1.077|0.755|1.474,1.440|1.214|1.304|1.171|1.117|1.331|1.380|1.384
36,fly,309.90864125333246,1.09709751436737,0.888|0.597|0.960|1.261|0.968|0.566|0.667|1.217,1.497|1.122|0.942|0.522|1.285|1.085|1.424|0.839
37,fly,280.0934128471181,1.2138807426563094,1.202|1.482|0.757|0.696|0.632|1.117|0.603|0.844,1.167|0.870|1.419|1.443|0.564|1.379|0.834|0.537
38,fly,310.99972990217134,1.093248537890856,0.513|0.603|0.645|1.331|0.952|0.809|0.914|1.115,1.342|0.966|0.536|0.512|1.445|0.700|0.826|0.900
39,fly,289.9033645367432,1.1728046017793194,0.723|0.687|0.662|0.741|0.857|0.982|0.817|1.087,0.503|0.898|1.430|1.496|1.400|1.411|1.292|0.590
40,fly,280.97645690951487,1.210065796044588,1.088|0.814|1.213|0.813|1.488|0.506|0.505|0.971,1.098|1.475|0.755|1.221|0.712|1.429|1.128|1.110
41,fly,383.0979907382244,1.1267587962888952,0.525|1.004|1.099|1.466|1.370|0.538|1.290|1.336,1.216|0.927|1.122|1.085|1.230|0.791|0.803|0.689
42,fly,463.05936424762297,1.3619393066106558,1.492|1.081|0.654|1.455|1.445|1.485|1.199|1.196,0.725|0.815|1.460|0.850|1.345|0.542|0.532|0.777
43,fly,396.53701253900886,1.1662853309970849,0.680|1.440|1.009|1.327|1.101|1.346|1.080|1.147,1.460|0.750|0.732|0.943|0.664|0.878|1.052|1.297
44,fly,411.4473618424412,1.2101392995365916,1.301|1.341|0.848|1.038|1.080|0.819|1.250|1.403,0.947|1.042|1.141|1.236|1.252|0.598|1.163|1.495
45,fly,402.64506984120914,1.184250205415321,0.891|1.021|1.142|1.422|1.174|1.378|0.736|1.464,0.541|0.679|1.090|0.736|0.597|0.670|0.706|0.970
46,fly,361.71513981447725,1.0638680582778743,1.139|0.959|0.542|1.344|0.899|1.096|1.366|1.342,0.689|1.105|0.865|0.962|0.609|1.110|0.860|0.842
47,fly,301.247759181957,1.1286391006634384,0.548|0.587|0.951|0.880|0.645|1.281|0.922|1.433,0.866|1.052|1.322|0.750|1.212|0.626|1.306|0.639
48,fly,423.44769481817093,1.2454343965240322,1.331|1.130|0.777|1.191|1.057|1.417|1.465|0.966,0.592|1.130|1.314|0.556|1.061|1.486|1.231|1.363
49,fly,393.0168598235899,1.1559319406576174,1.387|1.393|1.233|0.822|1.391|1.187|0.789|0.649,1.112|1.190|1.349|1.060|1.033|1.092|1.473|1.313
50,fly,350.0,1.0294117647058822,1.473|1.064|0.921|1.140|0.697|0.527|0.869|0.877,1.000|1.255|1.491|0.751|1.326|1.237|1.459|1.027
51,fly,299.0291960053814,1.1370127216403354,0.866|1.232|0.604|1.273|0.651|0.631|0.985|0.698,0.652|1.422|1.233|1.142|1.081|0.753|1.207|1.486
52,fly,385.7571935140749,1.1345799809237498,1.231|1.261|0.740|1.030|1.030|0.950|1.012|0.861,1.261|0.587|0.834|0.571|1.175|0.908|0.622|0.730
53,fly,378.4592800508933,1.113115529561451,1.097|1.080|1.278|1.409|0.882|0.627|1.061|0.898,0.775|0.887|1.446|0.716|0.877|1.027|0.955|0.806
54,fly,387.5482206053008,1.1398477076626494,0.848|1.308|1.473|1.010|0.934|0.997|1.249|1.285,1.069|1.170|0.655|0.988|0.751|0.998|1.114|1.445
55,fly,333.06809062384593,1.0208122890522788,1.266|0.749|1.252|0.840|0.793|1.055|1.381|0.860,0.619|0.599|1.451|1.335|0.898|0.774|0.916|1.185
56,fly,274.5869315406542,1.2382235312231566,0.575|1.244|1.308|0.977|0.716|0.839|0.579|0.600,0.857|0.953|1.475|1.348|0.518|0.581|1.437|0.619
57,fly,372.39815070841075,1.0952886785541494,1.157|0.904|1.199|0.929|1.258|1.420|1.370|0.523,0.571|0.697|1.482|0.507|0.694|0.574|0.648|0.651
58,fly,308.0292568105219,1.1037912551571174,1.253|1.298|0.578|1.086|0.562|0.821|0.886|0.942,0.641|0.821|0.596|1.319|0.953|1.448|0.945|1.147
59,fly,302.99075130699697,1.1221464633272071,0.592|1.279|0.857|1.311|1.440|0.872|0.562|0.626,1.000|1.449|0.519|1.094|0.763|1.109|0.929|0.995
60,fly,274.7707567165081,1.237395143729911,0.708|0.972|0.580|0.510|0.843|0.705|1.319|0.999,1.124|1.351|1.114|1.183|1.299|0.922|1.482|1.396
61,fly,413.03495888849943,1.2148087026132337,1.107|1.478|1.319|1.288|0.817|1.223|0.679|1.397,1.184|1.376|0.718|0.960|0.800|1.063|0.615|0.588
62,fly,401.19130362436164,1.1799744224245932,0.919|1.383|1.392|0.877|1.137|0.863|1.187|0.913,0.750|0.706|1.024|0.649|1.335|0.529|1.340|1.336
63,fly,411.4473618424412,1.2101392995365916,0.658|0.948|0.900|1.167|1.286|1.471|1.491|1.278,0.522|1.317|1.372|1.248|1.143|1.125|1.110|0.667
64,fly,282.111217923179,1.2051984408949825,0.786|0.706|1.174|1.101|0.730|0.919|0.771|0.665,0.805|1.162|1.265|1.010|0.622|0.856|1.133|1.341
65,fly,330.9514128699299,1.0273411346143015,0.675|0.522|0.920|1.253|1.409|0.977|1.433|1.123,1.482|0.799|0.930|0.657|0.867|1.312|0.658|1.419
66,fly,277.20572207540624,1.2265259081034132,1.416|0.837|0.557|0.632|0.762|1.154|0.642|0.718,1.012|0.555|0.917|1.031|0.924|0.810|0.514|0.754
67,fly,370.7880375151584,1.0905530515151718,1.343|0.964|1.059|0.668|0.740|1.459|1.309|1.422,0.514|1.275|1.244|1.413|0.901|1.255|1.180|0.988
68,fly,308.0292568105219,1.1037912551571174,0.619|0.798|0.687|1.064|0.801|1.070|1.430|0.747,1.404|1.450|1.020|1.160|1.203|0.637|1.248|1.287
69,fly,335.25310577673787,1.0141591357140873,0.943|1.137|0.935|0.645|1.374|1.296|1.154|1.323,0.661|0.603|1.199|0.606|0.784|0.980|1.408|0.628
70,fly,279.80329524580316,1.2151393703255529,1.194|1.195|1.355|0.543|0.989|0.903|0.710|0.709,0.989|1.384|1.007|1.119|0.538|0.699|0.758|1.124
71,fly,290.98157367575226,1.1684588673606877,1.031|1.202|0.718|0.995|0.680|0.695|0.953|1.250,1.077|0.870|1.211|0.911|0.749|0.567|0.540|0.570
72,fly,406.8067477088628,1.1964904344378318,0.697|1.162|1.289|0.861|0.728|1.261|1.106|1.365,1.230|0.978|0.766|0.536|1.457|1.004|1.031|1.325
73,fly,304.76273352987937,1.1156219661832962,0.584|0.876|1.444|0.780|0.831|1.252|0.799|1.387,1.029|0.718|0.958|1.103|0.823|1.167|0.577|0.647
74,fly,307.03423212643764,1.1073683792365763,0.503|1.329|0.536|1.474|1.074|1.017|1.450|0.770,0.739|1.339|1.272|1.390|0.505|1.381|0.506|1.055
75,fly,272.48368017359803,1.2477811507220824,0.663|0.865|1.018|0.517|1.046|0.773|1.231|1.064,0.939|1.232|1.133|0.920|0.812|0.843|1.212|0.721
76,fly,421.73488211613244,1.2403967121062718,0.921|1.211|1.163|0.965|1.152|1.498|1.398|1.013,1.450|0.734|0.776|0.869|1.188|1.356|0.748|1.460
77,fly,298.2830683277236,1.1398568544508938,0.995|0.678|1.062|0.850|0.663|1.407|1.488|0.777,0.835|0.852|0.557|1.041|0.554|1.031|0.885|1.173
78,fly,352.0868002724416,1.0355494125660047,0.856|0.613|0.766|1.156|0.779|0.964|1.406|0.781,0.925|1.464|0.612|0.724|1.385|1.249|1.446|0.946
79,fly,324.98115846157225,1.0462144993559794,1.145|0.768|1.433|1.485|0.918|0.722|0.722|1.007,1.258|0.577|1.160|0.567|0.521|1.155|0.736|0.826
80,fly,321.2902298599994,1.058233237120697,0.969|1.056|0.591|1.129|1.205|0.764|0.905|0.931,1.050|0.943|0.898|0.630|1.134|0.642|1.020|0.928
81,fly,303.40013982559674,1.1206323114928092,1.484|1.104|0.807|0.535|0.575|1.037|1.076|1.317,0.912|0.782|1.351|1.289|1.152|0.882|0.876|1.372
82,fly,293.13379483862934,1.1598799114485268,1.172|0.531|1.107|0.682|1.128|0.755|1.341|0.590,0.585|0.507|0.526|0.699|1.317|0.976|1.153|1.096
