sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
0,mouse,298.2830683277236,1.1733820560523907,0.514|1.433|1.159|1.316|1.447|0.874|1.119,1.190|1.242|0.966|1.483|0.708|1.395|1.043
1,mouse,289.2888448723028,1.2098634503328194,1.494|1.123|0.977|1.396|0.921|0.561|0.559,1.224|0.794|1.210|1.044|0.967|1.070|1.296
2,mouse,238.41448565441087,1.4680316048720956,0.972|0.541|0.550|1.042|0.559|0.673|0.768,0.926|1.362|0.513|0.736|1.323|0.832|0.802
3,mouse,298.2830683277236,1.1733820560523907,0.556|0.867|1.080|1.301|1.416|1.193|1.295,1.037|0.582|0.520|1.131|0.782|0.725|0.827
4,mouse,251.4517439018643,1.3919171709407463,1.055|0.778|1.382|0.573|0.571|0.635|1.462,1.348|0.946|1.007|0.518|1.309|1.091|0.979
5,mouse,288.69685254401276,1.2123443567734822,1.396|0.738|0.737|1.159|1.121|0.783|1.351,1.340|0.744|0.998|0.544|1.281|1.370|0.665
6,mouse,293.3048111456959,1.19329784817659,1.180|0.929|1.451|0.868|1.230|1.126|0.714,1.068|0.640|0.556|0.922|1.203|1.007|0.694
7,mouse,323.4397910349544,1.0821179387979978,1.195|1.350|1.122|1.247|1.368|1.259|0.520,0.556|1.470|0.874|1.207|0.752|0.540|0.632
8,mouse,261.4435895832585,1.3387209093858472,1.272|1.364|0.571|0.760|0.805|0.620|1.319,0.863|1.271|1.142|0.888|0.716|1.282|1.057
9,mouse,295.7299422757619,1.1835122182982487,1.083|1.077|1.331|0.731|0.898|1.095|1.422,0.581|0.655|1.265|0.576|1.364|0.841|1.175
10,mouse,317.73237425471217,1.1015559897570284,1.169|1.222|1.102|1.109|1.279|1.395|0.580,1.420|1.164|0.749|0.581|1.103|0.564|0.783
11,mouse,288.75114505328924,1.21211640540995,1.436|0.904|1.161|0.970|0.697|0.706|1.342,1.302|1.239|1.165|0.532|1.041|0.513|0.680
12,mouse,317.73237425471217,1.1015559897570284,1.001|0.945|1.221|1.271|0.990|1.272|0.737,0.903|1.195|1.334|1.179|0.874|1.202|0.980
13,mouse,233.99102747091177,1.4957838502739584,1.387|0.553|0.891|0.885|1.392|0.509|0.604,0.622|0.899|1.416|1.491|0.605|0.623|0.926
14,mouse,282.72408635324837,1.2379560741163527,1.372|0.825|0.637|1.435|0.501|0.618|1.140,1.238|0.881|0.893|0.754|1.195|1.195|1.400
15,mouse,300.1230488519644,1.1661883395454822,0.827|1.140|0.687|1.299|0.935|1.028|1.372,0.610|0.790|0.542|0.555|1.434|0.529|0.621
16,mouse,287.4776692651563,1.2174858690578014,1.486|1.408|0.825|0.598|0.774|1.405|0.793,1.262|1.339|0.829|0.505|1.373|0.986|0.501
