organism,class,param,direction,baseline_value,perturbed_value,baseline_EC50_uM,perturbed_EC50_uM,fold_error_baseline,fold_error_perturbed,sensitivity_index,wall_min
worm,gaba_potentiation,EC50,plus50,330.0,495.0,323.51231599721746,329.52981612911327,1.0509646254176128,1.0317731002125294,0.037201057482754825,0.5139630079269409
worm,gaba_potentiation,EC50,minus50,330.0,165.0,323.51231599721746,299.7541469758224,1.0509646254176128,1.1342628731919555,0.1468764423892871,0.5107746283213298
worm,gaba_potentiation,max,plus50,3.0,4.5,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5135360161463419
worm,gaba_potentiation,max,minus50,3.0,1.5,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5152979016304016
worm,k2p_potentiation,EC50,plus50,250.0,375.0,323.51231599721746,329.52981612911327,1.0509646254176128,1.0317731002125294,0.037201057482754825,0.5145228068033855
worm,k2p_potentiation,EC50,minus50,250.0,125.0,323.51231599721746,303.6295916359941,1.0509646254176128,1.1197854536115457,0.12291788212102808,0.5116738637288412
worm,k2p_potentiation,max,plus50,3.0,4.5,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5148787101109823
worm,k2p_potentiation,max,minus50,3.0,1.5,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5149680654207865
worm,nachr_antagonism,EC50,plus50,280.0,420.0,323.51231599721746,329.52981612911327,1.0509646254176128,1.0317731002125294,0.037201057482754825,0.5172191421190898
worm,nachr_antagonism,EC50,minus50,280.0,140.0,323.51231599721746,299.7541469758224,1.0509646254176128,1.1342628731919555,0.1468764423892871,0.5114537795384725
worm,nachr_antagonism,max,plus50,0.3,0.44999999999999996,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5153249104817709
worm,nachr_antagonism,max,minus50,0.3,0.15,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5161755005518596
worm,complex_i_block,EC50,plus50,240.0,360.0,323.51231599721746,340.9381779196385,1.0509646254176128,1.0027593468224663,0.10772920263456644,0.5150831540425619
worm,complex_i_block,EC50,minus50,240.0,120.0,323.51231599721746,285.35927935034636,1.0509646254176128,1.1914804409867084,0.23586759922425493,0.5162706176439921
worm,complex_i_block,max,plus50,0.7,1.0499999999999998,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5138826012611389
worm,complex_i_block,max,minus50,0.7,0.35,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5110388557116191
worm,snare_cooperativity,EC50,plus50,340.0,510.0,323.51231599721746,355.5924864556069,1.0509646254176128,1.0458602542811968,0.1983242607596142,0.5169679482777914
worm,snare_cooperativity,EC50,minus50,340.0,170.0,323.51231599721746,251.7147388103733,1.0509646254176128,1.3507353665775428,0.4438630224356695,0.5163083990414937
worm,snare_cooperativity,max,plus50,0.5,0.75,323.51231599721746,459.4970187779819,1.0509646254176128,1.3514618199352408,0.8406771307088913,0.5145015120506287
worm,snare_cooperativity,max,minus50,0.5,0.25,323.51231599721746,236.56005379006962,1.0509646254176128,1.4372671740332206,0.5375514804691127,0.5132544636726379
worm,nca_block,EC50,plus50,300.0,450.0,323.51231599721746,329.8308557927717,1.0509646254176128,1.0308313913893412,0.03906212829071127,0.5143193403879801
worm,nca_block,EC50,minus50,300.0,150.0,323.51231599721746,294.4504188107007,1.0509646254176128,1.1546935520529271,0.1796648581797222,0.5128997206687927
worm,nca_block,max,plus50,0.2,0.30000000000000004,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5128809968630473
worm,nca_block,max,minus50,0.2,0.1,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5153926571210226
worm,glucl_potentiation,EC50,plus50,330.0,495.0,323.51231599721746,329.52981612911327,1.0509646254176128,1.0317731002125294,0.037201057482754825,0.5154815872510274
worm,glucl_potentiation,EC50,minus50,330.0,165.0,323.51231599721746,307.59717376689554,1.0509646254176128,1.1053417553753602,0.09838971466210768,0.5122936924298604
worm,glucl_potentiation,max,plus50,2.5,3.75,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5131292859713237
worm,glucl_potentiation,max,minus50,2.5,1.25,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5138967871665955
worm,complex_ii_block,EC50,plus50,400.0,600.0,323.51231599721746,329.52981612911327,1.0509646254176128,1.0317731002125294,0.037201057482754825,0.5132584691047668
worm,complex_ii_block,EC50,minus50,400.0,200.0,323.51231599721746,307.59717376689554,1.0509646254176128,1.1053417553753602,0.09838971466210768,0.5194961190223694
worm,complex_ii_block,max,plus50,0.9,1.35,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,0.0,0.5161093433698019
worm,complex_ii_block,max,minus50,0.9,0.45,323.51231599721746,323.51231599721746,1.0509646254176128,1.0509646254176128,-0.0,0.5143819769223531
fly,gaba_potentiation,EC50,plus50,330.0,495.0,361.71513981447725,386.75914648774125,1.0638680582778743,1.137526901434533,0.1384736435754887,1.3827264110247295
fly,gaba_potentiation,EC50,minus50,330.0,165.0,361.71513981447725,307.03423212643764,1.0638680582778743,1.1073683792365763,0.30234237757416127,1.3812280694643657
fly,gaba_potentiation,max,plus50,3.0,4.5,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3778792897860208
fly,gaba_potentiation,max,minus50,3.0,1.5,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.377844790617625
fly,k2p_potentiation,EC50,plus50,250.0,375.0,361.71513981447725,386.2512533799683,1.0638680582778743,1.1360330981763773,0.13566539447630294,1.3812644282976787
fly,k2p_potentiation,EC50,minus50,250.0,125.0,361.71513981447725,307.03423212643764,1.0638680582778743,1.1073683792365763,0.30234237757416127,1.379640551408132
fly,k2p_potentiation,max,plus50,3.0,4.5,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3772236704826355
fly,k2p_potentiation,max,minus50,3.0,1.5,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3796643575032552
fly,nachr_antagonism,EC50,plus50,280.0,420.0,361.71513981447725,386.2512533799683,1.0638680582778743,1.1360330981763773,0.13566539447630294,1.377801485856374
fly,nachr_antagonism,EC50,minus50,280.0,140.0,361.71513981447725,307.03423212643764,1.0638680582778743,1.1073683792365763,0.30234237757416127,1.3744949698448181
fly,nachr_antagonism,max,plus50,0.3,0.44999999999999996,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3776469866434733
fly,nachr_antagonism,max,minus50,0.3,0.15,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3786481817563374
fly,complex_i_block,EC50,plus50,240.0,360.0,361.71513981447725,402.64506984120914,1.0638680582778743,1.184250205415321,0.22631029515504789,1.3763457099596659
fly,complex_i_block,EC50,minus50,240.0,120.0,361.71513981447725,290.4392866781851,1.0638680582778743,1.1706405283136836,0.39409936323289835,1.3765352606773376
fly,complex_i_block,max,plus50,0.7,1.0499999999999998,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3765286167462667
fly,complex_i_block,max,minus50,0.7,0.35,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3780223329861958
fly,snare_cooperativity,EC50,plus50,340.0,510.0,361.71513981447725,382.6427898751827,1.0638680582778743,1.1254199702211256,0.11571343168792537,1.3767831126848857
fly,snare_cooperativity,EC50,minus50,340.0,170.0,361.71513981447725,316.13989755644366,1.0638680582778743,1.0754732402584408,0.2519952152481592,1.3765995502471924
fly,snare_cooperativity,max,plus50,0.5,0.75,361.71513981447725,402.58015038830206,1.0638680582778743,1.1840592658479472,0.2259513416816579,1.376179313659668
fly,snare_cooperativity,max,minus50,0.5,0.25,361.71513981447725,307.03423212643764,1.0638680582778743,1.1073683792365763,0.30234237757416127,1.3832219044367473
fly,nca_block,EC50,plus50,300.0,450.0,361.71513981447725,392.3883533799542,1.0638680582778743,1.1540833922939828,0.16959872667320008,1.3818537751833597
fly,nca_block,EC50,minus50,300.0,150.0,361.71513981447725,299.99124609348064,1.0638680582778743,1.1333664046118606,0.3412845464674475,1.377118448416392
fly,nca_block,max,plus50,0.2,0.30000000000000004,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3757726073265075
fly,nca_block,max,minus50,0.2,0.1,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3790820240974426
fly,glucl_potentiation,EC50,plus50,330.0,495.0,361.71513981447725,379.8862983034869,1.0638680582778743,1.117312642069079,0.10047220306194314,1.3743167360623678
fly,glucl_potentiation,EC50,minus50,330.0,165.0,361.71513981447725,321.2902298599994,1.0638680582778743,1.058233237120697,0.22351793168077896,1.382394023736318
fly,glucl_potentiation,max,plus50,2.5,3.75,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3781184752782185
fly,glucl_potentiation,max,minus50,2.5,1.25,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3767417112986247
fly,complex_ii_block,EC50,plus50,400.0,600.0,361.71513981447725,379.8862983034869,1.0638680582778743,1.117312642069079,0.10047220306194314,1.3782520373662313
fly,complex_ii_block,EC50,minus50,400.0,200.0,361.71513981447725,317.808078484074,1.0638680582778743,1.0698280598208207,0.24277148782283814,1.387521493434906
fly,complex_ii_block,max,plus50,0.9,1.35,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,0.0,1.3805941700935365
fly,complex_ii_block,max,minus50,0.9,0.45,361.71513981447725,361.71513981447725,1.0638680582778743,1.0638680582778743,-0.0,1.3764700969060262
mouse,gaba_potentiation,EC50,plus50,330.0,495.0,288.16703706970225,301.4795775440328,1.2145733375998224,1.160940992591382,0.09239460980480214,1.3563512961069744
mouse,gaba_potentiation,EC50,minus50,330.0,165.0,288.16703706970225,273.28742202779443,1.2145733375998224,1.2807029222310993,0.10327076402085995,1.355985701084137
mouse,gaba_potentiation,max,plus50,3.0,4.5,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3581695477167766
mouse,gaba_potentiation,max,minus50,3.0,1.5,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.354981013139089
mouse,k2p_potentiation,EC50,plus50,250.0,375.0,288.16703706970225,301.4795775440328,1.2145733375998224,1.160940992591382,0.09239460980480214,1.3555208722750345
mouse,k2p_potentiation,EC50,minus50,250.0,125.0,288.16703706970225,273.28742202779443,1.2145733375998224,1.2807029222310993,0.10327076402085995,1.356325137615204
mouse,k2p_potentiation,max,plus50,3.0,4.5,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3604006886482238
mouse,k2p_potentiation,max,minus50,3.0,1.5,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.3581155776977538
mouse,nachr_antagonism,EC50,plus50,280.0,420.0,288.16703706970225,301.4795775440328,1.2145733375998224,1.160940992591382,0.09239460980480214,1.3556193669637044
mouse,nachr_antagonism,EC50,minus50,280.0,140.0,288.16703706970225,273.28742202779443,1.2145733375998224,1.2807029222310993,0.10327076402085995,1.3566888014475504
mouse,nachr_antagonism,max,plus50,0.3,0.44999999999999996,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3587076584498088
mouse,nachr_antagonism,max,minus50,0.3,0.15,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.3628888646761577
mouse,complex_i_block,EC50,plus50,240.0,360.0,288.16703706970225,323.4397910349544,1.2145733375998224,1.0821179387979978,0.24480769434236385,1.3603849252065023
mouse,complex_i_block,EC50,minus50,240.0,120.0,288.16703706970225,252.649481677304,1.2145733375998224,1.3853184961093121,0.2465067188361811,1.3583312948544821
mouse,complex_i_block,max,plus50,0.7,1.0499999999999998,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3620057384173074
mouse,complex_i_block,max,minus50,0.7,0.35,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.357758065064748
mouse,snare_cooperativity,EC50,plus50,340.0,510.0,288.16703706970225,289.2888448723028,1.2145733375998224,1.2098634503328194,0.007785816268285982,1.3589877963066102
mouse,snare_cooperativity,EC50,minus50,340.0,170.0,288.16703706970225,285.5555280771391,1.2145733375998224,1.2256810517968753,0.01812496681868201,1.3588436841964722
mouse,snare_cooperativity,max,plus50,0.5,0.75,288.16703706970225,289.86955004210546,1.2145733375998224,1.207439691230625,0.011816153503992939,1.3560816486676535
mouse,snare_cooperativity,max,minus50,0.5,0.25,288.16703706970225,284.96318825107335,1.2145733375998224,1.2282288184241694,0.022236053444613425,1.3570819576581319
mouse,nca_block,EC50,plus50,300.0,450.0,288.16703706970225,307.2893918338351,1.2145733375998224,1.1389914826257992,0.1327171557065184,1.3558601935704548
mouse,nca_block,EC50,minus50,300.0,150.0,288.16703706970225,265.35554520800923,1.2145733375998224,1.3189850610645386,0.15832131317764384,1.3556976358095805
mouse,nca_block,max,plus50,0.2,0.30000000000000004,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3564952254295348
mouse,nca_block,max,minus50,0.2,0.1,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.3582449992497763
mouse,complex_ii_block,EC50,plus50,400.0,600.0,288.16703706970225,295.7299422757619,1.2145733375998224,1.1835122182982487,0.05248973153185693,1.3578082601229349
mouse,complex_ii_block,EC50,minus50,400.0,200.0,288.16703706970225,277.8728840211442,1.2145733375998224,1.2595687457339932,0.07144573614828864,1.3577505310376485
mouse,complex_ii_block,max,plus50,0.9,1.35,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,0.0,1.3558836499849956
mouse,complex_ii_block,max,minus50,0.9,0.45,288.16703706970225,288.16703706970225,1.2145733375998224,1.2145733375998224,-0.0,1.355533202489217
