organism,subset,n_classes,predicted_EC50_uM,published_EC50_uM,fold_error,passes_stage1,qf_dose_10,qf_dose_30,qf_dose_100,qf_dose_200,qf_dose_350,qf_dose_500,qf_dose_1000,qf_dose_3000
worm,gaba_potentiation,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,k2p_potentiation,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,complex_i_block,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,snare_cooperativity,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0375
worm,nca_block,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,nachr_antagonism,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,glucl_potentiation,1,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,gaba_potentiation|k2p_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,gaba_potentiation|complex_i_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,gaba_potentiation|snare_cooperativity,2,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.05833333333333333,0.2541666666666667
worm,gaba_potentiation|nca_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667
worm,gaba_potentiation|nachr_antagonism,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,gaba_potentiation|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,k2p_potentiation|complex_i_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.004166666666666667
worm,k2p_potentiation|snare_cooperativity,2,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.05833333333333333,0.2583333333333333
worm,k2p_potentiation|nca_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667
worm,k2p_potentiation|nachr_antagonism,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,k2p_potentiation|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,complex_i_block|snare_cooperativity,2,2316.6340219616445,340.0,6.813629476357778,False,0.0,0.0,0.0,0.004166666666666667,0.025,0.0375,0.22916666666666669,0.5833333333333334
worm,complex_i_block|nca_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666
worm,complex_i_block|nachr_antagonism,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,complex_i_block|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,snare_cooperativity|nca_block,2,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.016666666666666666,0.09166666666666665,0.35833333333333334
worm,snare_cooperativity|nachr_antagonism,2,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.05833333333333333,0.26666666666666666
worm,snare_cooperativity|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.024999999999999998,0.15
worm,nca_block|nachr_antagonism,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667
worm,nca_block|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,nachr_antagonism|glucl_potentiation,2,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worm,gaba_potentiation|k2p_potentiation|complex_i_block,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.04583333333333332
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity,3,2445.425911600336,340.0,7.192429151765694,False,0.0,0.0,0.0,0.004166666666666667,0.020833333333333332,0.0375,0.20833333333333334,0.5666666666666667
worm,gaba_potentiation|k2p_potentiation|nca_block,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666
worm,gaba_potentiation|k2p_potentiation|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,gaba_potentiation|k2p_potentiation|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,gaba_potentiation|complex_i_block|snare_cooperativity,3,1117.5017625125433,340.0,3.2867698897427746,False,0.0,0.0,0.0,0.004166666666666667,0.04583333333333333,0.13333333333333333,0.4625,0.8333333333333334
worm,gaba_potentiation|complex_i_block|nca_block,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666,0.07083333333333333
worm,gaba_potentiation|complex_i_block|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.04583333333333332
worm,gaba_potentiation|complex_i_block|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.008333333333333333,0.016666666666666666
worm,gaba_potentiation|snare_cooperativity|nca_block,3,1870.2850907392597,340.0,5.500838502174293,False,0.0,0.0,0.0,0.004166666666666667,0.029166666666666664,0.05,0.2791666666666667,0.6666666666666667
worm,gaba_potentiation|snare_cooperativity|nachr_antagonism,3,2445.425911600336,340.0,7.192429151765694,False,0.0,0.0,0.0,0.0,0.016666666666666666,0.0375,0.20833333333333334,0.5666666666666667
worm,gaba_potentiation|snare_cooperativity|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.029166666666666664,0.12916666666666668,0.4499999999999999
worm,gaba_potentiation|nca_block|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666
worm,gaba_potentiation|nca_block|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,gaba_potentiation|nachr_antagonism|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,k2p_potentiation|complex_i_block|snare_cooperativity,3,1025.8782992444833,340.0,3.017289115424951,False,0.0,0.0,0.0,0.004166666666666667,0.04583333333333332,0.14583333333333334,0.4916666666666667,0.85
worm,k2p_potentiation|complex_i_block|nca_block,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.020833333333333332,0.07083333333333333
worm,k2p_potentiation|complex_i_block|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.04583333333333332
worm,k2p_potentiation|complex_i_block|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.008333333333333333,0.016666666666666666
worm,k2p_potentiation|snare_cooperativity|nca_block,3,1806.8056703447535,340.0,5.314134324543392,False,0.0,0.0,0.0,0.004166666666666667,0.029166666666666664,0.05,0.2958333333333333,0.675
worm,k2p_potentiation|snare_cooperativity|nachr_antagonism,3,2408.2246852806916,340.0,7.083013780237328,False,0.0,0.0,0.0,0.004166666666666667,0.025,0.0375,0.21666666666666665,0.5708333333333334
worm,k2p_potentiation|snare_cooperativity|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.03333333333333333,0.14166666666666666,0.45
worm,k2p_potentiation|nca_block|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666
worm,k2p_potentiation|nca_block|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,k2p_potentiation|nachr_antagonism|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,complex_i_block|snare_cooperativity|nca_block,3,901.9152813315021,340.0,2.6526920039161825,False,0.0,0.0,0.0,0.0125,0.05833333333333333,0.16666666666666669,0.5583333333333333,0.8708333333333332
worm,complex_i_block|snare_cooperativity|nachr_antagonism,3,1101.3991213656016,340.0,3.2394091804870633,False,0.0,0.0,0.0,0.004166666666666667,0.041666666666666664,0.14166666666666666,0.4666666666666667,0.8458333333333332
worm,complex_i_block|snare_cooperativity|glucl_potentiation,3,1442.2495703074076,340.0,4.24191050090414,False,0.0,0.0,0.0,0.004166666666666667,0.0375,0.09166666666666666,0.37916666666666665,0.7416666666666668
worm,complex_i_block|nca_block|nachr_antagonism,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.020833333333333332,0.07083333333333333
worm,complex_i_block|nca_block|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.041666666666666664
worm,complex_i_block|nachr_antagonism|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.008333333333333333,0.016666666666666666
worm,snare_cooperativity|nca_block|nachr_antagonism,3,1836.2821708188717,340.0,5.400829914173152,False,0.0,0.0,0.0,0.004166666666666667,0.029166666666666664,0.05,0.2833333333333333,0.675
worm,snare_cooperativity|nca_block|glucl_potentiation,3,2445.425911600336,340.0,7.192429151765694,False,0.0,0.0,0.0,0.0,0.016666666666666666,0.0375,0.20833333333333334,0.5666666666666667
worm,snare_cooperativity|nachr_antagonism|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.0375,0.1375,0.4541666666666666
worm,nca_block|nachr_antagonism|glucl_potentiation,3,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity,4,728.4274237469963,340.0,2.1424335992558716,False,0.0,0.0,0.0,0.0125,0.07916666666666666,0.2625,0.7,0.925
worm,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,4,,340.0,,False,0.0,0.0,0.0,0.004166666666666667,0.0125,0.020833333333333332,0.0875,0.22083333333333335
worm,gaba_potentiation|k2p_potentiation|complex_i_block|nachr_antagonism,4,,340.0,,False,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.0125,0.07083333333333333,0.17916666666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|glucl_potentiation,4,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.016666666666666666,0.04583333333333334,0.1125
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block,4,940.2466140861619,340.0,2.7654312179004763,False,0.0,0.0,0.0,0.004166666666666667,0.04583333333333332,0.15833333333333335,0.5333333333333333,0.8791666666666668
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nachr_antagonism,4,1157.7536725165905,340.0,3.4051578603429133,False,0.0,0.0,0.0,0.004166666666666667,0.04583333333333332,0.125,0.45,0.825
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|glucl_potentiation,4,1555.3647677351494,340.0,4.574602258044557,False,0.0,0.0,0.0,0.004166666666666667,0.03333333333333333,0.0875,0.3375,0.7416666666666668
worm,gaba_potentiation|k2p_potentiation|nca_block|nachr_antagonism,4,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.016666666666666666,0.07083333333333333
worm,gaba_potentiation|k2p_potentiation|nca_block|glucl_potentiation,4,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.03333333333333333
worm,gaba_potentiation|k2p_potentiation|nachr_antagonism|glucl_potentiation,4,,340.0,,False,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.016666666666666666
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,4,665.6538418712678,340.0,1.9578054172684347,True,0.0,0.0,0.0,0.020833333333333332,0.10833333333333332,0.3125,0.7666666666666667,0.9458333333333334
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,4,730.6081798912511,340.0,2.1488475879154443,False,0.0,0.0,0.0,0.0125,0.075,0.2583333333333333,0.7,0.925
worm,gaba_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,4,826.7311755268282,340.0,2.4315622809612596,False,0.0,0.0,0.0,0.0125,0.07083333333333333,0.19166666666666665,0.6166666666666667,0.8958333333333333
worm,gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,4,,340.0,,False,0.0,0.0,0.0,0.004166666666666667,0.0125,0.020833333333333332,0.08750000000000001,0.22083333333333335
worm,gaba_potentiation|complex_i_block|nca_block|glucl_potentiation,4,,340.0,,False,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0125,0.06666666666666667,0.1625
worm,gaba_potentiation|complex_i_block|nachr_antagonism|glucl_potentiation,4,,340.0,,False,0.0,0.0,0.0,0.0,0.004166666666666667,0.0125,0.03333333333333333,0.1125
