organism,subset,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation,350.0,443,0.0,21.395833333333332,6.656805555555556
worm,gaba_potentiation,500.0,42,0.0,20.125,6.268888888888889
worm,gaba_potentiation,500.0,137,0.0,19.4453125,6.108194444444444
worm,gaba_potentiation,500.0,219,0.0,20.744791666666668,6.502083333333333
worm,k2p_potentiation,10.0,42,0.0,23.421875,7.343472222222222
worm,k2p_potentiation,10.0,137,0.0,22.6015625,7.15125
worm,k2p_potentiation,10.0,219,0.0,23.265625,7.32625
worm,k2p_potentiation,10.0,331,0.0,23.1328125,7.272916666666666
worm,gaba_potentiation,1000.0,219,0.0,19.911458333333332,6.240138888888889
worm,gaba_potentiation,1000.0,331,0.0,19.096354166666668,5.976666666666667
worm,gaba_potentiation,1000.0,443,0.0,20.033854166666668,6.2283333333333335
worm,gaba_potentiation,3000.0,42,0.0,18.770833333333332,5.820555555555556
worm,k2p_potentiation,10.0,443,0.0,23.994791666666668,7.5175
worm,k2p_potentiation,30.0,42,0.0,23.143229166666668,7.239444444444445
worm,k2p_potentiation,30.0,137,0.0,22.234375,7.030555555555556
worm,k2p_potentiation,30.0,219,0.0,23.130208333333332,7.284027777777778
worm,gaba_potentiation,30.0,331,0.0,22.736979166666668,7.14375
worm,gaba_potentiation,30.0,443,0.0,23.53125,7.376111111111111
worm,gaba_potentiation,100.0,42,0.0,22.604166666666668,7.059583333333333
worm,gaba_potentiation,100.0,137,0.0,21.6328125,6.819583333333333
worm,gaba_potentiation,350.0,42,0.0,20.880208333333332,6.488333333333333
worm,gaba_potentiation,350.0,137,0.0,19.580729166666668,6.179861111111111
worm,gaba_potentiation,350.0,219,0.0,21.098958333333332,6.614166666666667
worm,gaba_potentiation,350.0,331,0.0,20.338541666666668,6.359861111111111
worm,gaba_potentiation,3000.0,137,0.0,17.880208333333332,5.596388888888889
worm,gaba_potentiation,3000.0,219,0.0,18.9609375,5.931805555555556
worm,gaba_potentiation,3000.0,331,0.0,18.489583333333332,5.7652777777777775
worm,gaba_potentiation,3000.0,443,0.0,18.651041666666668,5.813194444444444
worm,gaba_potentiation,500.0,331,0.0,19.924479166666668,6.232083333333334
worm,gaba_potentiation,500.0,443,0.0,21.0390625,6.5256944444444445
worm,gaba_potentiation,1000.0,42,0.0,19.463541666666668,6.0304166666666665
worm,gaba_potentiation,1000.0,137,0.0,18.575520833333332,5.831111111111111
worm,gaba_potentiation,10.0,443,0.0,23.953125,7.508194444444444
worm,gaba_potentiation,30.0,42,0.0,23.390625,7.315138888888889
worm,gaba_potentiation,30.0,137,0.0,22.356770833333332,7.075138888888889
worm,gaba_potentiation,30.0,219,0.0,23.177083333333332,7.300277777777778
worm,gaba_potentiation,10.0,42,0.0,23.390625,7.331111111111111
worm,gaba_potentiation,10.0,137,0.0,22.6328125,7.163888888888889
worm,gaba_potentiation,10.0,219,0.0,23.307291666666668,7.3381944444444445
worm,gaba_potentiation,10.0,331,0.0,23.2265625,7.301944444444445
worm,gaba_potentiation,100.0,219,0.0,22.291666666666668,7.012361111111111
worm,gaba_potentiation,100.0,331,0.0,21.950520833333332,6.8902777777777775
worm,gaba_potentiation,100.0,443,0.0,22.729166666666668,7.1281944444444445
worm,gaba_potentiation,200.0,42,0.0,21.979166666666668,6.8405555555555555
worm,gaba_potentiation,200.0,137,0.0,20.25,6.4075
worm,gaba_potentiation,200.0,219,0.0,21.606770833333332,6.789027777777778
worm,gaba_potentiation,200.0,331,0.0,20.950520833333332,6.569861111111111
worm,gaba_potentiation,200.0,443,0.0,21.997395833333332,6.882777777777778
worm,k2p_potentiation,500.0,331,0.0,19.489583333333332,6.097777777777778
worm,k2p_potentiation,500.0,443,0.0,20.361979166666668,6.332083333333333
worm,k2p_potentiation,1000.0,42,0.0,19.291666666666668,5.97875
worm,k2p_potentiation,1000.0,137,0.0,18.3203125,5.762638888888889
worm,k2p_potentiation,200.0,137,0.0,19.9375,6.308472222222222
worm,k2p_potentiation,200.0,219,0.0,21.424479166666668,6.725555555555555
worm,k2p_potentiation,200.0,331,0.0,20.822916666666668,6.504583333333334
worm,k2p_potentiation,200.0,443,0.0,21.723958333333332,6.7780555555555555
worm,k2p_potentiation,3000.0,137,0.0,17.903645833333332,5.594027777777778
worm,k2p_potentiation,3000.0,219,0.0,18.979166666666668,5.929583333333333
worm,k2p_potentiation,3000.0,331,0.0,18.291666666666668,5.709444444444444
worm,k2p_potentiation,3000.0,443,0.0,18.6015625,5.791666666666667
worm,k2p_potentiation,1000.0,219,0.0,19.684895833333332,6.160972222222222
worm,k2p_potentiation,1000.0,331,0.0,18.71875,5.8566666666666665
worm,k2p_potentiation,1000.0,443,0.0,19.578125,6.09
worm,k2p_potentiation,3000.0,42,0.0,18.372395833333332,5.710555555555556
worm,k2p_potentiation,30.0,331,0.0,22.5078125,7.076388888888889
worm,k2p_potentiation,30.0,443,0.0,23.354166666666668,7.322361111111111
worm,k2p_potentiation,100.0,42,0.0,22.286458333333332,6.953888888888889
worm,k2p_potentiation,100.0,137,0.0,21.1796875,6.687222222222222
worm,k2p_potentiation,100.0,219,0.0,22.299479166666668,6.991944444444444
worm,k2p_potentiation,100.0,331,0.0,21.453125,6.727916666666666
worm,k2p_potentiation,100.0,443,0.0,22.591145833333332,7.069444444444445
worm,k2p_potentiation,200.0,42,0.0,21.466145833333332,6.670555555555556
worm,k2p_potentiation,350.0,42,0.0,20.286458333333332,6.310972222222222
worm,k2p_potentiation,350.0,137,0.0,19.354166666666668,6.091666666666667
worm,k2p_potentiation,350.0,219,0.0,20.794270833333332,6.518611111111111
worm,k2p_potentiation,350.0,331,0.0,19.997395833333332,6.2501388888888885
worm,k2p_potentiation,350.0,443,0.0,21.1953125,6.57125
worm,k2p_potentiation,500.0,42,0.0,20.018229166666668,6.220972222222223
worm,k2p_potentiation,500.0,137,0.0,19.005208333333332,5.958055555555555
worm,k2p_potentiation,500.0,219,0.0,20.252604166666668,6.36125
worm,complex_i_block,10.0,42,0.0,23.416666666666668,7.325277777777778
worm,complex_i_block,10.0,137,0.0,22.393229166666668,7.0818055555555555
worm,complex_i_block,10.0,219,0.0,23.177083333333332,7.302777777777778
worm,complex_i_block,10.0,331,0.0,22.802083333333332,7.16625
worm,complex_i_block,10.0,443,0.0,23.565104166666668,7.389305555555556
worm,complex_i_block,30.0,42,0.0,22.661458333333332,7.076805555555556
worm,complex_i_block,30.0,137,0.0,21.786458333333332,6.855277777777777
worm,complex_i_block,30.0,219,0.0,22.403645833333332,7.049166666666666
worm,complex_i_block,100.0,219,0.0,20.794270833333332,6.5152777777777775
worm,complex_i_block,100.0,331,0.0,19.973958333333332,6.24125
worm,complex_i_block,100.0,443,0.0,21.135416666666668,6.555694444444445
worm,complex_i_block,200.0,42,0.0,18.640625,5.78375
worm,complex_i_block,30.0,331,0.0,22.067708333333332,6.926666666666667
worm,complex_i_block,30.0,443,0.0,22.747395833333332,7.134444444444444
worm,complex_i_block,100.0,42,0.0,20.255208333333332,6.3029166666666665
worm,complex_i_block,100.0,137,0.0,19.309895833333332,6.079027777777778
