organism,subset,anesthetic,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,137,0.041666666666666664,7.8203125,2.2602777777777776
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,219,0.020833333333333332,8.440104166666666,2.4295833333333334
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,331,0.020833333333333332,8.7421875,2.481527777777778
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,443,0.020833333333333332,8.510416666666666,2.4277777777777776
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,331,0.0,19.106770833333332,5.889444444444444
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,443,0.0,19.84375,6.089444444444444
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,42,0.0,12.950520833333334,3.831111111111111
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,137,0.0,11.859375,3.5644444444444443
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,137,0.9791666666666666,1.2734375,0.4543055555555556
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,219,0.8125,1.7317708333333333,0.5345833333333333
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,331,0.9166666666666666,1.6276041666666667,0.5040277777777777
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,443,1.0,1.0338541666666667,0.4320833333333333
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,331,0.25,4.278645833333333,1.17625
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,443,0.4166666666666667,3.6354166666666665,1.063611111111111
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,42,0.6666666666666666,2.4817708333333335,0.7172222222222222
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,137,0.6875,2.3411458333333335,0.6977777777777778
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,443,0.0,22.466145833333332,6.9975
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,42,0.0,18.979166666666668,5.8438888888888885
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,137,0.0,18.213541666666668,5.669027777777778
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,219,0.0,19.6171875,6.052361111111111
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,219,0.0,12.791666666666666,3.8109722222222224
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,331,0.0,12.705729166666666,3.7934722222222224
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,443,0.0,13.028645833333334,3.8531944444444446
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,42,0.0,8.5390625,2.4291666666666667
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,443,0.08333333333333333,5.736979166666667,1.6616666666666666
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,42,0.2708333333333333,4.127604166666667,1.13125
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,137,0.3958333333333333,3.8723958333333335,1.107361111111111
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,219,0.25,4.065104166666667,1.1577777777777778
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,219,0.6666666666666666,2.5338541666666665,0.7380555555555556
