organism,subset,n_classes,cis_DCE_max_qf,trans_DCE_max_qf,hexafluoroethane_max_qf,passes_stage3
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,5,0.8833333333333332,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,5,0.8416666666666666,0.0,0.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,5,0.8833333333333332,0.0,0.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,5,0.8416666666666666,0.0,0.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,5,0.8833333333333332,0.0,0.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,5,0.8416666666666666,0.0,0.0,True
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,5,0.8416666666666666,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,6,0.9708333333333334,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|glucl_potentiation,6,0.9625,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism|glucl_potentiation,6,0.9333333333333333,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,6,0.8416666666666666,0.0,0.0,True
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,6,0.9625,0.0,0.0,True
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,6,0.9625,0.0,0.0,True
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,7,0.9958333333333332,0.0,0.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,6,1.0,0.0,0.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism|glucl_potentiation,6,1.0,0.0,0.0,True
fly,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism|glucl_potentiation,7,1.0,0.0,0.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block,4,1.0,0.0,0.0,True
mouse,gaba_potentiation|complex_i_block|nca_block|nachr_antagonism,4,1.0,0.0,0.0,True
mouse,k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,4,1.0,0.0,0.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,5,1.0,0.0,0.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|nca_block|nachr_antagonism,5,1.0,0.0,0.0,True
mouse,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,5,1.0,0.0,0.0,True
mouse,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,5,1.0,0.0,0.0,True
mouse,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,6,1.0,0.0,0.0,True
