organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,10000.0,331,0.7291666666666666,2.0442708333333335,0.5515277777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,10000.0,443,0.9166666666666666,1.2552083333333333,0.43875
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30000.0,42,0.9375,1.4270833333333333,0.42375
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30000.0,137,0.9166666666666666,1.3489583333333333,0.40944444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30.0,443,0.0,22.338541666666668,6.979305555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,100.0,42,0.0,18.643229166666668,5.745972222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,100.0,137,0.0,17.721354166666668,5.511111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,100.0,219,0.0,18.9375,5.8718055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30.0,137,0.0,22.841145833333332,7.234861111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30.0,219,0.0,23.359375,7.359583333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30.0,331,0.0,23.315104166666668,7.328194444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,30.0,443,0.0,24.140625,7.568611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,100.0,443,0.0,23.955729166666668,7.5065277777777775
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,300.0,42,0.0,23.255208333333332,7.273333333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,300.0,137,0.0,22.354166666666668,7.06875
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,300.0,219,0.0,23.122395833333332,7.282916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,300.0,219,0.0,13.052083333333334,3.8941666666666666
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,300.0,331,0.0,12.169270833333334,3.6884722222222224
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,300.0,443,0.0,12.4375,3.7205555555555554
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1000.0,42,0.0625,6.015625,1.6940277777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,3000.0,443,0.8125,2.1536458333333335,0.6706944444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,10000.0,42,0.8333333333333334,1.6822916666666667,0.4872222222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,10000.0,137,0.9166666666666666,1.5598958333333333,0.46819444444444447
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,10000.0,219,0.7708333333333334,1.6927083333333333,0.4963888888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,100.0,331,0.0,18.1953125,5.633055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,100.0,443,0.0,19.247395833333332,5.904444444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,300.0,42,0.0,12.778645833333334,3.8097222222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,300.0,137,0.0,11.997395833333334,3.618888888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30000.0,219,0.7916666666666666,1.5651041666666667,0.4543055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30000.0,331,0.8125,1.6822916666666667,0.46805555555555556
