worm,target,tier,kind,horizon,feature_set,n_neurons,n_train,n_test,ar_score,neural_score,combined_score,neural_alpha,ar_alpha,comb_alpha,neural_acc,majority
worm_01,reversal_onset,1,event,1,values,95,1117,380,0.532258064516129,0.6754032258064516,0.7113575268817205,10.0,,,0.9789473684210527,
worm_01,reversal_onset,1,event,3,values,95,1116,379,0.532345013477089,0.575134770889488,0.6081536388140162,10.0,,,0.978891820580475,
worm_01,reversal_onset,1,event,8,values,95,1113,377,0.532520325203252,0.5718157181571816,0.5789295392953929,1.0,,,0.9787798408488063,
worm_01,reversal_onset,1,event,16,values,95,1107,375,0.5367847411444142,0.5330381471389646,0.5837874659400545,1.0,,,0.9786666666666667,
worm_01,reversal_offset,1,event,1,values,95,1117,380,0.5362903225806452,0.8276209677419355,0.8538306451612903,1.0,,,0.9789473684210527,
worm_01,reversal_offset,1,event,3,values,95,1116,379,0.5363881401617251,0.829177897574124,0.8493935309973046,10.0,,,0.978891820580475,
worm_01,reversal_offset,1,event,8,values,95,1113,377,0.41192411924119243,0.6226287262872628,0.6107723577235773,1.0,,,0.9787798408488063,
worm_01,reversal_offset,1,event,16,values,95,1107,375,0.5367847411444142,0.6825613079019074,0.6832425068119892,0.1,,,0.9786666666666667,
worm_01,reversal_state,1,state,1,values,95,1117,380,0.9501729159082637,0.8968268414027423,0.9759131173401286,1.0,,,0.7710526315789473,
worm_01,reversal_state,1,state,3,values,95,1116,379,0.8762869326835211,0.863295766067621,0.9204995431008225,0.01,,,0.762532981530343,
worm_01,reversal_state,1,state,8,values,95,1113,377,0.3939868558442356,0.6695841778760518,0.6682021988821325,10.0,,,0.4960212201591512,
worm_01,reversal_state,1,state,16,values,95,1107,375,0.5189354059577631,0.5348981234904316,0.5436303957391466,10.0,,,0.424,
worm_01,omega_onset,1,event,1,values,95,1117,380,,,,,,,,
worm_01,omega_onset,1,event,3,values,95,1116,379,,,,,,,,
worm_01,omega_onset,1,event,8,values,95,1113,377,,,,,,,,
worm_01,omega_onset,1,event,16,values,95,1107,375,,,,,,,,
worm_01,pirouette_entry,1,event,1,values,95,1117,380,0.5079365079365079,0.6097883597883598,0.6216931216931216,1.0,,,0.9947368421052631,
worm_01,pirouette_entry,1,event,3,values,95,1116,379,0.5079575596816976,0.38063660477453576,0.4230769230769231,10.0,,,0.9947229551451188,
worm_01,pirouette_entry,1,event,8,values,95,1113,377,0.508,0.4706666666666667,0.4613333333333333,10.0,,,0.9946949602122016,
worm_01,pirouette_entry,1,event,16,values,95,1107,375,0.5080428954423593,0.695710455764075,0.6876675603217157,1.0,,,0.9946666666666667,
worm_01,headswing_flip,1,event,1,values,95,1117,380,0.5056085497261967,0.5893393393393394,0.5560854972619679,0.1,,,0.8052631578947368,
worm_01,headswing_flip,1,event,3,values,95,1116,379,0.5153522374833851,0.5881258307487816,0.5968985378821445,0.01,,,0.8047493403693932,
worm_01,headswing_flip,1,event,8,values,95,1113,377,0.5003379596250901,0.5685382119682768,0.5937725306416726,0.01,,,0.8063660477453581,
worm_01,headswing_flip,1,event,16,values,95,1107,375,0.46401723505683906,0.47501833516685005,0.46869270260359375,0.01,,,0.808,
worm_01,head_bias,1,continuous,1,values,95,1117,380,0.3057903051376343,-0.6165547370910645,0.30078059434890747,0.1,0.1,100.0,,
worm_01,head_bias,1,continuous,3,values,95,1116,379,0.01795065402984619,0.01987290382385254,0.02518939971923828,100.0,0.1,100.0,,
worm_01,head_bias,1,continuous,8,values,95,1113,377,-0.0018714666366577148,0.013949096202850342,0.015767574310302734,100.0,1000.0,100.0,,
worm_01,head_bias,1,continuous,16,values,95,1107,375,-0.003946661949157715,-0.009889006614685059,-0.011201024055480957,1000.0,1000.0,1000.0,,
worm_01,forward_run_state,2,state,1,values,95,1117,380,0.8744810744810744,0.8670573870573871,0.9311843711843713,10.0,,,0.868421052631579,
worm_01,forward_run_state,2,state,3,values,95,1116,379,0.7123468887800097,0.8163155316021558,0.8116609505144537,10.0,,,0.8522427440633246,
worm_01,forward_run_state,2,state,8,values,95,1113,377,0.3914201183431953,0.7585798816568048,0.7821499013806706,10.0,,,0.8275862068965517,
