target,tier,kind,horizon,feature_set,mean_ar,mean_neural,mean_comb,mean_lift,std_lift,mean_maj,n_worms,pass,why,worms_passing_thr
head_bias,1,continuous,8,lags,-0.02227359414100643,-0.0013312578201293897,-0.00032305121421815144,0.02094233632087704,0.01736081713780874,,10,False,lift=+0.021 < 0.05,3
headswing_flip,1,event,1,derivs,0.5333267664694922,0.620247892557655,0.6245928774466544,0.08692112608816285,0.09324940766211307,,10,True,lift=+0.087 ≥ 0.05,9
omega_onset,1,event,1,derivs,0.510728673847755,0.9262336169818991,0.9406609644800091,0.41550494313414404,0.07756593737420046,,6,True,lift=+0.416 ≥ 0.05,6
pirouette_entry,1,event,16,lags,0.5100807324985555,0.6990110843908978,0.7007005283960738,0.18893035189234228,0.1184045978509199,,6,True,lift=+0.189 ≥ 0.05,6
reversal_offset,1,event,1,derivs,0.5400026820285702,0.8369932394961083,0.8735749319179007,0.2969905574675381,0.06767565595259205,,10,True,lift=+0.297 ≥ 0.05,10
reversal_onset,1,event,1,derivs,0.5385000975871863,0.7503685598261438,0.8026444082172082,0.21186846223895758,0.101720971145721,,10,True,lift=+0.212 ≥ 0.05,10
reversal_state,1,state,8,derivs,0.6337546022287117,0.7179003533200583,0.730832015438183,0.0841457510913465,0.09136941164604262,,10,True,lift=+0.084 ≥ 0.05,10
forward_run_offset,2,event,3,derivs,0.5202684441755389,0.8147619329174306,0.8238180706386622,0.29449348874189174,0.07908464499970017,,10,True,lift=+0.294 ≥ 0.03,10
forward_run_onset,2,event,1,derivs,0.5472557969781949,0.8187216951631344,0.861446402776328,0.2714658981849394,0.08756082304743348,,10,True,lift=+0.271 ≥ 0.03,10
forward_run_state,2,state,8,values,0.543731506826753,0.7290479664125992,0.7293305946666944,0.1853164595858463,0.14539642738042652,,10,True,lift=+0.185 ≥ 0.03,10
quiescence_onset,2,event,1,lags,0.5203612474745077,0.7699484574458524,0.7647826419058956,0.24958720997134456,0.13640372919552743,,4,True,lift=+0.250 ≥ 0.03,4
quiescence_state,2,state,3,lags,0.49480347448525797,0.8263262476777262,0.8096435146167416,0.33152277319246826,0.3043613298359194,,4,True,lift=+0.332 ≥ 0.03,4
roaming_onset,2,event,16,values,0.42979991529013517,0.5847777655290947,0.49272339034193996,0.15497785023895944,0.2026206722802083,,4,True,lift=+0.155 ≥ 0.03,6
roaming_state,2,state,16,derivs,0.7726886658636042,0.7210613679733581,0.8129421837225638,-0.051627297890246115,0.2707676690088995,,6,False,lift=-0.052 < 0.03,3
ang_acc,3,continuous,8,derivs,0.026806443929672203,0.05488132238388058,-0.12071539759635926,0.028074878454208373,0.3594773617247237,,10,False,lift=+0.028 but R²=0.055 < floor 0.15,6
body_curv_rate,3,continuous,3,lags,0.02431412935256955,0.06423619389533992,0.04091143012046811,0.03992206454277038,0.05132036058064233,,10,False,lift=+0.040 but R²=0.064 < floor 0.15,3
head_ang_vel,3,continuous,16,lags,-0.0052734911441803,-0.00216015577316283,-0.005452460050582865,0.00311333537101747,0.012425690877582685,,10,False,lift=+0.003 but R²=-0.002 < floor 0.15,1
speed_burst_onset,3,event,1,derivs,0.4885298929226024,0.7732974311348909,0.7959240367444718,0.28476753821228845,0.19474602469475552,,8,True,lift=+0.285 ≥ 0.05,8
velocity_acc,3,continuous,3,derivs,0.0017864406108856138,0.05743652582168577,0.058585184812545744,0.05565008521080016,0.05665363026565763,,10,False,lift=+0.056 but R²=0.057 < floor 0.15,2
headswing_dir,4,multiclass,1,derivs,0.8458984593843976,0.8756417843677549,0.8650066948462685,0.029743324983357265,0.12648300588036968,0.7736873672528551,10,True,"acc=0.876, maj=0.774, lift=+0.102",4
rev_mode_3class,4,multiclass,8,derivs,0.6147818862141241,0.7393219005533337,0.7717162401770115,0.12454001433920954,0.16386525894889012,0.5799727475735678,9,True,"acc=0.739, maj=0.580, lift=+0.159",4
state_5class,4,multiclass,16,lags,0.37039999999999995,0.39039999999999997,0.3741333333333333,0.020000000000000004,0.1047324633954959,0.30266666666666664,10,False,"acc=0.390, maj=0.303, lift=+0.088",4
