symbol,family,wb_id,resolved,max_tpm,n_expressing,n_strong,top_expressing,category
flp-5,FLP,WBGene00001448,True,123.84,26,9,RMG;PVT;PVQ;AIM;ALA;I6;M4;PDB,broad
flp-9,FLP,WBGene00001452,True,111.43,20,6,AVB;RIB;RIV;ADE;PVT;BDU;AIM;PVN,broad
flp-22,FLP,WBGene00009562,True,40.49,10,3,HSN;DVB;AIM;ASG;PVC;RIV;I1;PVW,broad
flp-14,FLP,WBGene00001457,True,402.86,8,4,RMG;RID;AVM;AVD;URX;PVD;AVB;AVG,moderate
flp-19,FLP,WBGene00001462,True,100.86,8,3,AIA;RIM;AVJ;AIN;NSM;HSN;URX;AWA,moderate
flp-16,FLP,WBGene00001459,True,12.33,8,0,PVM;PLM;AVM;AIZ;LUA;ADA;RIG;ALA,moderate
flp-12,FLP,WBGene00001455,True,78.4,7,4,SDQ;VA12;DA9;PDE;PDA;BDU;LUA,moderate
flp-24,FLP,WBGene00016028,True,271.72,5,1,ALA;RIG;HSN;DVC;DVA,moderate
flp-20,FLP,WBGene00001463,True,70.57,5,4,AVM;PVM;PLM;ALM;LUA,moderate
flp-4,FLP,WBGene00001447,True,64.86,5,1,I5;VA12;I6;AVM;ADL,moderate
flp-8,FLP,WBGene00001451,True,588.67,4,3,URX;PVM;AUA;AVM,moderate
flp-13,FLP,WBGene00001456,True,128.09,4,2,I5;ALA;MI;M3,moderate
flp-21,FLP,WBGene00001464,True,33.1,4,1,RMG;PVW;M2;RMH,moderate
flp-27,FLP,WBGene00016114,True,175.83,3,2,ASG;AVF;BDU,narrow
flp-26,FLP,WBGene00020126,True,136.74,3,1,M1;AVH;ADA,narrow
flp-18,FLP,WBGene00001461,True,111.23,3,1,RIG;AVA;VA12,narrow
flp-2,FLP,WBGene00001445,True,47.04,2,1,AIA;RID,narrow
flp-6,FLP,WBGene00001449,True,29.13,2,1,MI;AVD,narrow
flp-10,FLP,WBGene00001453,True,12.3,2,0,DVB;PVW,narrow
flp-3,FLP,WBGene00001446,True,6.3,2,0,URB;IL1,narrow
flp-1,FLP,WBGene00001444,True,1285.39,1,1,AVK,narrow
flp-11,FLP,WBGene00001454,True,985.2,1,1,RIS,narrow
flp-17,FLP,WBGene00001460,True,30.05,1,1,BAG,narrow
flp-7,FLP,WBGene00001450,True,10.09,1,0,ALA,narrow
flp-25,FLP,WBGene00010575,True,6.22,1,0,ADL,narrow
flp-23,FLP,WBGene00017693,True,0.17,0,0,,below_threshold
ins-18,INS,WBGene00002101,True,15.1,6,0,AIA;M1;PHA;PHB;AWA;PLM,moderate
ins-28,INS,WBGene00002111,True,144.04,5,4,M1;AIA;M4;AIN;AWA,moderate
ins-30,INS,WBGene00002113,True,78.3,4,3,ASJ;AWA;ASK;ASI,moderate
ins-3,INS,WBGene00002086,True,29.89,4,1,ASI;ASJ;ADF;AWA,moderate
ins-26,INS,WBGene00002109,True,70.84,3,2,ASI;AWA;ASJ,narrow
ins-24,INS,WBGene00002107,True,16.9,3,0,ASJ;ADF;AWA,narrow
ins-29,INS,WBGene00002112,True,15.6,3,0,AIA;BAG;M1,narrow
daf-28,INS,WBGene00000920,True,14.95,3,0,ASI;ASJ;ADF,narrow
ins-6,INS,WBGene00002089,True,50.22,2,2,ASJ;ASI,narrow
ins-17,INS,WBGene00002100,True,40.07,2,1,AIZ;RID,narrow
ins-9,INS,WBGene00002092,True,17.05,2,0,ASI;ASJ,narrow
ins-25,INS,WBGene00002108,True,6.2,2,0,M1;AIA,narrow
ins-32,INS,WBGene00002115,True,4.69,1,0,ASJ,narrow
ins-1,INS,WBGene00002084,True,3.41,0,0,,below_threshold
ins-5,INS,WBGene00002088,True,3.26,0,0,,below_threshold
ins-22,INS,WBGene00002105,True,2.88,0,0,,below_threshold
ins-4,INS,WBGene00002087,True,2.14,0,0,,below_threshold
ins-21,INS,WBGene00002104,True,0.74,0,0,,below_threshold
ins-27,INS,WBGene00002110,True,0.45,0,0,,below_threshold
ins-23,INS,WBGene00002106,True,0.35,0,0,,below_threshold
ins-15,INS,WBGene00002098,True,0.34,0,0,,below_threshold
ins-39,INS,WBGene00017668,True,0.33,0,0,,below_threshold
ins-2,INS,WBGene00002085,True,0.27,0,0,,below_threshold
ins-7,INS,WBGene00002090,True,0.18,0,0,,below_threshold
ins-11,INS,WBGene00002094,True,0.09,0,0,,below_threshold
ins-35,INS,WBGene00002118,True,0.04,0,0,,below_threshold
ins-20,INS,WBGene00002103,True,0.02,0,0,,below_threshold
ins-33,INS,WBGene00002116,True,0.02,0,0,,below_threshold
ins-37,INS,WBGene00002120,True,0.02,0,0,,below_threshold
ins-13,INS,WBGene00002096,True,0.01,0,0,,below_threshold
ins-19,INS,WBGene00002102,True,0.0,0,0,,below_threshold
ins-31,INS,WBGene00002114,True,0.0,0,0,,below_threshold
ins-8,INS,WBGene00002091,True,0.0,0,0,,below_threshold
nlp-50,NLP,WBGene00018298,True,145.05,20,11,PVM;AIY;AIM;RIP;PVT;AVH;BDU;PVD,broad
nlp-21,NLP,WBGene00003759,True,62.75,19,10,RIG;RID;AIB;VA12;AVE;AVB;DA9;RIF,broad
nlp-15,NLP,WBGene00003753,True,22.26,12,1,AIY;AVA;RMF;PVN;DVA;PVP;RIF;AIA,broad
nlp-80,NLP,WBGene00011428,True,87.17,11,4,AIM;BDU;AIN;ASJ;HSN;NSM;PVW;ASG,broad
nlp-11,NLP,WBGene00003749,True,52.6,10,1,AIZ;PDB;AIM;RIG;URB;URX;RIS;RIH,broad
nlp-13,NLP,WBGene00003751,True,32.14,8,1,PDA;M1;PVW;M2;AVD;I4;AIZ;VA12,moderate
nlp-40,NLP,WBGene00022276,True,165.0,6,2,PVT;DVB;AIB;ASK;RIF;RIM,moderate
nlp-49,NLP,WBGene00019160,True,147.45,5,1,AVK;SDQ;AIM;RID;M1,moderate
nlp-8,NLP,WBGene00003746,True,22.88,5,1,ALA;RIG;PVT;DVA;AVJ,moderate
nlp-57,NLP,WBGene00008589,True,13.47,5,0,AIM;AVA;M1;BDU;AIA,moderate
nlp-71,NLP,WBGene00022254,True,119.6,4,1,RIH;M2;ADF;M4,moderate
nlp-3,NLP,WBGene00003741,True,15.65,4,0,I3;I1;I2;AWB,moderate
nlp-55,NLP,WBGene00008820,True,11.66,4,0,URB;AVM;PVM;PDE,moderate
nlp-18,NLP,WBGene00003756,True,154.85,3,2,AIZ;AIB;AIM,narrow
nlp-20,NLP,WBGene00003758,True,137.27,3,1,PLN;ALN;PVD,narrow
nlp-10,NLP,WBGene00003748,True,105.63,3,1,PVW;PVT;RMG,narrow
nlp-14,NLP,WBGene00003752,True,41.61,3,1,AVF;AVH;RID,narrow
nlp-64,NLP,WBGene00019734,True,37.58,3,1,SDQ;RIV;RMH,narrow
nlp-6,NLP,WBGene00003744,True,27.31,3,1,PVW;DVB;M1,narrow
nlp-9,NLP,WBGene00003747,True,13.63,3,0,AIZ;VA12;PDB,narrow
nlp-17,NLP,WBGene00003755,True,801.32,2,1,PVQ;URB,narrow
nlp-43,NLP,WBGene00016684,True,71.79,2,1,DVC;PVW,narrow
nlp-62,NLP,WBGene00018005,True,28.67,2,1,M1;M2,narrow
nlp-61,NLP,WBGene00017813,True,16.8,2,0,PVT;PVQ,narrow
nlp-68,NLP,WBGene00011899,True,16.2,2,0,M1;I5,narrow
nlp-91,NLP,WBGene00019293,True,12.59,2,0,AFD;RMF,narrow
nlp-35,NLP,WBGene00007881,True,11.74,2,0,SDQ;URB,narrow
