,FLP-11,FLP-1,FLP-2,NLP-12,PDF-1,5HT,DA,TA,OA,FLP-13,FLP-18,FLP-21,NLP-40,DAF-28
FLP-11,1.0,0.0,0.0,0.0,0.2,0.06666667,0.125,0.1,0.2,0.8,0.2,0.25,0.0,0.0
FLP-1,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
FLP-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDF-1,0.2,0.0,0.0,0.0,1.0,0.07692308,0.0,0.125,0.0,0.4,0.0,0.0,0.0,0.0
5HT,0.06666667,0.0,0.0,0.0,0.07692308,1.0,0.0625,0.055555556,0.07692308,0.13333334,0.07692308,0.083333336,0.0,0.0
DA,0.125,0.2,0.0,0.0,0.0,0.0625,1.0,0.0,0.16666667,0.11111111,0.4,0.2,0.0,0.0
TA,0.1,0.0,0.0,0.0,0.125,0.055555556,0.0,1.0,0.0,0.09090909,0.0,0.0,0.0,0.0
OA,0.2,0.0,0.0,0.0,0.0,0.07692308,0.16666667,0.0,1.0,0.16666667,0.33333334,0.5,0.0,0.0
FLP-13,0.8,0.0,0.0,0.0,0.4,0.13333334,0.11111111,0.09090909,0.16666667,1.0,0.16666667,0.2,0.0,0.0
FLP-18,0.2,0.5,0.0,0.0,0.0,0.07692308,0.4,0.0,0.33333334,0.16666667,1.0,0.5,0.0,0.0
FLP-21,0.25,0.0,0.0,0.0,0.0,0.083333336,0.2,0.0,0.5,0.2,0.5,1.0,0.0,0.0
NLP-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
