modulator,receptors,n_target_classes,n_target_conn,n_in_readout,frac_in_readout,readout_targets,predicted_mode
FLP-11,"npr-1, npr-22, dmsr-1, dmsr-7, npr-11",4,7,0,0.0,-,Mode 1 (readout-blind)
FLP-1,"npr-4, npr-5, npr-11",1,2,0,0.0,-,Mode 1 (readout-blind)
FLP-2,"npr-30, frpr-18",0,0,0,0.0,-,N/A (no targets detected)
NLP-12,"ckr-1, ckr-2",0,0,0,0.0,-,N/A (no targets detected)
PDF-1,pdfr-1,2,4,0,0.0,-,Mode 1 (readout-blind)
5HT,"mod-1, ser-1, ser-4, ser-5, ser-6, ser-7",12,19,3,0.158,I3;M3L;M3R,Mode 3 possible (partial readout overlap)
DA,"dop-1, dop-2, dop-3, dop-4",5,9,0,0.0,-,Mode 1 (readout-blind)
TA,"tyra-2, tyra-3, ser-2, lgc-55",7,12,0,0.0,-,Mode 1 (readout-blind)
OA,"octr-1, ser-3, ser-6",2,4,0,0.0,-,Mode 1 (readout-blind)
FLP-13,"dmsr-1, dmsr-2",5,9,0,0.0,-,Mode 1 (readout-blind)
FLP-18,"npr-1, npr-4, npr-5",2,4,0,0.0,-,Mode 1 (readout-blind)
FLP-21,npr-1,1,2,0,0.0,-,Mode 1 (readout-blind)
NLP-40,aex-2,0,0,0,0.0,-,N/A (no targets detected)
DAF-28,daf-2,0,0,0,0.0,-,N/A (no targets detected)
