Track A: 4 modulators × 3 conditions × 5 seeds = 60 runs × 60.0s
  [1/60] FLP-1  CONTROL         seed=42 | QUI=0.06 REV=0.85 | 181s | ETA 178 min
  [2/60] FLP-1  CONTROL         seed=43 | QUI=0.08 REV=0.89 | 181s | ETA 175 min
  [3/60] FLP-1  CONTROL         seed=44 | QUI=0.08 REV=0.89 | 183s | ETA 174 min
  [4/60] FLP-1  CONTROL         seed=45 | QUI=0.00 REV=0.96 | 186s | ETA 174 min
  [5/60] FLP-1  CONTROL         seed=46 | QUI=0.06 REV=0.85 | 179s | ETA 164 min
  [6/60] FLP-1  RELEASER_ABLATE seed=42 | QUI=0.07 REV=0.84 | 180s | ETA 162 min
  [7/60] FLP-1  RELEASER_ABLATE seed=43 | QUI=0.08 REV=0.89 | 179s | ETA 158 min
  [8/60] FLP-1  RELEASER_ABLATE seed=44 | QUI=0.08 REV=0.83 | 179s | ETA 155 min
  [9/60] FLP-1  RELEASER_ABLATE seed=45 | QUI=0.00 REV=0.97 | 181s | ETA 154 min
  [10/60] FLP-1  RELEASER_ABLATE seed=46 | QUI=0.08 REV=0.89 | 179s | ETA 150 min
  [11/60] FLP-1  PEPTIDE_KO      seed=42 | QUI=0.06 REV=0.85 | 180s | ETA 147 min
  [12/60] FLP-1  PEPTIDE_KO      seed=43 | QUI=0.08 REV=0.89 | 179s | ETA 143 min
  [13/60] FLP-1  PEPTIDE_KO      seed=44 | QUI=0.08 REV=0.89 | 179s | ETA 140 min
  [14/60] FLP-1  PEPTIDE_KO      seed=45 | QUI=0.00 REV=0.96 | 179s | ETA 137 min
  [15/60] FLP-1  PEPTIDE_KO      seed=46 | QUI=0.06 REV=0.85 | 179s | ETA 134 min
  → FLP-1: PASS_MODE_1
  [16/60] NLP-12 CONTROL         seed=42 | QUI=0.06 REV=0.79 | 180s | ETA 132 min
  [17/60] NLP-12 CONTROL         seed=43 | QUI=0.08 REV=0.89 | 179s | ETA 128 min
  [18/60] NLP-12 CONTROL         seed=44 | QUI=0.08 REV=0.89 | 179s | ETA 125 min
