neuron,v_s_baseline_mv,v_d_baseline_mv,v_s_peak_mv,v_d_peak_mv,v_d_at_release_mv,v_d_500ms_post_mv,plateau_amplitude_mv,plateau_duration_ms,has_plateau_cfg,g_ca_ns,tau_h_ms,target_duration_ms,target_amplitude_mv,reference,duration_gap_ms,amplitude_gap_mv,status
AVAL,-64.93,-64.72,-54.92,-60.21,-60.21,-64.72,4.51,0.0,True,2.5,350.0,600,20.0,Gao & Hobert 2020 Fig 3,-600.0,-15.49,FAIL
AVAR,-64.93,-64.72,-54.92,-60.21,-60.21,-64.72,4.51,0.0,True,2.5,350.0,600,20.0,Gao & Hobert 2020 Fig 3,-600.0,-15.49,FAIL
AVEL,-64.96,-64.8,-56.34,-61.91,-61.91,-64.8,2.89,0.0,True,2.0,250.0,400,15.0,Wang 2020 (less sustained than AVA),-400.0,-12.11,FAIL
AVER,-64.96,-64.8,-56.34,-61.91,-61.91,-64.8,2.89,0.0,True,2.0,250.0,400,15.0,Wang 2020,-400.0,-12.11,FAIL
AVBL,-64.97,-64.81,-56.21,-62.23,-62.23,-64.82,2.58,0.0,True,1.8,300.0,500,18.0,Kawano 2011 forward command,-500.0,-15.42,FAIL
AVBR,-64.97,-64.81,-56.21,-62.23,-62.23,-64.82,2.58,0.0,True,1.8,300.0,500,18.0,Kawano 2011,-500.0,-15.42,FAIL
PVCL,-64.98,-64.85,-57.7,-63.19,-63.19,-64.85,1.67,0.0,True,1.5,200.0,350,14.0,Faumont 2011,-350.0,-12.33,FAIL
PVCR,-64.98,-64.85,-57.7,-63.19,-63.19,-64.85,1.67,0.0,True,1.5,200.0,350,14.0,Faumont 2011,-350.0,-12.33,FAIL
AWCL,-65.0,-65.0,-60.21,-63.75,-63.75,-65.0,1.25,0.0,False,0.0,300.0,0,0.0,No plateau (non-plateau neuron),0.0,1.25,PASS
AWCR,-65.0,-65.0,-60.21,-63.75,-63.75,-65.0,1.25,0.0,False,0.0,300.0,0,0.0,No plateau,0.0,1.25,PASS
RMGL,-65.0,-65.0,-57.0,-62.0,-62.0,-65.0,3.0,0.0,False,0.0,300.0,0,0.0,No plateau,0.0,3.0,FAIL
RMGR,-65.0,-65.0,-57.0,-62.0,-62.0,-65.0,3.0,0.0,False,0.0,300.0,0,0.0,No plateau,0.0,3.0,FAIL
ALA,-65.0,-65.0,-51.86,-60.5,-60.5,-65.0,4.5,0.0,False,0.0,300.0,0,0.0,No plateau (Van Buskirk 2007),0.0,4.5,FAIL
RIS,-64.98,-64.85,-55.96,-61.9,-61.9,-64.86,2.96,0.0,True,1.0,500.0,700,18.0,Turek 2016 (long plateau supports quiescence),-700.0,-15.04,FAIL
DVA,-64.98,-64.85,-56.08,-62.04,-62.04,-64.85,2.81,0.0,True,1.2,250.0,400,16.0,Li 2006 stretch-gated TRP,-400.0,-13.19,FAIL
