condition,seed,flp11_peak,flp11_pre_mean,flp11_peri_mean,flp11_delta,gaba_targets_n,gaba_rate_pre_mean,gaba_rate_peri_mean,gaba_rate_delta,flp11_targets_n,flp11_rate_pre_mean,flp11_rate_peri_mean,flp11_rate_delta,qui_state_prop,quiescence_event_peak
CONTROL,42,10.0,0.997,9.498,8.501,26,22.7,90.2,67.5,25,2.61,21.69,19.08,0.06,0.0
CONTROL,43,10.0,1.039,9.491,8.453,26,20.32,89.86,69.54,25,2.28,21.72,19.44,0.116,0.0
CONTROL,44,10.0,1.014,9.525,8.512,26,23.26,90.25,66.99,25,2.45,21.82,19.37,0.082,0.0
CONTROL,45,10.0,0.879,9.509,8.63,26,19.52,90.31,70.79,25,2.05,21.59,19.54,0.0,0.0
CONTROL,46,10.0,1.051,9.509,8.458,26,23.16,89.64,66.48,25,2.53,21.52,18.99,0.062,0.0
CONTROL,47,10.0,1.085,9.512,8.427,26,22.9,89.73,66.83,25,2.92,21.68,18.76,0.0,0.0
FLP11_KO,42,0.0,0.0,0.0,0.0,26,23.63,94.38,70.74,25,2.87,26.56,23.69,0.07,0.0
FLP11_KO,43,0.0,0.0,0.0,0.0,26,23.56,93.57,70.02,25,2.88,26.57,23.69,0.043,0.0
FLP11_KO,44,0.0,0.0,0.0,0.0,26,24.0,94.61,70.61,25,3.12,26.86,23.74,0.079,0.0
FLP11_KO,45,0.0,0.0,0.0,0.0,26,20.76,93.82,73.06,25,2.37,26.51,24.14,0.0,0.0
FLP11_KO,46,0.0,0.0,0.0,0.0,26,24.86,93.34,68.49,25,3.08,26.32,23.24,0.087,0.0
FLP11_KO,47,0.0,0.0,0.0,0.0,26,24.9,94.5,69.59,25,3.51,26.67,23.16,0.0,0.0
GABA_KO,42,10.0,1.034,9.544,8.51,26,25.76,94.14,68.38,25,2.65,21.82,19.17,0.034,0.0
GABA_KO,43,10.0,1.018,9.485,8.466,26,22.21,93.71,71.5,25,2.39,21.71,19.32,0.077,0.0
GABA_KO,44,10.0,1.066,9.529,8.463,26,25.17,94.04,68.86,25,2.65,21.89,19.24,0.079,0.0
GABA_KO,45,10.0,0.896,9.516,8.62,26,20.67,93.73,73.05,25,2.15,21.62,19.47,0.0,0.0
GABA_KO,46,10.0,1.083,9.507,8.424,26,23.31,93.18,69.87,25,2.53,21.59,19.06,0.087,0.0
GABA_KO,47,10.0,1.092,9.504,8.411,26,24.63,92.68,68.04,25,3.11,21.69,18.58,0.233,0.0
RIS_ABLATE,42,0.0,0.0,0.0,0.0,26,24.93,93.72,68.79,25,2.85,26.29,23.44,0.034,0.0
RIS_ABLATE,43,0.0,0.0,0.0,0.0,26,21.91,94.67,72.76,25,2.61,26.13,23.52,0.076,0.0
RIS_ABLATE,44,0.0,0.0,0.0,0.0,26,23.98,95.1,71.12,25,2.96,26.3,23.34,0.079,0.0
RIS_ABLATE,45,0.0,0.0,0.0,0.0,26,21.26,94.56,73.3,25,2.43,26.08,23.65,0.0,0.0
RIS_ABLATE,46,0.0,0.0,0.0,0.0,26,23.17,94.34,71.16,25,2.78,25.95,23.17,0.087,0.0
RIS_ABLATE,47,0.0,0.0,0.0,0.0,26,24.51,94.7,70.19,25,3.32,26.25,22.93,0.034,0.0
