scenario,seed,bout_idx,bout_start_s,bout_dur_s,ref_worm,ref_idx,segment,rho
spontaneous,42,0,0.0,0.55,2,0,0,0.281
spontaneous,42,0,0.0,0.55,2,0,1,0.281
spontaneous,42,0,0.0,0.55,2,0,2,0.1352
spontaneous,42,0,0.0,0.55,2,0,3,-0.4523
spontaneous,42,0,0.0,0.55,2,0,4,0.5237
spontaneous,42,0,0.0,0.55,2,0,5,-0.6786
spontaneous,42,0,0.0,0.55,2,0,6,-0.295
spontaneous,42,0,0.0,0.55,2,0,7,-0.0102
spontaneous,42,0,0.0,0.55,2,0,8,0.0673
spontaneous,42,0,0.0,0.55,2,0,9,0.3019
spontaneous,42,0,0.0,0.55,2,0,10,-0.3102
spontaneous,42,0,0.0,0.55,2,0,11,-0.7702
spontaneous,42,0,0.0,0.55,2,0,12,-0.1571
spontaneous,42,0,0.0,0.55,2,0,13,0.5755
spontaneous,42,0,0.0,0.55,2,0,14,0.5416
spontaneous,42,0,0.0,0.55,2,0,15,0.2697
spontaneous,42,0,0.0,0.55,2,0,16,0.1137
spontaneous,42,0,0.0,0.55,2,0,17,-0.4638
spontaneous,42,0,0.0,0.55,2,0,18,-0.3085
spontaneous,42,0,0.0,0.55,2,0,19,-0.3085
spontaneous,42,0,0.0,0.55,3,1,0,0.1916
spontaneous,42,0,0.0,0.55,3,1,1,0.1916
spontaneous,42,0,0.0,0.55,3,1,2,-0.773
spontaneous,42,0,0.0,0.55,3,1,3,0.2309
spontaneous,42,0,0.0,0.55,3,1,4,0.001
spontaneous,42,0,0.0,0.55,3,1,5,-0.348
spontaneous,42,0,0.0,0.55,3,1,6,0.0721
spontaneous,42,0,0.0,0.55,3,1,7,-0.0459
spontaneous,42,0,0.0,0.55,3,1,8,0.4251
spontaneous,42,0,0.0,0.55,3,1,9,-0.6511
spontaneous,42,0,0.0,0.55,3,1,10,0.0179
spontaneous,42,0,0.0,0.55,3,1,11,-0.303
spontaneous,42,0,0.0,0.55,3,1,12,0.5492
spontaneous,42,0,0.0,0.55,3,1,13,-0.6527
spontaneous,42,0,0.0,0.55,3,1,14,0.1836
spontaneous,42,0,0.0,0.55,3,1,15,0.3209
spontaneous,42,0,0.0,0.55,3,1,16,-0.4253
spontaneous,42,0,0.0,0.55,3,1,17,-0.7806
spontaneous,42,0,0.0,0.55,3,1,18,-0.5579
spontaneous,42,0,0.0,0.55,3,1,19,-0.5579
spontaneous,42,0,0.0,0.55,8,2,0,0.506
spontaneous,42,0,0.0,0.55,8,2,1,0.506
spontaneous,42,0,0.0,0.55,8,2,2,0.3957
spontaneous,42,0,0.0,0.55,8,2,3,0.328
spontaneous,42,0,0.0,0.55,8,2,4,0.0179
spontaneous,42,0,0.0,0.55,8,2,5,-0.006
spontaneous,42,0,0.0,0.55,8,2,6,-0.3456
spontaneous,42,0,0.0,0.55,8,2,7,0.3274
spontaneous,42,0,0.0,0.55,8,2,8,0.6442
spontaneous,42,0,0.0,0.55,8,2,9,-0.6728
spontaneous,42,0,0.0,0.55,8,2,10,0.3195
spontaneous,42,0,0.0,0.55,8,2,11,-0.2099
spontaneous,42,0,0.0,0.55,8,2,12,0.0982
spontaneous,42,0,0.0,0.55,8,2,13,0.261
spontaneous,42,0,0.0,0.55,8,2,14,-0.2594
spontaneous,42,0,0.0,0.55,8,2,15,0.1815
spontaneous,42,0,0.0,0.55,8,2,16,-0.1822
spontaneous,42,0,0.0,0.55,8,2,17,-0.0142
spontaneous,42,0,0.0,0.55,8,2,18,0.1391
spontaneous,42,0,0.0,0.55,8,2,19,0.1391
spontaneous,42,0,0.0,0.55,6,3,0,-0.6196
spontaneous,42,0,0.0,0.55,6,3,1,-0.6196
spontaneous,42,0,0.0,0.55,6,3,2,-0.6248
spontaneous,42,0,0.0,0.55,6,3,3,-0.7178
spontaneous,42,0,0.0,0.55,6,3,4,-0.3526
spontaneous,42,0,0.0,0.55,6,3,5,0.1968
spontaneous,42,0,0.0,0.55,6,3,6,0.118
spontaneous,42,0,0.0,0.55,6,3,7,-0.5125
spontaneous,42,0,0.0,0.55,6,3,8,-0.7233
spontaneous,42,0,0.0,0.55,6,3,9,0.0876
spontaneous,42,0,0.0,0.55,6,3,10,-0.5042
spontaneous,42,0,0.0,0.55,6,3,11,-0.269
spontaneous,42,0,0.0,0.55,6,3,12,0.4268
spontaneous,42,0,0.0,0.55,6,3,13,-0.2581
spontaneous,42,0,0.0,0.55,6,3,14,-0.4256
spontaneous,42,0,0.0,0.55,6,3,15,0.075
spontaneous,42,0,0.0,0.55,6,3,16,-0.458
spontaneous,42,0,0.0,0.55,6,3,17,-0.1238
spontaneous,42,0,0.0,0.55,6,3,18,-0.0293
spontaneous,42,0,0.0,0.55,6,3,19,-0.0293
spontaneous,42,0,0.0,0.55,4,4,0,0.1491
spontaneous,42,0,0.0,0.55,4,4,1,0.1491
spontaneous,42,0,0.0,0.55,4,4,2,0.0593
spontaneous,42,0,0.0,0.55,4,4,3,0.0362
spontaneous,42,0,0.0,0.55,4,4,4,0.3502
spontaneous,42,0,0.0,0.55,4,4,5,-0.1578
spontaneous,42,0,0.0,0.55,4,4,6,-0.5679
spontaneous,42,0,0.0,0.55,4,4,7,0.6297
spontaneous,42,0,0.0,0.55,4,4,8,0.017
spontaneous,42,0,0.0,0.55,4,4,9,-0.513
spontaneous,42,0,0.0,0.55,4,4,10,0.0573
spontaneous,42,0,0.0,0.55,4,4,11,0.0652
spontaneous,42,0,0.0,0.55,4,4,12,0.0562
spontaneous,42,0,0.0,0.55,4,4,13,-0.4765
