mode,scenario,seed,duration_s,FWD,REV,OMG,PIR,QUI,mean_rate_hz,max_rate_hz,n_silent,n_above_100hz,ris_rate_hz,error
M1,spontaneous,42,30.0,0.06,0.0,0.8383333333333334,0.10166666666666667,0.0,19.483999999999998,63.1,0,0,31.333333333333332,
M1,spontaneous,43,30.0,0.06,0.0,0.8383333333333334,0.10166666666666667,0.0,19.25488888888889,62.03333333333333,0,0,32.0,
M1,spontaneous,44,30.0,0.056666666666666664,0.0,0.7416666666666667,0.20166666666666666,0.0,18.749444444444443,60.3,0,0,31.3,
M1,spontaneous,45,30.0,0.06,0.0,0.8383333333333334,0.10166666666666667,0.0,18.855666666666664,60.766666666666666,1,0,31.866666666666667,
M1,spontaneous,46,30.0,0.06,0.0,0.8383333333333334,0.10166666666666667,0.0,19.04866666666667,61.4,0,0,30.6,
M1,osmotic_shock,42,30.0,0.025,0.0,0.13833333333333334,0.10166666666666667,0.735,52.65488888888889,166.23333333333332,0,69,73.16666666666667,
M1,osmotic_shock,43,30.0,0.025,0.0,0.105,0.10166666666666667,0.7683333333333333,52.68833333333334,166.26666666666668,0,70,73.1,
M1,osmotic_shock,44,30.0,0.023333333333333334,0.0,0.10333333333333333,0.10166666666666667,0.7716666666666666,52.26977777777778,166.36666666666667,0,68,72.46666666666667,
M1,osmotic_shock,45,30.0,0.025,0.0,0.105,0.10166666666666667,0.7683333333333333,53.239111111111114,168.06666666666666,2,71,73.73333333333333,
M1,osmotic_shock,46,30.0,0.023333333333333334,0.0,0.10333333333333333,0.10166666666666667,0.7716666666666666,52.73633333333333,165.86666666666667,0,69,71.9,
M1,food,42,30.0,0.05333333333333334,0.0,0.7316666666666667,0.0,0.215,25.92511111111111,81.83333333333333,0,0,41.63333333333333,
M1,food,43,30.0,0.05333333333333334,0.0,0.6733333333333333,0.10166666666666667,0.17166666666666666,25.56733333333333,80.66666666666667,0,0,42.733333333333334,
M1,food,44,30.0,0.05,0.0,0.645,0.0,0.305,26.632555555555555,85.66666666666667,1,0,43.63333333333333,
M1,food,45,30.0,0.05,0.0,0.6333333333333333,0.10166666666666667,0.215,26.385888888888893,83.4,0,0,43.333333333333336,
M1,food,46,30.0,0.05,0.0,0.6383333333333333,0.10166666666666667,0.21,26.074333333333335,82.83333333333333,1,0,42.266666666666666,
M1,chemotaxis,42,30.0,0.041666666666666664,0.0,0.44,0.10166666666666667,0.4166666666666667,27.548111111111115,84.2,0,0,45.333333333333336,
M1,chemotaxis,43,30.0,0.04,0.0,0.4066666666666667,0.10166666666666667,0.45166666666666666,27.625999999999998,84.7,0,0,46.13333333333333,
M1,chemotaxis,44,30.0,0.05,0.0,0.6433333333333333,0.0,0.30666666666666664,27.266555555555556,83.3,0,0,45.4,
M1,chemotaxis,45,30.0,0.045,0.0,0.5083333333333333,0.10166666666666667,0.345,27.302,83.53333333333333,0,0,45.46666666666667,
M1,chemotaxis,46,30.0,0.04666666666666667,0.0,0.5766666666666667,0.0,0.37666666666666665,27.940111111111108,85.4,0,0,46.3,
