mode,scenario,seed,duration_s,FWD,REV,OMG,PIR,QUI,mean_rate_hz,max_rate_hz,n_silent,n_above_100hz,ris_rate_hz,error
M2-current,spontaneous,42,30.0,0.09166666666666666,0.0,0.17166666666666666,0.0,0.7366666666666667,9.974444444444446,47.96666666666667,0,0,1.0,
M2-current,spontaneous,43,30.0,0.46,0.2,0.13833333333333334,0.20166666666666666,0.0,10.270444444444443,48.13333333333333,0,0,1.1333333333333333,
M2-current,spontaneous,44,30.0,0.4583333333333333,0.0,0.0,0.0,0.5416666666666666,9.569777777777778,45.06666666666667,1,0,1.2,
M2-current,spontaneous,45,30.0,0.22166666666666668,0.5016666666666667,0.17166666666666666,0.10166666666666667,0.0033333333333333335,10.444555555555556,49.733333333333334,0,0,1.3333333333333333,
M2-current,spontaneous,46,30.0,0.3416666666666667,0.5216666666666666,0.13666666666666666,0.0,0.0,10.601222222222223,50.166666666666664,1,0,1.0,
M2-current,osmotic_shock,42,30.0,0.3,0.0,0.13833333333333334,0.2,0.3616666666666667,27.232222222222223,142.0,1,32,0.6,
M2-current,osmotic_shock,43,30.0,0.425,0.0,0.105,0.40166666666666667,0.06833333333333333,27.686111111111106,144.8,2,32,0.6666666666666666,
M2-current,osmotic_shock,44,30.0,0.3883333333333333,0.0,0.0,0.2,0.4116666666666667,27.413111111111114,144.33333333333334,2,32,0.4666666666666667,
M2-current,osmotic_shock,45,30.0,0.105,0.0,0.07,0.38333333333333336,0.44166666666666665,27.543111111111113,145.13333333333333,2,32,0.5666666666666667,
M2-current,osmotic_shock,46,30.0,0.335,0.0,0.06833333333333333,0.3,0.2966666666666667,27.769444444444446,146.26666666666668,0,32,0.6333333333333333,
M2-current,food,42,30.0,0.51,0.4216666666666667,0.06833333333333333,0.0,0.0,14.35,66.1,1,0,0.3333333333333333,
M2-current,food,43,30.0,0.43666666666666665,0.46166666666666667,0.0,0.10166666666666667,0.0,14.231666666666667,65.8,2,0,0.7666666666666667,
M2-current,food,44,30.0,0.37833333333333335,0.6216666666666667,0.0,0.0,0.0,14.488111111111111,67.06666666666666,0,0,0.4,
M2-current,food,45,30.0,0.7166666666666667,0.18166666666666667,0.0,0.10166666666666667,0.0,14.56777777777778,67.23333333333333,1,0,0.5,
M2-current,food,46,30.0,0.39,0.5416666666666666,0.06833333333333333,0.0,0.0,14.654666666666666,66.83333333333333,1,0,0.36666666666666664,
M2-current,chemotaxis,42,30.0,0.021666666666666667,0.0,0.03333333333333333,0.10166666666666667,0.8433333333333334,9.256555555555556,43.766666666666666,1,0,1.1333333333333333,
M2-current,chemotaxis,43,30.0,0.021666666666666667,0.0,0.0,0.20166666666666666,0.7766666666666666,9.119222222222222,42.43333333333333,1,0,0.7333333333333333,
M2-current,chemotaxis,44,30.0,0.021666666666666667,0.0,0.06833333333333333,0.0,0.91,8.801555555555554,41.56666666666667,1,0,0.8,
M2-current,chemotaxis,45,30.0,0.02,0.0,0.0,0.12333333333333334,0.8566666666666667,8.941,42.3,1,0,0.9666666666666667,
M2-current,chemotaxis,46,30.0,0.02666666666666667,0.0,0.17166666666666666,0.0,0.8016666666666666,9.780888888888889,46.2,2,0,0.9666666666666667,
