mode,scenario,seed,duration_s,FWD,REV,OMG,PIR,QUI,mean_rate_hz,max_rate_hz,n_silent,n_above_100hz,ris_rate_hz,error
M2-pure,spontaneous,42,30.0,0.15166666666666667,0.0,0.17166666666666666,0.0,0.6766666666666666,10.217666666666668,49.266666666666666,0,0,0.9333333333333333,
M2-pure,spontaneous,43,30.0,0.3383333333333333,0.32166666666666666,0.13833333333333334,0.20166666666666666,0.0,10.552999999999999,49.93333333333333,0,0,1.0666666666666667,
M2-pure,spontaneous,44,30.0,0.4583333333333333,0.0,0.0,0.0,0.5416666666666666,9.784444444444444,46.333333333333336,1,0,1.2333333333333334,
M2-pure,spontaneous,45,30.0,0.04833333333333333,0.7416666666666667,0.105,0.10166666666666667,0.0033333333333333335,10.574444444444445,50.6,0,0,1.3,
M2-pure,spontaneous,46,30.0,0.46166666666666667,0.40166666666666667,0.13666666666666666,0.0,0.0,10.908333333333333,51.5,1,0,1.0,
M2-pure,spontaneous,47,30.0,0.2783333333333333,0.44166666666666665,0.17166666666666666,0.1,0.008333333333333333,10.75211111111111,50.36666666666667,2,0,1.3,
M2-pure,spontaneous,48,30.0,0.5983333333333334,0.40166666666666667,0.0,0.0,0.0,10.742444444444445,50.8,0,0,1.2333333333333334,
M2-pure,spontaneous,49,30.0,0.03333333333333333,0.07833333333333334,0.10333333333333333,0.0,0.785,9.422777777777778,45.666666666666664,1,0,0.9666666666666667,
M2-pure,spontaneous,50,30.0,0.17,0.0,0.13666666666666666,0.10166666666666667,0.5916666666666667,9.706777777777775,46.03333333333333,0,0,1.1,
M2-pure,spontaneous,51,30.0,0.23666666666666666,0.4766666666666667,0.10166666666666667,0.0,0.185,10.625444444444444,50.7,0,0,1.0333333333333334,
M2-pure,osmotic_shock,42,30.0,0.2966666666666667,0.0,0.13833333333333334,0.2,0.365,27.58644444444445,144.43333333333334,1,32,0.6666666666666666,
M2-pure,osmotic_shock,43,30.0,0.2866666666666667,0.0,0.07,0.5233333333333333,0.12,27.869000000000003,145.83333333333334,2,32,0.6333333333333333,
M2-pure,osmotic_shock,44,30.0,0.40166666666666667,0.0,0.0,0.2,0.3983333333333333,27.45522222222222,145.06666666666666,3,32,0.6,
M2-pure,osmotic_shock,45,30.0,0.25166666666666665,0.0,0.07,0.38333333333333336,0.295,27.25722222222222,143.0,2,32,0.5333333333333333,
M2-pure,osmotic_shock,46,30.0,0.2733333333333333,0.0,0.06833333333333333,0.20166666666666666,0.45666666666666667,27.497333333333337,144.43333333333334,0,32,0.6,
M2-pure,osmotic_shock,47,30.0,0.25833333333333336,0.0,0.13833333333333334,0.1,0.5033333333333333,27.256666666666668,142.33333333333334,0,32,0.6333333333333333,
M2-pure,osmotic_shock,48,30.0,0.37833333333333335,0.0,0.0,0.2816666666666667,0.34,27.584555555555557,144.56666666666666,3,32,0.5333333333333333,
M2-pure,osmotic_shock,49,30.0,0.14333333333333334,0.27166666666666667,0.10333333333333333,0.3,0.18166666666666667,27.89811111111111,146.46666666666667,2,32,0.7,
M2-pure,osmotic_shock,50,30.0,0.135,0.0,0.035,0.3233333333333333,0.5066666666666667,27.535888888888888,144.86666666666667,2,32,0.6333333333333333,
M2-pure,osmotic_shock,51,30.0,0.19,0.0,0.03333333333333333,0.3,0.4766666666666667,27.860333333333333,146.0,1,32,0.7666666666666667,
M2-pure,food,42,30.0,0.51,0.4216666666666667,0.06833333333333333,0.0,0.0,14.574555555555555,67.6,1,0,0.43333333333333335,
M2-pure,food,43,30.0,0.4266666666666667,0.4716666666666667,0.0,0.10166666666666667,0.0,14.412999999999998,67.2,2,0,0.7333333333333333,
M2-pure,food,44,30.0,0.37833333333333335,0.6216666666666667,0.0,0.0,0.0,14.747000000000002,68.5,0,0,0.36666666666666664,
M2-pure,food,45,30.0,0.7266666666666667,0.17166666666666666,0.0,0.10166666666666667,0.0,14.717777777777776,68.1,1,0,0.5666666666666667,
M2-pure,food,46,30.0,0.39,0.5416666666666666,0.06833333333333333,0.0,0.0,14.834222222222222,67.83333333333333,1,0,0.4,
M2-pure,food,47,30.0,0.29,0.5416666666666666,0.06833333333333333,0.1,0.0,14.605,67.0,0,0,0.6,
M2-pure,food,48,30.0,0.12833333333333333,0.8716666666666667,0.0,0.0,0.0,15.136666666666667,69.6,1,0,0.6666666666666666,
M2-pure,food,49,30.0,0.13166666666666665,0.8,0.06833333333333333,0.0,0.0,14.518888888888887,67.16666666666667,1,0,0.43333333333333335,
M2-pure,food,50,30.0,0.21666666666666667,0.6816666666666666,0.0,0.10166666666666667,0.0,14.383888888888887,65.73333333333333,3,0,0.7666666666666667,
M2-pure,food,51,30.0,0.02,0.0,0.03333333333333333,0.0,0.9466666666666667,14.09722222222222,65.16666666666667,1,0,0.36666666666666664,
M2-pure,chemotaxis,42,30.0,0.02,0.0,0.0,0.10166666666666667,0.8783333333333333,9.70611111111111,45.93333333333333,1,0,1.0666666666666667,
M2-pure,chemotaxis,43,30.0,0.021666666666666667,0.0,0.035,0.10166666666666667,0.8416666666666667,9.255888888888888,43.8,1,0,0.7,
M2-pure,chemotaxis,44,30.0,0.023333333333333334,0.0,0.105,0.0,0.8716666666666667,9.215555555555556,43.766666666666666,1,0,0.9666666666666667,
M2-pure,chemotaxis,45,30.0,0.023333333333333334,0.0,0.035,0.22333333333333333,0.7183333333333334,9.351,44.43333333333333,0,0,1.0333333333333334,
M2-pure,chemotaxis,46,30.0,0.023333333333333334,0.0,0.10166666666666667,0.0,0.875,9.600111111111113,45.43333333333333,2,0,0.7666666666666667,
M2-pure,chemotaxis,47,30.0,0.02666666666666667,0.0,0.135,0.10166666666666667,0.7366666666666667,9.783111111111113,46.166666666666664,2,0,1.2,
M2-pure,chemotaxis,48,30.0,0.02,0.0,0.0,0.10166666666666667,0.8783333333333333,9.424555555555555,44.86666666666667,2,0,1.1666666666666667,
M2-pure,chemotaxis,49,30.0,0.018333333333333333,0.0,0.0,0.0,0.9816666666666667,8.89011111111111,42.2,0,0,0.4666666666666667,
M2-pure,chemotaxis,50,30.0,0.043333333333333335,0.0,0.10333333333333333,0.0,0.8533333333333334,9.074666666666667,43.06666666666667,0,0,0.5,
M2-pure,chemotaxis,51,30.0,0.02,0.0,0.035,0.0,0.945,8.855777777777776,42.333333333333336,2,0,1.0333333333333334,
