INFO       Cache size for target 'cython': 1907 MB.
You can call clear_cache('cython') to delete all files from the cache or manually delete files in the '/home/rohit/.cython/brian_extensions' directory. [brian2]
name            V      Ca μM        K       Na     nca_gbar
AVAL       -78.43      0.046    120.5      9.7    7.659e-06
AVBL       -66.13      0.078    128.6     12.0    7.108e-06
AVEL       -66.30      0.117    118.3     23.6    1.660e-05
AVDL       -68.60      0.087    129.7      9.7    2.016e-06
RIML       -45.51      3.367     67.8     87.8    4.398e-06
HSNL       -43.10     13.357     45.5    118.8    8.075e-06
RIPL        -0.95      7.562      6.8    199.9    6.015e-06
DA1        -83.74      0.026    116.8     18.1    1.147e-05
ASEL       -68.04      0.033    130.5      9.1    0.000e+00
AIYL       -88.82      0.004    137.5      5.0    1.458e-06
