ligand,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol,status,message
etomidate,CHRNA4,P43681,1,0.453,-5.3,OK,affinity=-5.30 kcal/mol elapsed=8.1s
halothane,CHRNA4,P43681,1,0.453,-3.4,OK,affinity=-3.40 kcal/mol elapsed=1.8s
isoflurane,CHRNA4,P43681,1,0.453,-4.5,OK,affinity=-4.50 kcal/mol elapsed=2.9s
ketamine,CHRNA4,P43681,1,0.453,-5.8,OK,affinity=-5.80 kcal/mol elapsed=4.4s
propofol,CHRNA4,P43681,1,0.453,-5.1,OK,affinity=-5.10 kcal/mol elapsed=3.9s
sevoflurane,CHRNA4,P43681,1,0.453,-4.5,OK,affinity=-4.50 kcal/mol elapsed=3.8s
etomidate,CHRNA4,P43681,11,0.324,-5.4,OK,affinity=-5.40 kcal/mol elapsed=7.3s
halothane,CHRNA4,P43681,11,0.324,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.5s
isoflurane,CHRNA4,P43681,11,0.324,-5.0,OK,affinity=-5.00 kcal/mol elapsed=2.7s
ketamine,CHRNA4,P43681,11,0.324,-5.9,OK,affinity=-5.90 kcal/mol elapsed=4.0s
propofol,CHRNA4,P43681,11,0.324,-5.8,OK,affinity=-5.80 kcal/mol elapsed=3.5s
sevoflurane,CHRNA4,P43681,11,0.324,-5.1,OK,affinity=-5.10 kcal/mol elapsed=3.6s
etomidate,CHRNA4,P43681,5,0.173,-5.2,OK,affinity=-5.20 kcal/mol elapsed=8.1s
halothane,CHRNA4,P43681,5,0.173,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.6s
isoflurane,CHRNA4,P43681,5,0.173,-4.0,OK,affinity=-4.00 kcal/mol elapsed=2.9s
ketamine,CHRNA4,P43681,5,0.173,-5.3,OK,affinity=-5.30 kcal/mol elapsed=4.3s
propofol,CHRNA4,P43681,5,0.173,-5.3,OK,affinity=-5.30 kcal/mol elapsed=3.6s
sevoflurane,CHRNA4,P43681,5,0.173,-4.3,OK,affinity=-4.30 kcal/mol elapsed=3.8s
etomidate,GABRA1,P14867,26,0.311,-4.1,OK,affinity=-4.10 kcal/mol elapsed=7.2s
halothane,GABRA1,P14867,26,0.311,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.2s
isoflurane,GABRA1,P14867,26,0.311,-3.2,OK,affinity=-3.20 kcal/mol elapsed=2.3s
ketamine,GABRA1,P14867,26,0.311,-4.2,OK,affinity=-4.20 kcal/mol elapsed=3.6s
propofol,GABRA1,P14867,26,0.311,-4.0,OK,affinity=-4.00 kcal/mol elapsed=3.3s
sevoflurane,GABRA1,P14867,26,0.311,-3.4,OK,affinity=-3.40 kcal/mol elapsed=3.3s
etomidate,GABRA1,P14867,2,0.172,-5.9,OK,affinity=-5.90 kcal/mol elapsed=8.7s
halothane,GABRA1,P14867,2,0.172,-3.5,OK,affinity=-3.50 kcal/mol elapsed=2.2s
isoflurane,GABRA1,P14867,2,0.172,-4.4,OK,affinity=-4.40 kcal/mol elapsed=3.3s
ketamine,GABRA1,P14867,2,0.172,-5.9,OK,affinity=-5.90 kcal/mol elapsed=4.8s
propofol,GABRA1,P14867,2,0.172,-5.7,OK,affinity=-5.70 kcal/mol elapsed=4.2s
sevoflurane,GABRA1,P14867,2,0.172,-4.6,OK,affinity=-4.60 kcal/mol elapsed=4.2s
etomidate,GABRA1,P14867,17,0.134,-4.7,OK,affinity=-4.70 kcal/mol elapsed=7.5s
halothane,GABRA1,P14867,17,0.134,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.5s
isoflurane,GABRA1,P14867,17,0.134,-3.7,OK,affinity=-3.70 kcal/mol elapsed=2.6s
ketamine,GABRA1,P14867,17,0.134,-5.1,OK,affinity=-5.10 kcal/mol elapsed=4.0s
propofol,GABRA1,P14867,17,0.134,-4.7,OK,affinity=-4.70 kcal/mol elapsed=3.5s
sevoflurane,GABRA1,P14867,17,0.134,-3.9,OK,affinity=-3.90 kcal/mol elapsed=3.6s
etomidate,GLRA1,P23415,3,0.734,-5.7,OK,affinity=-5.70 kcal/mol elapsed=7.4s
halothane,GLRA1,P23415,3,0.734,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.6s
isoflurane,GLRA1,P23415,3,0.734,-4.2,OK,affinity=-4.20 kcal/mol elapsed=2.7s
ketamine,GLRA1,P23415,3,0.734,-5.5,OK,affinity=-5.50 kcal/mol elapsed=4.1s
propofol,GLRA1,P23415,3,0.734,-5.8,OK,affinity=-5.80 kcal/mol elapsed=3.7s
sevoflurane,GLRA1,P23415,3,0.734,-4.5,OK,affinity=-4.50 kcal/mol elapsed=3.6s
etomidate,GLRA1,P23415,27,0.256,-4.2,OK,affinity=-4.20 kcal/mol elapsed=7.8s
halothane,GLRA1,P23415,27,0.256,-2.7,OK,affinity=-2.70 kcal/mol elapsed=1.3s
isoflurane,GLRA1,P23415,27,0.256,-3.3,OK,affinity=-3.30 kcal/mol elapsed=2.4s
ketamine,GLRA1,P23415,27,0.256,-4.4,OK,affinity=-4.40 kcal/mol elapsed=3.8s
propofol,GLRA1,P23415,27,0.256,-4.1,OK,affinity=-4.10 kcal/mol elapsed=3.3s
sevoflurane,GLRA1,P23415,27,0.256,-3.5,OK,affinity=-3.50 kcal/mol elapsed=3.4s
etomidate,GLRA1,P23415,13,0.233,-4.2,OK,affinity=-4.20 kcal/mol elapsed=7.3s
halothane,GLRA1,P23415,13,0.233,-3.1,OK,affinity=-3.10 kcal/mol elapsed=1.3s
isoflurane,GLRA1,P23415,13,0.233,-3.4,OK,affinity=-3.40 kcal/mol elapsed=2.4s
ketamine,GLRA1,P23415,13,0.233,-4.4,OK,affinity=-4.40 kcal/mol elapsed=3.7s
propofol,GLRA1,P23415,13,0.233,-4.1,OK,affinity=-4.10 kcal/mol elapsed=3.4s
sevoflurane,GLRA1,P23415,13,0.233,-3.5,OK,affinity=-3.50 kcal/mol elapsed=3.3s
etomidate,KCNK2,O95069,36,0.911,-5.4,OK,affinity=-5.40 kcal/mol elapsed=7.3s
halothane,KCNK2,O95069,36,0.911,-4.0,OK,affinity=-4.00 kcal/mol elapsed=1.5s
isoflurane,KCNK2,O95069,36,0.911,-4.3,OK,affinity=-4.30 kcal/mol elapsed=2.6s
ketamine,KCNK2,O95069,36,0.911,-5.7,OK,affinity=-5.70 kcal/mol elapsed=3.9s
propofol,KCNK2,O95069,36,0.911,-6.0,OK,affinity=-6.00 kcal/mol elapsed=3.6s
sevoflurane,KCNK2,O95069,36,0.911,-4.5,OK,affinity=-4.50 kcal/mol elapsed=3.5s
etomidate,KCNK2,O95069,1,0.114,-5.9,OK,affinity=-5.90 kcal/mol elapsed=8.4s
halothane,KCNK2,O95069,1,0.114,-3.6,OK,affinity=-3.60 kcal/mol elapsed=1.9s
isoflurane,KCNK2,O95069,1,0.114,-4.5,OK,affinity=-4.50 kcal/mol elapsed=3.0s
ketamine,KCNK2,O95069,1,0.114,-6.0,OK,affinity=-6.00 kcal/mol elapsed=4.4s
propofol,KCNK2,O95069,1,0.114,-5.8,OK,affinity=-5.80 kcal/mol elapsed=4.0s
sevoflurane,KCNK2,O95069,1,0.114,-4.5,OK,affinity=-4.50 kcal/mol elapsed=3.9s
etomidate,KCNK2,O95069,2,0.074,-5.4,OK,affinity=-5.40 kcal/mol elapsed=7.9s
halothane,KCNK2,O95069,2,0.074,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.5s
isoflurane,KCNK2,O95069,2,0.074,-4.8,OK,affinity=-4.80 kcal/mol elapsed=2.6s
ketamine,KCNK2,O95069,2,0.074,-6.3,OK,affinity=-6.30 kcal/mol elapsed=3.9s
propofol,KCNK2,O95069,2,0.074,-5.6,OK,affinity=-5.60 kcal/mol elapsed=3.6s
sevoflurane,KCNK2,O95069,2,0.074,-5.3,OK,affinity=-5.30 kcal/mol elapsed=3.4s
etomidate,NDUFS2,O75306,26,0.354,-4.5,OK,affinity=-4.50 kcal/mol elapsed=8.3s
halothane,NDUFS2,O75306,26,0.354,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.5s
isoflurane,NDUFS2,O75306,26,0.354,-3.6,OK,affinity=-3.60 kcal/mol elapsed=2.7s
ketamine,NDUFS2,O75306,26,0.354,-4.3,OK,affinity=-4.30 kcal/mol elapsed=4.1s
propofol,NDUFS2,O75306,26,0.354,-4.2,OK,affinity=-4.20 kcal/mol elapsed=3.6s
sevoflurane,NDUFS2,O75306,26,0.354,-3.5,OK,affinity=-3.50 kcal/mol elapsed=3.6s
etomidate,NDUFS2,O75306,12,0.219,-4.8,OK,affinity=-4.80 kcal/mol elapsed=9.4s
halothane,NDUFS2,O75306,12,0.219,-4.2,OK,affinity=-4.20 kcal/mol elapsed=1.8s
isoflurane,NDUFS2,O75306,12,0.219,-4.7,OK,affinity=-4.70 kcal/mol elapsed=2.9s
ketamine,NDUFS2,O75306,12,0.219,-5.7,OK,affinity=-5.70 kcal/mol elapsed=4.4s
propofol,NDUFS2,O75306,12,0.219,-5.5,OK,affinity=-5.50 kcal/mol elapsed=3.9s
