anesthetic,gene,uniprot_acc,best_pocket_id,best_pocket_druggability,best_affinity_kcal_per_mol,predicted_Kd_uM,ec50_clinical_aqueous_uM,Kp_oil_water,pocket_compartment,occupancy_0.5xEC50,occupancy_1.0xEC50,occupancy_2.0xEC50,occupancy_5.0xEC50
etomidate,ACR-16,P48180,11,0.700,-5.30,129.8,0.3,50,membrane_embedded,0.055,0.104,0.188,0.366
etomidate,ACR-2,P48182,25,0.879,-6.60,14.45,0.3,50,membrane_embedded,0.342,0.509,0.675,0.838
etomidate,AVR-14,Q8IFY7,1,0.507,-6.00,39.79,0.3,50,membrane_embedded,0.159,0.274,0.430,0.653
etomidate,AVR-15,G5ECH3,25,0.728,-6.60,14.45,0.3,50,membrane_embedded,0.342,0.509,0.675,0.838
etomidate,EXP-1,G5ECJ0,2,0.984,-5.80,55.77,0.3,50,membrane_embedded,0.119,0.212,0.350,0.574
etomidate,GAS-1,Q93873,5,0.358,-5.10,181.9,0.3,50,membrane_embedded,0.040,0.076,0.142,0.292
etomidate,GLC-1,G5EBR3,19,0.145,-5.40,109.6,0.3,50,membrane_embedded,0.064,0.120,0.215,0.406
etomidate,GLC-2,Q17328,30,0.448,-5.70,66.03,0.3,50,membrane_embedded,0.102,0.185,0.312,0.532
etomidate,LEV-1,Q27218,2,0.756,-5.50,92.56,0.3,50,membrane_embedded,0.075,0.139,0.245,0.448
etomidate,MEV-1,P41956,1,0.792,-6.20,28.38,0.3,50,membrane_embedded,0.209,0.346,0.514,0.725
etomidate,NCA-2,G5EDM1,175,0.944,-5.80,55.77,0.3,50,membrane_embedded,0.119,0.212,0.350,0.574
etomidate,NLF-1,M4Q8W4,13,0.389,-5.50,92.56,0.3,50,membrane_embedded,0.075,0.139,0.245,0.448
etomidate,NUO-1,Q17880,14,0.011,-6.80,10.31,0.3,50,membrane_embedded,0.421,0.593,0.744,0.879
etomidate,NUO-2,Q86NC2,2,0.106,-6.70,12.2,0.3,50,membrane_embedded,0.381,0.551,0.711,0.860
etomidate,NUO-3,O18236,1,0.963,-7.50,3.16,0.3,50,membrane_embedded,0.704,0.826,0.905,0.960
etomidate,NUO-4,Q21233,16,0.398,-6.20,28.38,0.3,50,membrane_embedded,0.209,0.346,0.514,0.725
etomidate,RIC-4,A5PEW5,7,0.054,-5.50,92.56,0.3,50,membrane_interfacial,0.002,0.003,0.006,0.016
etomidate,SNB-1,O02495,2,0.219,-4.70,357.4,0.3,50,membrane_embedded,0.021,0.040,0.077,0.173
etomidate,SNT-1,P34693,34,0.172,-5.50,92.56,0.3,50,membrane_interfacial,0.002,0.003,0.006,0.016
etomidate,TWK-18,Q18120,3,0.058,-6.80,10.31,0.3,50,membrane_embedded,0.421,0.593,0.744,0.879
etomidate,TWK-29,Q564V7,1,0.409,-6.10,33.61,0.3,50,membrane_embedded,0.182,0.309,0.472,0.691
etomidate,TWK-7,P34410,17,0.060,-5.00,215.3,0.3,50,membrane_embedded,0.034,0.065,0.122,0.258
etomidate,UNC-13,P27715,140,0.845,-6.10,33.61,0.3,50,aqueous_intracellular,0.004,0.009,0.018,0.043
etomidate,UNC-18,P34815,12,0.612,-6.90,8.704,0.3,50,aqueous_intracellular,0.017,0.033,0.064,0.147
etomidate,UNC-29,P48181,2,0.083,-5.20,153.6,0.3,50,membrane_embedded,0.047,0.089,0.163,0.328
etomidate,UNC-38,Q23022,3,0.564,-6.10,33.61,0.3,50,membrane_embedded,0.182,0.309,0.472,0.691
etomidate,UNC-49,G5EBQ0,13,0.363,-6.50,17.1,0.3,50,membrane_embedded,0.305,0.467,0.637,0.814
etomidate,UNC-63,Q9N587,12,0.644,-5.90,47.11,0.3,50,membrane_embedded,0.137,0.242,0.389,0.614
etomidate,UNC-64,O16000,15,0.168,-5.50,92.56,0.3,50,membrane_embedded,0.075,0.139,0.245,0.448
etomidate,UNC-79,P42173,17,0.446,-5.70,66.03,0.3,50,membrane_embedded,0.102,0.185,0.312,0.532
halothane,ACR-16,P48180,1,0.518,-4.70,357.4,340.0,250,membrane_embedded,0.992,0.996,0.998,0.999
halothane,ACR-2,P48182,2,0.125,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
halothane,AVR-14,Q8IFY7,1,0.507,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
halothane,AVR-15,G5ECH3,13,0.917,-4.60,423.1,340.0,250,membrane_embedded,0.990,0.995,0.998,0.999
halothane,EXP-1,G5ECJ0,57,0.697,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
halothane,GAS-1,Q93873,14,0.007,-3.80,1634,340.0,250,membrane_embedded,0.963,0.981,0.990,0.996
halothane,GLC-1,G5EBR3,19,0.145,-3.70,1934,340.0,250,membrane_embedded,0.956,0.978,0.989,0.995
halothane,GLC-2,Q17328,30,0.448,-3.70,1934,340.0,250,membrane_embedded,0.956,0.978,0.989,0.995
halothane,LEV-1,Q27218,2,0.756,-4.80,301.9,340.0,250,membrane_embedded,0.993,0.996,0.998,0.999
halothane,MEV-1,P41956,15,0.328,-4.00,1165,340.0,250,membrane_embedded,0.973,0.986,0.993,0.997
halothane,NCA-2,G5EDM1,175,0.944,-4.00,1165,340.0,250,membrane_embedded,0.973,0.986,0.993,0.997
halothane,NLF-1,M4Q8W4,13,0.389,-3.70,1934,340.0,250,membrane_embedded,0.956,0.978,0.989,0.995
halothane,NUO-1,Q17880,14,0.011,-4.00,1165,340.0,250,membrane_embedded,0.973,0.986,0.993,0.997
halothane,NUO-2,Q86NC2,2,0.106,-4.60,423.1,340.0,250,membrane_embedded,0.990,0.995,0.998,0.999
halothane,NUO-3,O18236,1,0.963,-4.50,501,340.0,250,membrane_embedded,0.988,0.994,0.997,0.999
halothane,NUO-4,Q21233,1,0.403,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
halothane,RIC-4,A5PEW5,5,0.059,-3.60,2290,340.0,250,membrane_interfacial,0.069,0.129,0.229,0.426
halothane,SNB-1,O02495,2,0.219,-3.10,5328,340.0,250,membrane_embedded,0.889,0.941,0.970,0.988
halothane,SNT-1,P34693,10,0.576,-3.70,1934,340.0,250,membrane_interfacial,0.081,0.149,0.260,0.468
halothane,TWK-18,Q18120,1,0.184,-4.20,831.4,340.0,250,membrane_embedded,0.981,0.990,0.995,0.998
halothane,TWK-29,Q564V7,1,0.409,-4.40,593.1,340.0,250,membrane_embedded,0.986,0.993,0.997,0.999
halothane,TWK-7,P34410,3,0.165,-4.00,1165,340.0,250,membrane_embedded,0.973,0.986,0.993,0.997
halothane,UNC-13,P27715,140,0.845,-3.60,2290,340.0,250,aqueous_intracellular,0.069,0.129,0.229,0.426
halothane,UNC-18,P34815,3,0.315,-4.70,357.4,340.0,250,aqueous_intracellular,0.322,0.488,0.655,0.826
halothane,UNC-29,P48181,1,0.670,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
halothane,UNC-38,Q23022,3,0.564,-4.20,831.4,340.0,250,membrane_embedded,0.981,0.990,0.995,0.998
halothane,UNC-49,G5EBQ0,7,0.574,-3.80,1634,340.0,250,membrane_embedded,0.963,0.981,0.990,0.996
halothane,UNC-63,Q9N587,2,0.339,-4.70,357.4,340.0,250,membrane_embedded,0.992,0.996,0.998,0.999
halothane,UNC-64,O16000,15,0.168,-3.50,2711,340.0,250,membrane_embedded,0.940,0.969,0.984,0.994
halothane,UNC-79,P42173,17,0.446,-4.10,984.4,340.0,250,membrane_embedded,0.977,0.989,0.994,0.998
isoflurane,ACR-16,P48180,1,0.518,-5.50,92.56,290.0,90,membrane_embedded,0.993,0.996,0.998,0.999
isoflurane,ACR-2,P48182,2,0.125,-5.20,153.6,290.0,90,membrane_embedded,0.988,0.994,0.997,0.999
isoflurane,AVR-14,Q8IFY7,1,0.507,-5.20,153.6,290.0,90,membrane_embedded,0.988,0.994,0.997,0.999
isoflurane,AVR-15,G5ECH3,13,0.917,-5.40,109.6,290.0,90,membrane_embedded,0.992,0.996,0.998,0.999
isoflurane,EXP-1,G5ECJ0,57,0.697,-4.90,255,290.0,90,membrane_embedded,0.981,0.990,0.995,0.998
isoflurane,GAS-1,Q93873,14,0.007,-4.40,593.1,290.0,90,membrane_embedded,0.957,0.978,0.989,0.995
isoflurane,GLC-1,G5EBR3,19,0.145,-4.30,702.2,290.0,90,membrane_embedded,0.949,0.974,0.987,0.995
