anesthetic,gene,uniprot_acc,pocket_id,druggability_score,center_x,center_y,center_z,size_x,size_y,size_z,affinity_kcal_per_mol,status,message
etomidate,ACR-16,P48180,11,0.7,,,,,,,-5.3,OK,
etomidate,ACR-16,P48180,1,0.518,,,,,,,-5.1,OK,
etomidate,ACR-16,P48180,23,0.033,,,,,,,-5.1,OK,
etomidate,ACR-2,P48182,25,0.879,,,,,,,-6.6,OK,
etomidate,ACR-2,P48182,2,0.125,,,,,,,-5.5,OK,
etomidate,ACR-2,P48182,30,0.025,,,,,,,-5.5,OK,
etomidate,AVR-14,Q8IFY7,1,0.507,,,,,,,-6.0,OK,
etomidate,AVR-14,Q8IFY7,21,0.028,,,,,,,-5.6,OK,
etomidate,AVR-14,Q8IFY7,9,0.056,,,,,,,-4.0,OK,
etomidate,AVR-15,G5ECH3,13,0.917,,,,,,,-6.5,OK,
etomidate,AVR-15,G5ECH3,25,0.728,,,,,,,-6.6,OK,
etomidate,AVR-15,G5ECH3,27,0.226,,,,,,,-5.8,OK,
etomidate,EXP-1,G5ECJ0,2,0.984,,,,,,,-5.8,OK,
etomidate,EXP-1,G5ECJ0,57,0.697,,,,,,,-5.5,OK,
etomidate,EXP-1,G5ECJ0,6,0.823,,,,,,,-5.4,OK,
etomidate,GAS-1,Q93873,11,0.885,,,,,,,-4.9,OK,
etomidate,GAS-1,Q93873,14,0.007,,,,,,,-5.0,OK,
etomidate,GAS-1,Q93873,5,0.358,,,,,,,-5.1,OK,
etomidate,GLC-1,G5EBR3,19,0.145,,,,,,,-5.4,OK,
etomidate,GLC-1,G5EBR3,5,0.102,,,,,,,-5.0,OK,
etomidate,GLC-1,G5EBR3,8,0.306,,,,,,,-5.4,OK,
etomidate,GLC-2,Q17328,30,0.448,,,,,,,-5.7,OK,
etomidate,GLC-2,Q17328,6,0.44,,,,,,,-4.6,OK,
etomidate,GLC-2,Q17328,7,0.322,,,,,,,-5.3,OK,
etomidate,LEV-1,Q27218,2,0.756,,,,,,,-5.5,OK,
etomidate,LEV-1,Q27218,3,0.02,,,,,,,-5.5,OK,
etomidate,LEV-1,Q27218,6,0.037,,,,,,,-5.0,OK,
etomidate,MEV-1,P41956,10,0.866,,,,,,,-5.3,OK,
etomidate,MEV-1,P41956,15,0.328,,,,,,,-5.6,OK,
etomidate,MEV-1,P41956,1,0.792,,,,,,,-6.2,OK,
etomidate,NCA-2,G5EDM1,171,0.964,,,,,,,-5.6,OK,
etomidate,NCA-2,G5EDM1,173,0.989,,,,,,,-5.6,OK,
etomidate,NCA-2,G5EDM1,175,0.944,,,,,,,-5.8,OK,
etomidate,NLF-1,M4Q8W4,13,0.389,,,,,,,-5.5,OK,
etomidate,NLF-1,M4Q8W4,14,0.402,,,,,,,-4.7,OK,
etomidate,NLF-1,M4Q8W4,6,0.265,,,,,,,-5.0,OK,
etomidate,NUO-1,Q17880,14,0.011,,,,,,,-6.8,OK,
etomidate,NUO-1,Q17880,18,0.769,,,,,,,-6.6,OK,
etomidate,NUO-1,Q17880,5,0.012,,,,,,,-4.8,OK,
etomidate,NUO-2,Q86NC2,14,0.005,,,,,,,-5.2,OK,
etomidate,NUO-2,Q86NC2,16,0.011,,,,,,,-5.0,OK,
etomidate,NUO-2,Q86NC2,2,0.106,,,,,,,-6.7,OK,
etomidate,NUO-3,O18236,1,0.963,,,,,,,-7.5,OK,
etomidate,NUO-3,O18236,5,0.006,,,,,,,-4.8,OK,
etomidate,NUO-3,O18236,8,0.002,,,,,,,-6.8,OK,
etomidate,NUO-4,Q21233,16,0.398,,,,,,,-6.2,OK,
etomidate,NUO-4,Q21233,1,0.403,,,,,,,-5.8,OK,
etomidate,NUO-4,Q21233,23,0.224,,,,,,,-5.0,OK,
etomidate,RIC-4,A5PEW5,3,0.082,,,,,,,-4.9,OK,
etomidate,RIC-4,A5PEW5,5,0.059,,,,,,,-4.8,OK,
etomidate,RIC-4,A5PEW5,7,0.054,,,,,,,-5.5,OK,
etomidate,SNB-1,O02495,1,0.308,,,,,,,-3.7,OK,
etomidate,SNB-1,O02495,2,0.219,,,,,,,-4.7,OK,
etomidate,SNB-1,O02495,3,0.549,,,,,,,-4.4,OK,
etomidate,SNT-1,P34693,10,0.576,,,,,,,-5.0,OK,
etomidate,SNT-1,P34693,30,0.678,,,,,,,-5.4,OK,
etomidate,SNT-1,P34693,34,0.172,,,,,,,-5.5,OK,
etomidate,TWK-18,Q18120,1,0.184,,,,,,,-6.2,OK,
etomidate,TWK-18,Q18120,31,0.815,,,,,,,-6.6,OK,
etomidate,TWK-18,Q18120,3,0.058,,,,,,,-6.8,OK,
etomidate,TWK-29,Q564V7,19,0.908,,,,,,,-5.8,OK,
etomidate,TWK-29,Q564V7,1,0.409,,,,,,,-6.1,OK,
etomidate,TWK-29,Q564V7,34,0.106,,,,,,,-5.6,OK,
etomidate,TWK-7,P34410,17,0.06,,,,,,,-5.0,OK,
etomidate,TWK-7,P34410,24,0.151,,,,,,,-4.9,OK,
etomidate,TWK-7,P34410,3,0.165,,,,,,,-4.7,OK,
etomidate,UNC-13,P27715,140,0.845,,,,,,,-6.1,OK,
etomidate,UNC-13,P27715,149,0.187,,,,,,,-5.5,OK,
etomidate,UNC-13,P27715,153,0.201,,,,,,,-6.0,OK,
etomidate,UNC-18,P34815,12,0.612,,,,,,,-6.9,OK,
etomidate,UNC-18,P34815,39,0.521,,,,,,,-4.9,OK,
etomidate,UNC-18,P34815,3,0.315,,,,,,,-6.4,OK,
etomidate,UNC-29,P48181,1,0.67,,,,,,,-4.5,OK,
etomidate,UNC-29,P48181,2,0.083,,,,,,,-5.2,OK,
etomidate,UNC-29,P48181,3,0.027,,,,,,,-5.0,OK,
etomidate,UNC-38,Q23022,38,0.168,,,,,,,-5.2,OK,
etomidate,UNC-38,Q23022,3,0.564,,,,,,,-6.1,OK,
etomidate,UNC-38,Q23022,6,0.201,,,,,,,-5.0,OK,
etomidate,UNC-49,G5EBQ0,11,0.026,,,,,,,-5.2,OK,
etomidate,UNC-49,G5EBQ0,13,0.363,,,,,,,-6.5,OK,
etomidate,UNC-49,G5EBQ0,7,0.574,,,,,,,-5.3,OK,
etomidate,UNC-63,Q9N587,12,0.644,,,,,,,-5.9,OK,
etomidate,UNC-63,Q9N587,2,0.339,,,,,,,-4.7,OK,
etomidate,UNC-63,Q9N587,3,0.513,,,,,,,-5.8,OK,
etomidate,UNC-64,O16000,15,0.168,,,,,,,-5.5,OK,
etomidate,UNC-64,O16000,2,0.211,,,,,,,-3.8,OK,
etomidate,UNC-64,O16000,7,0.156,,,,,,,-4.1,OK,
etomidate,UNC-79,P42173,17,0.446,,,,,,,-5.7,OK,
etomidate,UNC-79,P42173,4,0.163,,,,,,,-4.6,OK,
etomidate,UNC-79,P42173,53,0.664,,,,,,,-5.3,OK,
halothane,ACR-16,P48180,11,0.7,,,,,,,-3.6,OK,
halothane,ACR-16,P48180,1,0.518,,,,,,,-4.7,OK,
halothane,ACR-16,P48180,23,0.033,,,,,,,-4.1,OK,
halothane,ACR-2,P48182,25,0.879,,,,,,,-3.6,OK,
halothane,ACR-2,P48182,2,0.125,,,,,,,-4.1,OK,
halothane,ACR-2,P48182,30,0.025,,,,,,,-3.4,OK,
halothane,AVR-14,Q8IFY7,1,0.507,,,,,,,-4.1,OK,
halothane,AVR-14,Q8IFY7,21,0.028,,,,,,,-3.7,OK,
halothane,AVR-14,Q8IFY7,9,0.056,,,,,,,-3.0,OK,
halothane,AVR-15,G5ECH3,13,0.917,,,,,,,-4.6,OK,
halothane,AVR-15,G5ECH3,25,0.728,,,,,,,-4.6,OK,
halothane,AVR-15,G5ECH3,27,0.226,,,,,,,-4.3,OK,
halothane,EXP-1,G5ECJ0,2,0.984,,,,,,,-3.8,OK,
halothane,EXP-1,G5ECJ0,57,0.697,,,,,,,-4.1,OK,
halothane,EXP-1,G5ECJ0,6,0.823,,,,,,,-3.7,OK,
halothane,GAS-1,Q93873,11,0.885,,,,,,,-3.4,OK,
halothane,GAS-1,Q93873,14,0.007,,,,,,,-3.8,OK,
halothane,GAS-1,Q93873,5,0.358,,,,,,,-3.8,OK,
halothane,GLC-1,G5EBR3,19,0.145,,,,,,,-3.7,OK,
halothane,GLC-1,G5EBR3,5,0.102,,,,,,,-3.6,OK,
halothane,GLC-1,G5EBR3,8,0.306,,,,,,,-3.5,OK,
halothane,GLC-2,Q17328,30,0.448,,,,,,,-3.7,OK,
halothane,GLC-2,Q17328,6,0.44,,,,,,,-3.4,OK,
halothane,GLC-2,Q17328,7,0.322,,,,,,,-3.7,OK,
halothane,LEV-1,Q27218,2,0.756,,,,,,,-4.8,OK,
