ligand,gene,uniprot_acc,pocket_id,druggability_score,affinity_kcal_per_mol,status,message
benzene,ACR-16,P48180,11,0.7,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,ACR-16,P48180,11,0.7,-2.3,OK,affinity=-2.30 kcal/mol elapsed=0.9s
cyclohexane,ACR-16,P48180,11,0.7,-3.7,OK,affinity=-3.70 kcal/mol elapsed=1.0s
dimethyl_ether,ACR-16,P48180,11,0.7,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.9s
hexafluoroethane,ACR-16,P48180,11,0.7,-3.8,OK,affinity=-3.80 kcal/mol elapsed=1.5s
methanol,ACR-16,P48180,11,0.7,-1.5,OK,affinity=-1.50 kcal/mol elapsed=0.8s
npentane,ACR-16,P48180,11,0.7,-3.0,OK,affinity=-3.00 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,ACR-16,P48180,11,0.7,-2.2,OK,affinity=-2.20 kcal/mol elapsed=0.9s
benzene,ACR-16,P48180,1,0.518,-4.7,OK,affinity=-4.70 kcal/mol elapsed=1.2s
cis_12_dichloroethylene,ACR-16,P48180,1,0.518,-2.9,OK,affinity=-2.90 kcal/mol elapsed=1.1s
cyclohexane,ACR-16,P48180,1,0.518,-4.8,OK,affinity=-4.80 kcal/mol elapsed=1.1s
dimethyl_ether,ACR-16,P48180,1,0.518,-1.9,OK,affinity=-1.90 kcal/mol elapsed=1.0s
hexafluoroethane,ACR-16,P48180,1,0.518,-4.9,OK,affinity=-4.90 kcal/mol elapsed=1.7s
methanol,ACR-16,P48180,1,0.518,-1.8,OK,affinity=-1.80 kcal/mol elapsed=0.9s
npentane,ACR-16,P48180,1,0.518,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.6s
trans_12_dichloroethylene,ACR-16,P48180,1,0.518,-2.8,OK,affinity=-2.80 kcal/mol elapsed=1.1s
benzene,ACR-16,P48180,23,0.033,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.0s
cis_12_dichloroethylene,ACR-16,P48180,23,0.033,-2.5,OK,affinity=-2.50 kcal/mol elapsed=1.0s
cyclohexane,ACR-16,P48180,23,0.033,-4.3,OK,affinity=-4.30 kcal/mol elapsed=1.1s
dimethyl_ether,ACR-16,P48180,23,0.033,-1.7,OK,affinity=-1.70 kcal/mol elapsed=0.9s
hexafluoroethane,ACR-16,P48180,23,0.033,-4.5,OK,affinity=-4.50 kcal/mol elapsed=1.6s
methanol,ACR-16,P48180,23,0.033,-1.6,OK,affinity=-1.60 kcal/mol elapsed=0.9s
npentane,ACR-16,P48180,23,0.033,-3.5,OK,affinity=-3.50 kcal/mol elapsed=1.5s
trans_12_dichloroethylene,ACR-16,P48180,23,0.033,-2.6,OK,affinity=-2.60 kcal/mol elapsed=1.0s
benzene,ACR-2,P48182,25,0.879,-4.1,OK,affinity=-4.10 kcal/mol elapsed=1.2s
